#Classification	S-11-POLJUN-G_bracken_O.kreport
k__Bacteria	457745
k__Bacteria|p__Proteobacteria	410823
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	217565
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	179892
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	36319
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	1021
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	328
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	146352
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	58395
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	49836
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	38081
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	46778
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	46761
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	14
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	123
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	122
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	3
k__Bacteria|p__Cyanobacteria	29132
k__Bacteria|p__Cyanobacteria|o__Nostocales	29090
k__Bacteria|p__Cyanobacteria|o__Synechococcales	4
k__Bacteria|p__Cyanobacteria|o__Chroococcales	2
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	34
k__Bacteria|p__Actinobacteria	12884
k__Bacteria|p__Actinobacteria|c__Actinomycetia	11980
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	5135
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2715
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	244
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1021
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	1377
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	255
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	385
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	667
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	175
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	668
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	668
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	235
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	235
k__Bacteria|p__Firmicutes	438
k__Bacteria|p__Firmicutes|c__Bacilli	432
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	371
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	60
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	6
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	1
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	1
k__Bacteria|p__Acidobacteria	2653
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2653
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2653
k__Bacteria|p__Bacteroidetes	1642
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1394
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	1394
k__Bacteria|p__Bacteroidetes|c__Cytophagia	194
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	194
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	48
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	48
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	5
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	5
k__Bacteria|p__Planctomycetes	135
k__Bacteria|p__Planctomycetes|c__Planctomycetia	131
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	76
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	30
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	24
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	3
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	3
k__Bacteria|p__Verrucomicrobia	4
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	4
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	4
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Bacteria|p__Spirochaetes	27
k__Bacteria|p__Spirochaetes|c__Spirochaetia	27
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	27
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	1
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	1
k__Eukaryota	37346
k__Eukaryota|k__Viridiplantae	35482
k__Eukaryota|k__Viridiplantae|p__Streptophyta	35480
