#Classification	S-15-POLPIL-B_bracken_O.kreport
k__Bacteria	422001
k__Bacteria|p__Proteobacteria	327993
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	160229
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	159619
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	608
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	143994
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	108940
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	31257
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1589
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2202
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	23145
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	4479
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	7329
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	10991
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	48
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	62
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	219
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	15
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	552
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	551
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	69
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	69
k__Bacteria|p__Proteobacteria|c__Oligoflexia	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	2
k__Bacteria|p__Actinobacteria	74808
k__Bacteria|p__Actinobacteria|c__Actinomycetia	70979
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	42031
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	7059
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	9394
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2648
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	3613
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1741
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	3251
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	624
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	296
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	109
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	81
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	127
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2014
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2014
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1700
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1700
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	113
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	113
k__Bacteria|p__Firmicutes	415
k__Bacteria|p__Firmicutes|c__Bacilli	415
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	392
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	23
k__Bacteria|p__Cyanobacteria	309
k__Bacteria|p__Cyanobacteria|o__Nostocales	54
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	252
k__Bacteria|p__Cyanobacteria|o__Chroococcales	2
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	3
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	3
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	1
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	1
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	1
k__Bacteria|p__Bacteroidetes	9544
k__Bacteria|p__Bacteroidetes|c__Cytophagia	5011
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	5011
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	3759
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	3759
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	618
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	618
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	150
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	150
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	4
k__Bacteria|p__Rhodothermaeota	31
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	31
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	31
k__Bacteria|p__Gemmatimonadetes	231
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	231
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	231
k__Bacteria|p__Acidobacteria	6468
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	6468
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	6467
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	1
k__Bacteria|p__Planctomycetes	1280
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1272
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	810
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	276
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	185
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	8
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	8
k__Bacteria|p__Verrucomicrobia	203
k__Bacteria|p__Verrucomicrobia|c__Opitutae	182
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	182
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	21
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	21
k__Bacteria|p__Chlamydiae	9
k__Bacteria|p__Chlamydiae|c__Chlamydiia	9
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	9
k__Bacteria|p__Spirochaetes	700
k__Bacteria|p__Spirochaetes|c__Spirochaetia	700
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	700
k__Eukaryota	13924
k__Eukaryota|k__Viridiplantae	9689
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9670
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	8762
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	8762
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	907
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales	703
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	144
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	22
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	7
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	11
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Nymphaeales	2
