#Classification	S-22-POLPIL-B_bracken_P.kreport
k__Bacteria	475370
k__Bacteria|p__Cyanobacteria	104358
k__Bacteria|p__Actinobacteria	67233
k__Bacteria|p__Chloroflexi	20
k__Bacteria|p__Firmicutes	1735
k__Bacteria|p__Armatimonadetes	22
k__Bacteria|p__Deinococcus-Thermus	2
k__Bacteria|p__Proteobacteria	278333
k__Bacteria|p__Acidobacteria	15211
k__Bacteria|p__Bacteroidetes	5599
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	2219
k__Bacteria|p__Verrucomicrobia	200
k__Bacteria|p__Chlamydiae	24
k__Bacteria|p__Spirochaetes	401
k__Bacteria|p__Synergistetes	6
k__Eukaryota	5655
k__Eukaryota|k__Metazoa	2777
k__Eukaryota|k__Metazoa|p__Chordata	2777
k__Eukaryota|k__Fungi	1138
k__Eukaryota|k__Fungi|p__Ascomycota	727
k__Eukaryota|k__Fungi|p__Basidiomycota	411
k__Eukaryota|k__Viridiplantae	1740
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1729
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
