#Classification	S-4-DICUND-B_bracken_C.kreport
k__Bacteria	165800
k__Bacteria|p__Actinobacteria	101225
k__Bacteria|p__Actinobacteria|c__Actinomycetia	96127
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2543
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	89
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2464
k__Bacteria|p__Firmicutes	537
k__Bacteria|p__Firmicutes|c__Bacilli	537
k__Bacteria|p__Chloroflexi	9
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	6
k__Bacteria|p__Chloroflexi|c__Tepidiformia	2
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	7
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	1
k__Bacteria|p__Proteobacteria	58858
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	28869
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	22218
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7565
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	198
k__Bacteria|p__Proteobacteria|c__Oligoflexia	6
k__Bacteria|p__Acidobacteria	3527
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3527
k__Bacteria|p__Planctomycetes	739
k__Bacteria|p__Planctomycetes|c__Planctomycetia	732
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	7
k__Bacteria|p__Verrucomicrobia	135
k__Bacteria|p__Verrucomicrobia|c__Opitutae	103
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	31
k__Bacteria|p__Chlamydiae	18
k__Bacteria|p__Chlamydiae|c__Chlamydiia	18
k__Bacteria|p__Bacteroidetes	736
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	688
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	44
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Gemmatimonadetes	5
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	5
k__Eukaryota	5080
k__Eukaryota|k__Viridiplantae	3578
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3578
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2626
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	952
k__Eukaryota|k__Metazoa	1230
k__Eukaryota|k__Metazoa|p__Chordata	1230
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1230
k__Eukaryota|k__Fungi	270
k__Eukaryota|k__Fungi|p__Ascomycota	218
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	57
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	57
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	95
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	8
k__Eukaryota|k__Fungi|p__Basidiomycota	52
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	52
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
