#Classification	S-9-POLPIL-G_bracken_C.kreport
k__Bacteria	91461
k__Bacteria|p__Proteobacteria	75737
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	27697
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	35484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12535
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	19
k__Bacteria|p__Actinobacteria	11407
k__Bacteria|p__Actinobacteria|c__Actinomycetia	8864
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	122
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2419
k__Bacteria|p__Firmicutes	1224
k__Bacteria|p__Firmicutes|c__Bacilli	1224
k__Bacteria|p__Tenericutes	38
k__Bacteria|p__Tenericutes|c__Mollicutes	38
k__Bacteria|p__Chloroflexi	7
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	7
k__Bacteria|p__Acidobacteria	2293
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2293
k__Bacteria|p__Bacteroidetes	443
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	426
k__Bacteria|p__Bacteroidetes|c__Cytophagia	11
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	4
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2
k__Bacteria|p__Gemmatimonadetes	19
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	19
k__Bacteria|p__Planctomycetes	280
k__Bacteria|p__Planctomycetes|c__Planctomycetia	278
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	1
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Chlamydiae|c__Chlamydiia	7
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2
k__Eukaryota	72186
k__Eukaryota|k__Viridiplantae	69308
k__Eukaryota|k__Viridiplantae|p__Streptophyta	69303
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	64674
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4629
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	4
k__Eukaryota|k__Metazoa	2465
k__Eukaryota|k__Metazoa|p__Chordata	2465
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2465
k__Eukaryota|k__Fungi	412
k__Eukaryota|k__Fungi|p__Ascomycota	388
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	121
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	37
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	161
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	63
k__Eukaryota|k__Fungi|p__Basidiomycota	23
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	23
