#Classification	N-2-TORTOR-G_bracken_P.kreport
k__Bacteria	23500
k__Bacteria|p__Cyanobacteria	8934
k__Bacteria|p__Actinobacteria	2614
k__Bacteria|p__Firmicutes	3831
k__Bacteria|p__Armatimonadetes	4
k__Bacteria|p__Proteobacteria	7303
k__Bacteria|p__Planctomycetes	420
k__Bacteria|p__Verrucomicrobia	4
k__Bacteria|p__Acidobacteria	336
k__Bacteria|p__Bacteroidetes	52
k__Eukaryota	8202
k__Eukaryota|k__Viridiplantae	5874
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5874
k__Eukaryota|k__Metazoa	2326
k__Eukaryota|k__Metazoa|p__Chordata	2326
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
