#Classification	N-3-POLJUN-G_bracken_C.kreport
k__Bacteria	215080
k__Bacteria|p__Proteobacteria	212202
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	136750
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	68440
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	5560
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1450
k__Bacteria|p__Actinobacteria	1880
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1880
k__Bacteria|p__Firmicutes	7
k__Bacteria|p__Firmicutes|c__Bacilli	7
k__Bacteria|p__Acidobacteria	904
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	904
k__Bacteria|p__Bacteroidetes	67
k__Bacteria|p__Bacteroidetes|c__Cytophagia	52
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	15
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Planctomycetes|c__Planctomycetia	18
k__Eukaryota	1803
k__Eukaryota|k__Viridiplantae	1516
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1516
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1401
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	114
k__Eukaryota|k__Metazoa	281
k__Eukaryota|k__Metazoa|p__Chordata	281
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	281
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	2
