#Classification	S-13-POLPIL-G_bracken_O.kreport
k__Bacteria	37651
k__Bacteria|p__Proteobacteria	33422
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	22051
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	15892
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	5809
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	39
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	297
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	11
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9791
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	9790
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1578
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1391
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	13
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1
k__Bacteria|p__Actinobacteria	1968
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1921
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1358
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	200
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	320
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	23
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	47
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	47
k__Bacteria|p__Firmicutes	826
k__Bacteria|p__Firmicutes|c__Bacilli	826
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	826
k__Bacteria|p__Acidobacteria	801
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	801
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	801
k__Bacteria|p__Bacteroidetes	628
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	524
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	524
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	87
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	87
k__Bacteria|p__Bacteroidetes|c__Cytophagia	16
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	16
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	3
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	1
k__Eukaryota	4898
k__Eukaryota|k__Viridiplantae	4378
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4378
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	4354
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	4354
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	24
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	22
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	2
k__Eukaryota|k__Metazoa	395
k__Eukaryota|k__Metazoa|p__Chordata	395
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	395
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	395
k__Eukaryota|k__Fungi	124
k__Eukaryota|k__Fungi|p__Ascomycota	92
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	50
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	50
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	37
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	30
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	4
k__Eukaryota|k__Fungi|p__Basidiomycota	31
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	31
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	24
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales	7
