#Classification	S-2-POLCOM-B_bracken_O.kreport
k__Bacteria	64096
k__Bacteria|p__Proteobacteria	55500
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33759
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	22496
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	10212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1016
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	33
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	17149
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	17149
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4572
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	3495
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	635
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	385
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	55
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	19
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	19
k__Bacteria|p__Actinobacteria	3548
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3548
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2143
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	235
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	21
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	336
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	16
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	554
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	113
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	52
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	66
k__Bacteria|p__Cyanobacteria	908
k__Bacteria|p__Cyanobacteria|o__Nostocales	908
k__Bacteria|p__Firmicutes	501
k__Bacteria|p__Firmicutes|c__Bacilli	501
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	281
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	220
k__Bacteria|p__Acidobacteria	2566
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2566
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2566
k__Bacteria|p__Bacteroidetes	1027
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	403
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	403
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	360
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	360
k__Bacteria|p__Bacteroidetes|c__Cytophagia	260
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	260
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	3
k__Bacteria|p__Planctomycetes	42
k__Bacteria|p__Planctomycetes|c__Planctomycetia	42
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	31
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	11
k__Eukaryota	600
k__Eukaryota|k__Metazoa	341
k__Eukaryota|k__Metazoa|p__Chordata	341
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	341
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	341
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Ascomycota	12
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	1
k__Eukaryota|k__Viridiplantae	246
k__Eukaryota|k__Viridiplantae|p__Streptophyta	246
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	232
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	232
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	14
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	13
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	1
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	1
