#Classification	S-2-POLPIL-B_bracken_C.kreport
k__Bacteria	48360
k__Bacteria|p__Proteobacteria	30580
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	14840
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	11580
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4149
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	10
k__Bacteria|p__Acidobacteria	12036
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	12036
k__Bacteria|p__Actinobacteria	5155
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5155
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Firmicutes|c__Bacilli	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Planctomycetes	373
k__Bacteria|p__Planctomycetes|c__Planctomycetia	373
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Bacteroidetes	210
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	190
k__Bacteria|p__Bacteroidetes|c__Cytophagia	20
k__Eukaryota	918
k__Eukaryota|k__Metazoa	384
k__Eukaryota|k__Metazoa|p__Chordata	384
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	384
k__Eukaryota|k__Fungi	280
k__Eukaryota|k__Fungi|p__Ascomycota	220
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	21
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	182
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	9
k__Eukaryota|k__Fungi|p__Basidiomycota	60
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	33
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	26
k__Eukaryota|k__Viridiplantae	252
k__Eukaryota|k__Viridiplantae|p__Streptophyta	252
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	240
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	12
