#Classification	S-24-POLJUN-B_bracken_O.kreport
k__Bacteria	49925
k__Bacteria|p__Proteobacteria	24641
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	17485
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	12375
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4884
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5331
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1822
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	312
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2
k__Bacteria|p__Cyanobacteria	18215
k__Bacteria|p__Cyanobacteria|o__Nostocales	17826
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	368
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	19
k__Bacteria|p__Actinobacteria	1796
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1796
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1555
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	46
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	190
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	3
k__Bacteria|p__Acidobacteria	5032
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	5032
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	5032
k__Bacteria|p__Planctomycetes	154
k__Bacteria|p__Planctomycetes|c__Planctomycetia	154
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	95
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	58
k__Bacteria|p__Bacteroidetes	83
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	73
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	73
k__Bacteria|p__Bacteroidetes|c__Cytophagia	9
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	9
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	1
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	2
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	2
k__Eukaryota	639
k__Eukaryota|k__Viridiplantae	368
k__Eukaryota|k__Viridiplantae|p__Streptophyta	368
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	367
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	367
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	1
k__Eukaryota|k__Metazoa	241
k__Eukaryota|k__Metazoa|p__Chordata	241
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	241
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	241
k__Eukaryota|k__Fungi	29
k__Eukaryota|k__Fungi|p__Ascomycota	17
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	17
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	17
k__Eukaryota|k__Fungi|p__Basidiomycota	12
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	12
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	12
