#Classification	S-7-POLJUN-G_bracken_P.kreport
k__Bacteria	48597
k__Bacteria|p__Proteobacteria	47076
k__Bacteria|p__Actinobacteria	829
k__Bacteria|p__Cyanobacteria	222
k__Bacteria|p__Firmicutes	101
k__Bacteria|p__Acidobacteria	210
k__Bacteria|p__Bacteroidetes	151
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	1671
k__Eukaryota|k__Viridiplantae	1573
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1573
k__Eukaryota|k__Metazoa	84
k__Eukaryota|k__Metazoa|p__Chordata	84
k__Eukaryota|k__Fungi	13
k__Eukaryota|k__Fungi|p__Ascomycota	9
k__Eukaryota|k__Fungi|p__Basidiomycota	4
