#Classification	S-9-POLCOM-G_bracken_P.kreport
k__Bacteria	50636
k__Bacteria|p__Proteobacteria	47431
k__Bacteria|p__Actinobacteria	2346
k__Bacteria|p__Cyanobacteria	4
k__Bacteria|p__Firmicutes	175
k__Bacteria|p__Acidobacteria	531
k__Bacteria|p__Bacteroidetes	147
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	903
k__Eukaryota|k__Viridiplantae	751
k__Eukaryota|k__Viridiplantae|p__Streptophyta	751
k__Eukaryota|k__Metazoa	133
k__Eukaryota|k__Metazoa|p__Chordata	133
k__Eukaryota|k__Fungi	17
k__Eukaryota|k__Fungi|p__Ascomycota	14
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|p__Euglenozoa	1
