#Classification	W-2-TORTOR-G_bracken_C.kreport
k__Bacteria	38074
k__Bacteria|p__Proteobacteria	35385
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	20997
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3914
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10473
k__Bacteria|p__Actinobacteria	1594
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1502
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	91
k__Bacteria|p__Firmicutes	431
k__Bacteria|p__Firmicutes|c__Bacilli	431
k__Bacteria|p__Bacteroidetes	348
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	241
k__Bacteria|p__Bacteroidetes|c__Cytophagia	104
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3
k__Bacteria|p__Acidobacteria	299
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	299
k__Bacteria|p__Verrucomicrobia	11
k__Bacteria|p__Verrucomicrobia|c__Opitutae	11
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3
k__Eukaryota	4130
k__Eukaryota|k__Viridiplantae	3922
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3922
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	3825
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	97
k__Eukaryota|k__Metazoa	193
k__Eukaryota|k__Metazoa|p__Chordata	193
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	193
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	2
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	2
k__Eukaryota|p__Euglenozoa	2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	2
