name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium rhododendri	119997	S	2342	29429	31771	0.35597
Rhizobium tumorigenes	120079	S	45	595	640	0.00717
Rhizobium sp001424945	120005	S	1	4	5	0.00006
Pararhizobium sp900468065	119844	S	2	7	9	0.00010
Phyllobacterium calauticae	119855	S	2	31	33	0.00037
Agrobacterium sp900012625	119075	S	1	21	22	0.00025
Neorhizobium soli	119714	S	1	8	9	0.00010
Allorhizobium sp023701945	119138	S	1	4	5	0.00006
Methylobacterium sp022829365	118326	S	506	6194	6700	0.07507
Methylobacterium cerastii	118248	S	100	1163	1263	0.01415
Methylobacterium sp022829385	118327	S	88	816	904	0.01013
Methylobacterium sp008039875	118308	S	68	830	898	0.01006
Methylobacterium sp022829585	118333	S	49	502	551	0.00617
Methylobacterium sp022829545	118332	S	17	156	173	0.00194
Methylobacterium sp001422985	118296	S	4	34	38	0.00043
Methylobacterium sp010692745	118311	S	4	29	33	0.00037
Methylobacterium sp022829295	118324	S	4	40	44	0.00049
Methylobacterium sp001455965	118303	S	3	31	34	0.00038
Methylobacterium sp022829515	118331	S	3	41	44	0.00049
Methylobacterium sp001423085	118297	S	2	29	31	0.00035
Methylobacterium mesophilicum	118269	S	2	90	92	0.00103
Methylobacterium sp022829635	118335	S	2	28	30	0.00034
Methylobacterium aquaticum	118243	S	1	14	15	0.00017
Methylobacterium sp022702195	118322	S	1	3	4	0.00004
Methylobacterium sp022829405	118328	S	1	12	13	0.00015
Methylobacterium sp021352225	118320	S	1	7	8	0.00009
Methylobacterium sp022829685	118336	S	1	10	11	0.00012
Lichenihabitans flavocetrariae	118233	S	108	169	277	0.00310
Lichenihabitans minor	118234	S	5	43	48	0.00054
RH-AL1 sp009765775	118495	S	9	49	58	0.00065
RH-AL1 sp901457705	118497	S	4	65	69	0.00077
Roseiarcus sp030153205	118539	S	3	3	6	0.00007
Bradyrhizobium sp004799405	120542	S	1	20	21	0.00024
Azorhizobium doebereinerae	120376	S	2	44	46	0.00052
Tardiphaga robiniae_A	120828	S	1	11	12	0.00013
Lichenicoccus roseus	113922	S	1207	4703	5910	0.06622
Acidisoma sp009765865	113615	S	367	776	1143	0.01281
Lichenicola sp903844135	113925	S	20	240	260	0.00291
Lichenicola cladoniae	113923	S	1	5	6	0.00007
LMUY01 sp009765685	113921	S	8	58	66	0.00074
JAFAYA01 sp019240395	113853	S	4	19	23	0.00026
Acidiphilium sp026191915	113609	S	2	32	34	0.00038
BOG-908 sp937873095	113678	S	2	4	6	0.00007
CAHJXG01 sp903644035	113707	S	1	4	5	0.00006
Paracraurococcus frigidaeris	113985	S	1	40	41	0.00046
JANXTF01 sp025350425	113895	S	1	6	7	0.00008
DAIDJM01 sp027451405	113773	S	1	5	6	0.00007
BOG-930 sp903907955	113682	S	1	9	10	0.00011
Sphingomonas_N sp937859915	125357	S	500	2559	3059	0.03427
