name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium rhododendri	119997	S	2956	30168	33124	0.33350
Rhizobium tumorigenes	120079	S	20	214	234	0.00236
Rhizobium sp016429255	120036	S	2	20	22	0.00022
Rhizobium sp900470805	120061	S	1	5	6	0.00006
Mesorhizobium sp024746835	119646	S	4	41	45	0.00045
Pararhizobium sp900468065	119844	S	2	8	10	0.00010
Allorhizobium sp023701945	119138	S	4	15	19	0.00019
Methylobacterium sp008039875	118308	S	795	6757	7552	0.07604
Methylobacterium sp022829515	118331	S	320	3030	3350	0.03373
Methylobacterium sp022829385	118327	S	257	1668	1925	0.01938
Methylobacterium sp022829365	118326	S	242	2057	2299	0.02315
Methylobacterium sp017833295	118314	S	230	3340	3570	0.03594
Methylobacterium sp022829585	118333	S	88	634	722	0.00727
Methylobacterium sp022829635	118335	S	68	672	740	0.00745
Methylobacterium brachythecii	118246	S	41	186	227	0.00229
Methylobacterium sp001455965	118303	S	36	263	299	0.00301
Methylobacterium cerastii	118248	S	18	145	163	0.00164
Methylobacterium mesophilicum	118269	S	13	443	456	0.00459
Methylobacterium longum	118267	S	10	59	69	0.00069
Methylobacterium sp022829605	118334	S	8	57	65	0.00065
Methylobacterium sp008000895	118307	S	7	110	117	0.00118
Methylobacterium sp022829545	118332	S	6	38	44	0.00044
Methylobacterium sp022829285	118323	S	6	58	64	0.00064
Methylobacterium sp022702195	118322	S	3	6	9	0.00009
Methylobacterium sp022829295	118324	S	2	14	16	0.00016
Methylobacterium marchantiae	118268	S	2	12	14	0.00014
Methylobacterium brachiatum	118245	S	2	31	33	0.00033
Methylobacterium sp028290105	118341	S	2	8	10	0.00010
Methylobacterium trifolii	118358	S	2	1114	1116	0.01124
Methylobacterium sp001422985	118296	S	1	6	7	0.00007
Methylobacterium sp021352225	118320	S	1	5	6	0.00006
Methylobacterium haplocladii	118261	S	1	5	6	0.00006
Methylobacterium sp022829685	118336	S	1	7	8	0.00008
Methylobacterium sp920984675	118348	S	1	8	9	0.00009
Lichenihabitans flavocetrariae	118233	S	119	130	249	0.00251
Lichenihabitans minor	118234	S	36	205	241	0.00243
Lichenihabitans ramalinae	118236	S	5	26	31	0.00031
Lichenihabitans sp021730615	118237	S	1	8	9	0.00009
