name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acidisoma sp009765865	113615	S	28666	81814	110480	0.20753
Acidisoma silvae	113614	S	10	29	39	0.00007
Acidisoma sp030252425	113617	S	1	3	4	0.00001
Lichenicoccus roseus	113922	S	1215	6244	7459	0.01401
LMUY01 sp009765685	113921	S	73	242	315	0.00059
Rhodopila sp028291505	114031	S	6	4	10	0.00002
Rhodopila sp027311485	114029	S	4	50	54	0.00010
Rhodopila sp009765975	114020	S	3	16	19	0.00004
Rhodopila sp001898425	114015	S	2	77	79	0.00015
Rhodopila globiformis	114014	S	1	6	7	0.00001
Rhodopila sp903944925	114042	S	1	9	10	0.00002
Rhodopila sp031291795	114033	S	1	1	2	0.00000
Rhodopila sp003506895	114018	S	1	15	16	0.00003
Lichenicola cladoniae	113923	S	6	32	38	0.00007
Lichenicola sp903844135	113925	S	4	64	68	0.00013
Acidocella atsumiense_A	113622	S	1	0	1	0.00000
Acidocella sp026224825	113647	S	1	5	6	0.00001
Acidocella sp021798575	113635	S	1	9	10	0.00002
Acidocella sp026224875	113648	S	1	0	1	0.00000
CAHJXG01 sp937858325	113708	S	6	16	22	0.00004
CAHJXG01 sp903644035	113707	S	1	6	7	0.00001
BOG-908 sp937873095	113678	S	3	6	9	0.00002
Acetobacter oeni	113562	S	2	20	22	0.00004
Acidibrevibacterium fodinaquatile	113591	S	1	307	308	0.00058
Bradyrhizobium sp009766005	120549	S	244	3690	3934	0.00739
Bradyrhizobium rifense	120500	S	234	5397	5631	0.01058
Bradyrhizobium erythrophlei_B	120444	S	57	622	679	0.00128
Bradyrhizobium erythrophlei_D	120446	S	17	260	277	0.00052
Bradyrhizobium sp000938305	120524	S	13	218	231	0.00043
Bradyrhizobium sp028290305	120629	S	13	91	104	0.00020
Bradyrhizobium sp000938255	120523	S	12	213	225	0.00042
Bradyrhizobium erythrophlei_A	120443	S	12	220	232	0.00044
Bradyrhizobium sp021779635	120589	S	8	924	932	0.00175
Bradyrhizobium erythrophlei_C	120445	S	7	77	84	0.00016
Bradyrhizobium ottawaense_A	120495	S	6	128	134	0.00025
Bradyrhizobium sp030654605	120652	S	6	198	204	0.00038
Bradyrhizobium canariense_A	120419	S	6	67	73	0.00014
Bradyrhizobium sp018449695	120574	S	5	56	61	0.00011
Bradyrhizobium diazoefficiens_A	120431	S	4	254	258	0.00048
Bradyrhizobium sp900103365	120657	S	4	82	86	0.00016
Bradyrhizobium sp028290165	120628	S	3	38	41	0.00008
Bradyrhizobium sp019748335	120583	S	2	217	219	0.00041
Bradyrhizobium sp028290765	120630	S	2	15	17	0.00003
Bradyrhizobium sp023073315	120592	S	2	45	47	0.00009
Bradyrhizobium lablabi_A	120472	S	2	18	20	0.00004
Bradyrhizobium sp023101685	120607	S	2	52	54	0.00010
Bradyrhizobium sp017305715	120563	S	2	47	49	0.00009
Bradyrhizobium commune	120425	S	2	48	50	0.00009
Bradyrhizobium barranii	120412	S	1	179	180	0.00034
Bradyrhizobium sp000515415	120520	S	1	40	41	0.00008
Bradyrhizobium tropiciagri_B	120671	S	1	99	100	0.00019
Bradyrhizobium sp004799405	120542	S	1	15	16	0.00003
Bradyrhizobium liaoningense	120475	S	1	65	66	0.00012
Bradyrhizobium sp030403585	120649	S	1	24	25	0.00005
Bradyrhizobium diversitatis	120439	S	1	38	39	0.00007
Bradyrhizobium sp029846715	120641	S	1	29	30	0.00006
Bradyrhizobium quebecense	120498	S	1	40	41	0.00008
Bradyrhizobium sp029761915	120639	S	1	21	22	0.00004
Bradyrhizobium sp031202265	120656	S	1	21	22	0.00004
Bradyrhizobium sp000244915	120510	S	1	40	41	0.00008
Pseudolabrys sp903891395	120775	S	25	76	101	0.00019
Tardiphaga sp008329525	120832	S	2	27	29	0.00005
Tardiphaga sp023449855	120835	S	1	235	236	0.00044
Tardiphaga sp900114605	120844	S	1	21	22	0.00004
Tardiphaga sp028290785	120842	S	1	21	22	0.00004
Tardiphaga sp028290495	120841	S	1	25	26	0.00005
Tardiphaga sp007018905	120831	S	1	35	36	0.00007
VAZQ01 sp955652925	120852	S	6	10	16	0.00003
NCEH01 sp002257205	120718	S	1	187	188	0.00035
JAQGJU01 sp028290465	120707	S	1	15	16	0.00003
JAJPKK01 sp030043175	120705	S	1	0	1	0.00000
Methylobacterium sp022829365	118326	S	617	7694	8311	0.01561
Methylobacterium sp022829385	118327	S	396	4151	4547	0.00854
Methylobacterium sp022829585	118333	S	206	2332	2538	0.00477
Methylobacterium sp008039875	118308	S	32	444	476	0.00089
Methylobacterium sp022829635	118335	S	10	143	153	0.00029
Methylobacterium sp022829605	118334	S	5	50	55	0.00010
Methylobacterium sp022829515	118331	S	3	40	43	0.00008
Methylobacterium longum	118267	S	3	29	32	0.00006
Methylobacterium sp017833295	118314	S	3	69	72	0.00014
Methylobacterium mesophilicum_A	118270	S	1	11	12	0.00002
Methylobacterium cerastii	118248	S	1	13	14	0.00003
Lichenihabitans flavocetrariae	118233	S	37	78	115	0.00022
Lichenihabitans minor	118234	S	3	30	33	0.00006
Lichenihabitans ramalinae	118236	S	1	9	10	0.00002
Lichenihabitans sp021730615	118237	S	1	14	15	0.00003
RH-AL1 sp901457705	118497	S	17	313	330	0.00062
RH-AL1 sp009765775	118495	S	7	52	59	0.00011
Methylocella sp002890675	118366	S	4	5	9	0.00002
Methylocella sp030948025	118374	S	2	62	64	0.00012
Methylocella silvestris_A	118365	S	1	7	8	0.00002
Methylocella sp006514895	118370	S	1	3	4	0.00001
Bosea spartocytisi	118154	S	3	486	489	0.00092
28-YEA-48 sp028290595	118034	S	2	23	25	0.00005
Roseiarcus sp009765995	118533	S	1	6	7	0.00001
Methyloferula sp015655535	118413	S	1	1	2	0.00000
GAS188 sp900104855	118202	S	1	4	5	0.00001
Mesorhizobium sp020616515	119638	S	12	215	227	0.00043
Mesorhizobium loti_B	119525	S	6	485	491	0.00092
Mesorhizobium sp001899205	119567	S	4	824	828	0.00156
Mesorhizobium sp024746815	119645	S	1	45	46	0.00009
Mesorhizobium sp004791165	119598	S	1	51	52	0.00010
Mesorhizobium loti_E	119528	S	1	70	71	0.00013
Mesorhizobium sp015500075	119624	S	1	14	15	0.00003
Mesorhizobium sp000427725	119549	S	1	31	32	0.00006
Rhizobium rhododendri	119997	S	7	177	184	0.00035
Rhizobium sp004341625	120023	S	1	8	9	0.00002
Rhizobium sp014193655	120030	S	1	6	7	0.00001
Rhizobium sp003627795	120021	S	1	25	26	0.00005
Rhizobium lusitanum_C	119980	S	1	16	17	0.00003
Pararhizobium sp001426685	119839	S	3	64	67	0.00013
Ensifer adhaerens_B	119348	S	1	17	18	0.00003
Kaistia sp016629525	118917	S	9	172	181	0.00034
Devosia sp028290435	118638	S	4	94	98	0.00018
Labrys monacha	118924	S	1	38	39	0.00007
Methyloceanibacter sp002383105	118939	S	1	17	18	0.00003
Sphingomonas sp000803065	125109	S	181	4324	4505	0.00846
Sphingomonas sp028292965	125248	S	7	28	35	0.00007
Sphingomonas panacis	125075	S	4	105	109	0.00020
