name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Caballeronia sp001557535	126764	S	1167	16341	17508	0.07869
Caballeronia sordidicola_C	126762	S	19	97	116	0.00052
Caballeronia sordidicola_A	126761	S	13	73	86	0.00039
Caballeronia sp009766085	126765	S	11	87	98	0.00044
Caballeronia sp018449635	126769	S	7	46	53	0.00024
Caballeronia sp028292365	126775	S	3	6	9	0.00004
Caballeronia udeis	126787	S	3	20	23	0.00010
Caballeronia sp001424345	126763	S	2	10	12	0.00005
Caballeronia sp018449515	126768	S	1	5	6	0.00003
Caballeronia sp022878925	126770	S	1	18	19	0.00009
Janthinobacterium agaricidamnosum	127440	S	1167	26171	27338	0.12287
Janthinobacterium sp014200725	127467	S	9	52	61	0.00027
Janthinobacterium sp002869965	127459	S	3	136	139	0.00062
Paraburkholderia sp900996245	128090	S	163	2055	2218	0.00997
Paraburkholderia aspalathi	127967	S	25	385	410	0.00184
Paraburkholderia metrosideri	128013	S	12	123	135	0.00061
Paraburkholderia sp900996235	128089	S	8	59	67	0.00030
Paraburkholderia phenazinium_B	128023	S	6	118	124	0.00056
Paraburkholderia sp900142905	128086	S	4	197	201	0.00090
Paraburkholderia madseniana	128011	S	2	29	31	0.00014
Paraburkholderia elongata	127986	S	2	20	22	0.00010
Paraburkholderia podalyriae	128030	S	1	9	10	0.00004
Paraburkholderia sp000745015	128047	S	1	36	37	0.00017
Paraburkholderia domus	127983	S	1	24	25	0.00011
Paraburkholderia solisilvae	128042	S	1	4	5	0.00002
Paraburkholderia phenazinium_A	128022	S	1	28	29	0.00013
Paraburkholderia dioscoreae	127982	S	1	33	34	0.00015
Paraburkholderia sp900996225	128088	S	1	8	9	0.00004
Variovorax sp009765735	129478	S	530	10940	11470	0.05155
Variovorax sp030317035	129508	S	4	65	69	0.00031
Variovorax paradoxus_A	129446	S	1	22	23	0.00010
Variovorax sp901827185	129526	S	1	72	73	0.00033
Variovorax boronicumulans_A	129436	S	1	22	23	0.00010
Pararobbsia sp026225235	128132	S	197	305	502	0.00226
Scleromatobacter sp013289985	129085	S	2	68	70	0.00031
Scleromatobacter humisilvae	129084	S	1	36	37	0.00017
Scleromatobacter sp903845345	129089	S	1	39	40	0.00018
Duganella sp001423125	127011	S	1	31	32	0.00014
Duganella sacchari	127009	S	1	7	8	0.00004
