#Classification	S-18-POLPIL-G_bracken_P.kreport
k__Bacteria	22025
k__Bacteria|p__Proteobacteria	20215
k__Bacteria|p__Actinobacteria	1113
k__Bacteria|p__Cyanobacteria	6
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Bacteroidetes	476
k__Bacteria|p__Acidobacteria	187
k__Bacteria|p__Planctomycetes	25
k__Eukaryota	2187
k__Eukaryota|k__Viridiplantae	1718
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1718
k__Eukaryota|k__Metazoa	464
k__Eukaryota|k__Metazoa|p__Chordata	464
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	5
