#Classification	S-3-POLJUN-G_bracken_C.kreport
k__Bacteria	18847
k__Bacteria|p__Proteobacteria	18237
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	15499
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	241
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	11
k__Bacteria|p__Actinobacteria	488
k__Bacteria|p__Actinobacteria|c__Actinomycetia	437
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	50
k__Bacteria|p__Acidobacteria	102
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	102
k__Bacteria|p__Bacteroidetes	18
k__Bacteria|p__Bacteroidetes|c__Cytophagia	11
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	7
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Eukaryota	967
k__Eukaryota|k__Viridiplantae	846
k__Eukaryota|k__Viridiplantae|p__Streptophyta	846
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	841
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5
k__Eukaryota|k__Metazoa	116
k__Eukaryota|k__Metazoa|p__Chordata	116
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	116
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
