#Classification	S-4-DICUND-G_bracken_O.kreport
k__Bacteria	11715
k__Bacteria|p__Cyanobacteria	4349
k__Bacteria|p__Cyanobacteria|o__Nostocales	4349
k__Bacteria|p__Actinobacteria	2660
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2660
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2429
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	28
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	199
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	3
k__Bacteria|p__Firmicutes	1167
k__Bacteria|p__Firmicutes|c__Bacilli	1167
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1167
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	1
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	1
k__Bacteria|p__Proteobacteria	3281
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1403
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	38
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	138
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1224
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1055
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1012
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	42
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	820
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	308
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	503
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1
k__Bacteria|p__Acidobacteria	205
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	205
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	205
k__Bacteria|p__Bacteroidetes	48
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	41
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	41
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	6
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Eukaryota	2499
k__Eukaryota|k__Viridiplantae	1453
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1453
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1453
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1453
k__Eukaryota|k__Metazoa	973
k__Eukaryota|k__Metazoa|p__Chordata	973
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	973
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	973
k__Eukaryota|k__Fungi	69
k__Eukaryota|k__Fungi|p__Basidiomycota	64
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	64
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	64
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	4
k__Eukaryota|p__Euglenozoa	3
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	3
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	3
