#Classification	S-21-POLJUN-B_bracken_F.kreport
k__Bacteria	2071
k__Bacteria|p__Proteobacteria	737
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	416
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	416
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	266
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	266
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	266
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	53
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	53
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	40
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	1
k__Bacteria|p__Cyanobacteria	641
k__Bacteria|p__Cyanobacteria|o__Nostocales	641
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	641
k__Bacteria|p__Actinobacteria	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	14
k__Bacteria|p__Acidobacteria	438
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	438
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	438
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	438
k__Bacteria|p__Bacteroidetes	233
k__Bacteria|p__Bacteroidetes|c__Cytophagia	233
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	233
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	233
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	4
