#Classification	S-24-POLPIL-G_bracken_S.kreport
k__Bacteria	251
k__Bacteria|p__Proteobacteria	230
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	230
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	230
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	230
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	167
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._PAMC_28687	167
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	62
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_fungorum	62
k__Bacteria|p__Cyanobacteria	16
k__Bacteria|p__Cyanobacteria|o__Nostocales	16
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	16
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc	16
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc|s__Nostoc_sp._ATCC_53789	16
k__Bacteria|p__Acidobacteria	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina|s__Acidisarcina_polymorpha	4
