#Classification	W-1-POLJUN-G_bracken_C.kreport
k__Bacteria	1087
k__Bacteria|p__Proteobacteria	702
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	660
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7
k__Bacteria|p__Actinobacteria	333
k__Bacteria|p__Actinobacteria|c__Actinomycetia	333
k__Bacteria|p__Acidobacteria	48
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	48
k__Bacteria|p__Bacteroidetes	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Eukaryota	13
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	10
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3
