name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp022829385	118327	S	52	870	922	0.13848
Methylobacterium sp022829365	118326	S	5	101	106	0.01592
Methylobacterium sp008039875	118308	S	2	45	47	0.00706
Methylobacterium sp022829585	118333	S	1	18	19	0.00285
Lichenihabitans minor	118234	S	1	14	15	0.00225
Pseudolabrys sp903891395	120775	S	7	13	20	0.00300
Rhizobium rhododendri	119997	S	1	29	30	0.00451
Acidisoma sp009765865	113615	S	48	229	277	0.04160
Lichenicoccus roseus	113922	S	31	253	284	0.04266
LMUY01 sp009765685	113921	S	1	25	26	0.00391
Reyranella aerosaccus_B	117836	S	1	55	56	0.00841
Caballeronia sp001557535	126764	S	47	1427	1474	0.22139
Caballeronia udeis	126787	S	4	55	59	0.00886
Caballeronia sp028292365	126775	S	1	3	4	0.00060
Caballeronia sordidicola_A	126761	S	1	10	11	0.00165
Caballeronia sordidicola_C	126762	S	1	10	11	0.00165
Rugamonas sp025354735	129027	S	3	52	55	0.00826
Scleromatobacter humisilvae	129084	S	1	75	76	0.01141
CAHJXF01 sp903644065	126686	S	1	12	13	0.00195
Nostoc sp017115085	96877	S	8	213	221	0.03319
Nostoc sp002245985	96858	S	6	434	440	0.06609
Nostoc sp028623165	96889	S	4	157	161	0.02418
Nostoc punctiforme_A	96856	S	2	67	69	0.01036
Nostoc muscorum	96852	S	1	68	69	0.01036
Nostoc sp002949735	96860	S	1	60	61	0.00916
NSF051 sp937873135	96830	S	4	34	38	0.00571
NSF051 sp029379265	96828	S	2	12	14	0.00210
Stigonema ocellatum	96939	S	3	823	826	0.12406
Stigonema sp903903925	96940	S	2	6	8	0.00120
Trichormus sp013393945	96953	S	1	26	27	0.00406
Trichormus sp019976755	96955	S	1	34	35	0.00526
Acidisarcina polymorpha	40108	S	188	336	524	0.07870
Edaphobacter lichenicola	40130	S	4	234	238	0.03575
Edaphobacter lichenicola_C	40133	S	2	127	129	0.01938
Edaphobacter sp001897435	40140	S	1	28	29	0.00436
Granulicella_D aggregans_A	40206	S	3	10	13	0.00195
Granulicella sp937871785	40193	S	1	0	1	0.00015
Granulicella paludicola	40167	S	1	2	3	0.00045
Granulicella_B arctica	40194	S	2	6	8	0.00120
Occallatibacter gabretensis	40248	S	1	21	22	0.00330
Mucilaginibacter sp030775685	89958	S	12	48	60	0.00901
Mucilaginibacter sp024808665	89928	S	4	25	29	0.00436
Mucilaginibacter lappiensis	89867	S	1	5	6	0.00090
Mucilaginibacter sp028287925	89940	S	1	13	14	0.00210
Mycobacterium sp002863225	46673	S	1	11	12	0.00180
RYN-133 sp025963285	45625	S	1	20	21	0.00315
Capsulimonas corticalis	52990	S	11	27	38	0.00571
Gemmata tundricola	112182	S	2	6	8	0.00120
JAJPII01 sp021324825	144329	S	1	0	1	0.00015
