name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Janthinobacterium sp014200725	127467	S	4	70	74	0.04295
Paraburkholderia metrosideri	128013	S	2	30	32	0.01857
Paraburkholderia sp900996245	128090	S	2	38	40	0.02322
Paraburkholderia sp900142905	128086	S	1	102	103	0.05978
Paraburkholderia aspalathi	127967	S	1	17	18	0.01045
Caballeronia sp001557535	126764	S	3	83	86	0.04991
Caballeronia sp009766085	126765	S	1	14	15	0.00871
Variovorax sp009765735	129478	S	2	113	115	0.06674
Variovorax sp030317035	129508	S	1	46	47	0.02728
Herbaspirillum sp004563925	127128	S	1	461	462	0.26814
Pseudomonas_E sp003014915	138658	S	1	137	138	0.08009
Rouxiella silvae	133429	S	4	56	60	0.03482
Lichenicoccus roseus	113922	S	20	149	169	0.09808
Acidisoma sp009765865	113615	S	9	38	47	0.02728
CAJCJG01 sp903970625	113745	S	1	12	13	0.00754
LMUY01 sp009765685	113921	S	1	16	17	0.00987
Rhodopila sp027311485	114029	S	1	54	55	0.03192
Methylobacterium sp022829365	118326	S	4	68	72	0.04179
Methylobacterium sp022829585	118333	S	1	15	16	0.00929
Bradyrhizobium rifense	120500	S	1	9	10	0.00580
Sphingomonas_N sp937859915	125357	S	1	8	9	0.00522
Novosphingobium sp903970225	124574	S	1	26	27	0.01567
CAHJWH01 sp009765965	114500	S	2	23	25	0.01451
Palsa-881 sp028290905	114628	S	1	8	9	0.00522
Mucilaginibacter pineti	89879	S	1	2	3	0.00174
Pedobacter sp030149995	90137	S	1	2	3	0.00174
Puia sp013288945	83678	S	3	16	19	0.01103
Granulicella mallensis	40165	S	1	7	8	0.00464
Acidisarcina polymorpha	40108	S	1	3	4	0.00232
Granulicella_D aggregans_A	40206	S	1	3	4	0.00232
Edaphobacter sp009765825	40142	S	1	2	3	0.00174
Granulicella_B arctica	40194	S	1	4	5	0.00290
