name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Palsa-504 sp003161205	50189	S	906	1286	2192	0.23391
Palsa-504 sp003140115	50188	S	73	255	328	0.03500
Palsa-504 sp003168295	50190	S	18	46	64	0.00683
Palsa-504 sp025934635	50193	S	1	6	7	0.00075
Palsa-506 sp003168215	50198	S	15	91	106	0.01131
Trebonia sp025934375	50339	S	2	13	15	0.00160
Streptacidiphilus albus	48885	S	41	290	331	0.03532
Corynebacterium pilbarense	46118	S	2	372	374	0.03991
Palsa-513 sp003133565	52613	S	193	1690	1883	0.20094
Palsa-465 sp003137075	52572	S	3	2	5	0.00053
PALSA-688 sp003156795	41760	S	29	136	165	0.01761
Palsa-295 sp003153585	39784	S	45	202	247	0.02636
Palsa-295 sp003156635	39785	S	10	17	27	0.00288
Palsa-295 sp003166795	39786	S	4	29	33	0.00352
Acidoferrum sp003161195	39724	S	18	2	20	0.00213
Palsa-147 sp003152355	39776	S	2	10	12	0.00128
Sulfotelmatobacter sp003140655	40541	S	40	92	132	0.01409
Sulfotelmatobacter sp003156615	40542	S	9	22	31	0.00331
Sulfotelmatobacter sp003140075	40540	S	3	9	12	0.00128
Sulfotelmatobacter sp003134995	40537	S	1	2	3	0.00032
QIAJ01 sp003168235	40520	S	2	9	11	0.00117
Granulicella sp903970445	40192	S	8	17	25	0.00267
Granulicella sp903970395	40191	S	2	11	13	0.00139
Granulicella elongata	40164	S	1	0	1	0.00011
Edaphobacter lichenicola	40130	S	6	48	54	0.00576
Edaphobacter lichenicola_D	40134	S	1	7	8	0.00085
Acidisarcina polymorpha	40108	S	4	6	10	0.00107
Granulicella_C rosea	40197	S	2	1	3	0.00032
Granulicella_C sibirica	40198	S	1	3	4	0.00043
Alloacidobacterium sp013285705	40112	S	2	0	2	0.00021
Acidicapsa sp903832475	40106	S	1	8	9	0.00096
Bog-105 sp003167495	39837	S	5	5	10	0.00107
Bog-105 sp003169195	39838	S	2	2	4	0.00043
CAJCIT01 sp903970405	39888	S	3	2	5	0.00053
Palsa-89 sp003166865	40035	S	1	2	3	0.00032
Paraburkholderia phenazinium_B	128023	S	6	55	61	0.00651
Paraburkholderia phenazinium_A	128022	S	5	61	66	0.00704
Paraburkholderia bryophila	127973	S	2	26	28	0.00299
Paraburkholderia agricolaris	127963	S	1	14	15	0.00160
Paraburkholderia phenazinia	128021	S	1	6	7	0.00075
Caballeronia sordidicola_C	126762	S	5	44	49	0.00523
Caballeronia sp001557535	126764	S	1	9	10	0.00107
Mycoavidus sp020023735	127788	S	2	34	36	0.00384
CAJCIC01 sp903970185	126715	S	1	0	1	0.00011
BOG-994 sp903970305	126544	S	1	0	1	0.00011
Pararobbsia sp026225235	128132	S	1	1	2	0.00021
Rhodanobacter sp014200755	140600	S	2	40	42	0.00448
Dyella_B sp903970555	140509	S	2	11	13	0.00139
Nevskia sp903970595	135689	S	2	10	12	0.00128
FEN-1191 sp003132025	139718	S	3	18	21	0.00224
Roseiarcus sp003164825	118530	S	4	47	51	0.00544
Lichenihabitans flavocetrariae	118233	S	1	0	1	0.00011
Acidisoma sp009765865	113615	S	6	4	10	0.00107
Lichenicoccus roseus	113922	S	3	5	8	0.00085
CAIOTO01 sp903861255	115932	S	1	3	4	0.00043
Palsibacter borealis	102221	S	172	2317	2489	0.26561
Tityobacter terrigena	102231	S	7	37	44	0.00470
Palsa-1515 sp903970385	102220	S	5	7	12	0.00128
Mucilaginibacter sp013286235	89902	S	33	7	40	0.00427
Mucilaginibacter sp013288235	89907	S	1	6	7	0.00075
JABEUT01 sp013285805	89743	S	5	25	30	0.00320
Dinghuibacter sp903970475	83100	S	1	0	1	0.00011
Urbifossiella sp003136315	112249	S	44	4	48	0.00512
CAJCIF01 sp903970355	98591	S	13	0	13	0.00139
CAJCHQ01 sp903970295	98590	S	2	0	2	0.00021
Paenibacillus marchantiae	56663	S	1	30	31	0.00331
Paenibacillus_AI sp900104695	56481	S	1	14	15	0.00160
JABDGH01 sp903863295	144937	S	2	0	2	0.00021
Palsa-1400 sp003140095	144667	S	1	1	2	0.00021
Palsa-1447 sp003140665	145400	S	1	11	12	0.00128
