name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium rhododendri	119997	S	20	589	609	0.06065
Rhizobium tumorigenes	120079	S	3	91	94	0.00936
Agrobacterium burrii	119051	S	6	144	150	0.01494
Methylobacterium sp030700285	118344	S	42	824	866	0.08625
Methylobacterium sp001455965	118303	S	42	634	676	0.06732
Methylobacterium sp028290105	118341	S	1	9	10	0.00100
Methylobacterium sp001422985	118296	S	1	14	15	0.00149
Methylobacterium sp022829605	118334	S	1	13	14	0.00139
RH-AL1 sp009765775	118495	S	1	10	11	0.00110
Sphingomonas sp022662475	125218	S	18	395	413	0.04113
Sphingomonas glacialis	125042	S	4	122	126	0.01255
Sphingomonas sp000251145	125102	S	2	70	72	0.00717
Sphingomonas sp005502745	125170	S	2	466	468	0.04661
Sphingomonas sp000241485	125101	S	1	17	18	0.00179
Sphingomonas glacialis_A	125043	S	1	14	15	0.00149
Sphingomicrobium sp030775565	124982	S	1	5	6	0.00060
Lichenicola sp903844135	113925	S	9	232	241	0.02400
Acidisoma sp019351895	113616	S	1	6	7	0.00070
Pseudomonas_E fluorescens	138296	S	22	3786	3808	0.37925
Pseudomonas_E lactucae	138418	S	1	40	41	0.00408
Caballeronia sp001557535	126764	S	1	27	28	0.00279
Rhodanobacter sp002001085	140586	S	1	30	31	0.00309
Rhodanobacter sp903827735	140625	S	1	55	56	0.00558
Frondihabitans sp002074055	43908	S	37	1285	1322	0.13166
Mycobacterium sp016462545	46709	S	5	15	20	0.00199
Pseudonocardia sp001899645	47474	S	2	82	84	0.00837
Nakamurella sp014303395	47166	S	1	24	25	0.00249
Streptomyces hayashii	49179	S	1	576	577	0.05746
Granulicella sp019351975	40174	S	4	7	11	0.00110
Granulicella paludicola	40167	S	1	3	4	0.00040
Terriglobus roseus	40380	S	3	10	13	0.00129
Granulicella_D sp903642265	40207	S	1	1	2	0.00020
Hymenobacter sp013256625	85204	S	1	9	10	0.00100
REEB67 sp018971775	98642	S	5	3	8	0.00080
Pseudanabaena biceps_B	97880	S	1	131	132	0.01315
Deinococcus ruber	98799	S	1	29	30	0.00299
JARLHE01 sp031292385	91765	S	1	7	8	0.00080
JAJYCH01 sp021778575	112279	S	1	1	2	0.00020
