#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5578832.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.5578832.0/N-2-POLJUN-G.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5578832.0/N-2-POLJUN-G_profile.txt /localscratch/ronj2303.5578832.0/all_reads.fastq
#23318783 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.01366	
k__Bacteria	2	2.9863368599895623	
k__Bacteria|p__Proteobacteria	2|1224	2.970637985750283	
k__Bacteria|p__Acidobacteria	2|57723	0.01259427843963398	
k__Bacteria|p__Actinobacteria	2|201174	0.0031042971659591503	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	2.155820154373735	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.7833982826389119	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03141954873763619	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.01259427843963398	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.0023741378036917023	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.000730159362267448	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	1.8693372757907045	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.7722756710038807	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.28335439208850566	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02845411623566655	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0.01259427843963398	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.010976579762577635	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.0031281878608390664	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.0029657311356556344	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.000730159362267448	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.0001460318724534896	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	2|1224|28211|356|82115	1.809956953666672	
