#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5578969.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5578969.0/S-8-POLCOM-B.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5578969.0/S-8-POLCOM-B_profile.txt /localscratch/ronj2303.5578969.0/all_reads.fastq
#25794471 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	98.53939	
k__Bacteria	2	1.4606092191127427	
k__Bacteria|p__Proteobacteria	2|1224	1.3055087328053017	
k__Bacteria|p__Acidobacteria	2|57723	0.11443274381968503	
k__Bacteria|p__Actinobacteria	2|201174	0.0406677424877561	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.9099423083184532	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.3955664244868484	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.11443274381968503	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.0406677424877561	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.7087248386485901	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.3955664244868484	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.20121761573078495	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0.11443274381968503	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.0406677424877561	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	0.6527620346010511	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	2|1224|28216|80840|119060	0.20946450750373932	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	0.11573195572008582	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	2|57723|204432|204433|204434	0.11443274381968503	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae	2|1224|28211|356|41294	0.11264218297797472	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	2|1224|28216|80840|75682	0.07036996126302328	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified	2|1224|28211|204441|	0.055962804047539005	
