#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5578923.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5578923.0/S-9-POLPIL-B.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5578923.0/S-9-POLPIL-B_profile.txt /localscratch/ronj2303.5578923.0/all_reads.fastq
#23500523 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	99.24954	
k__Bacteria	2	0.7504589127489923	
k__Bacteria|p__Proteobacteria	2|1224	0.5694544518029112	
k__Bacteria|p__Actinobacteria	2|201174	0.18100446094608116	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.49358905939529013	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.18100446094608116	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07586539240762114	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.24534130353605224	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.1969700990853596	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.18100446094608116	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.07586539240762114	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.05127758172798698	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	0.20971461747933678	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	0.18786793302440963	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	2|201174|1760|85007|1762	0.18100446094608116	
