#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5579043.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5579043.0/W-2-TORTOR-G.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5579043.0/W-2-TORTOR-G_profile.txt /localscratch/ronj2303.5579043.0/all_reads.fastq
#15183595 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	98.7543	
k__Bacteria	2	1.2456994131403176	
k__Bacteria|p__Proteobacteria	2|1224	0.8231652726897768	
k__Bacteria|p__Cyanobacteria	2|1117	0.304220973578889	
k__Bacteria|p__Actinobacteria	2|201174	0.09660124895032274	
k__Bacteria|p__Acidobacteria	2|57723	0.021711917921329166	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.7261459670164043	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.304220973578889	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09701930567337262	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.09660124895032274	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.021711917921329166	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.6655960065020102	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales	2|1117||1890424	0.304220973578889	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.09701930567337262	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.09660124895032274	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.06054996051439405	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0.021711917921329166	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	2|1224|28211|204457|2820280	0.493560806739269	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae	2|1117||1890424|1890426	0.304220973578889	
