# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-2-POLJUN-G/S-2-POLJUN-G_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-2-POLJUN-G/S-2-POLJUN-G_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-2-POLJUN-G/S-2-POLJUN-G_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-2-POLJUN-G/S-2-POLJUN-G_unmatched_2.fastq.gz -n S-2-POLJUN-G -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-2-POLJUN-G
ref_mOTU_v31_00474	Variovorax paradoxus	34073	1
ref_mOTU_v31_00781	Mesorhizobium loti	381	1
ref_mOTU_v31_01122	Methylobacterium sp. [Methylobacterium sp. 88A/Methylobacterium sp. Leaf85/Methylobacterium sp. Leaf93/Methylobacterium sp. Leaf106]	NA	1
ref_mOTU_v31_01131	Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	269660	1
ref_mOTU_v31_01132	Methylobacterium pseudosasicola	582667	1
ref_mOTU_v31_02854	Paraburkholderia ginsengisoli	311231	1
ref_mOTU_v31_02981	Xanthomonas translucens	343	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	1
ref_mOTU_v31_04020	Kineosporia aurantiaca	49185	1
ref_mOTU_v31_04458	Luteibacter rhizovicinus	242606	1
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	1
ref_mOTU_v31_11720	Candidatus Regiella insecticola	138073	2
ext_mOTU_v31_15161	Methylobacterium species incertae sedis	NA	1
unassigned	unassigned	NA	12
