#Classification	NS70_bracken_O.kreport
k__Bacteria	11616749
k__Bacteria|p__Firmicutes	7498240
k__Bacteria|p__Firmicutes|c__Clostridia	6731714
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	6731710
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	3
k__Bacteria|p__Firmicutes|c__Bacilli	413645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	412497
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1148
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	338586
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	338586
k__Bacteria|p__Firmicutes|c__Negativicutes	14056
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	9638
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	4411
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	6
k__Bacteria|p__Firmicutes|c__Tissierellia	237
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	237
k__Bacteria|p__Actinobacteria	1613507
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1131653
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	1127013
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2904
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1532
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	109
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	92
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	481854
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	434212
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	47641
k__Bacteria|p__Chloroflexi	50
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	50
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	50
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Tenericutes|c__Mollicutes	3
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	2
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	1
k__Bacteria|p__Bacteroidetes	2446364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2446331
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2446331
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	31
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	31
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	1
k__Bacteria|p__Proteobacteria	57414
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	29513
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	28745
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	515
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	229
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	7
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	21068
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	21061
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	6
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3732
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	3732
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	16
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	11
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3083
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1800
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1121
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	93
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2
k__Bacteria|p__Spirochaetes	820
k__Bacteria|p__Spirochaetes|c__Spirochaetia	820
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	818
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2
k__Bacteria|p__Verrucomicrobia	239
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	239
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	239
k__Bacteria|p__Fusobacteria	77
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	77
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	77
k__Bacteria|p__Candidatus_Saccharibacteria	24
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	24
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	24
k__Bacteria|p__Synergistetes	7
k__Bacteria|p__Synergistetes|c__Synergistia	7
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	7
k__Bacteria|p__Chrysiogenetes	1
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	1
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	1
k__Eukaryota	1812
k__Eukaryota|k__Fungi	1637
k__Eukaryota|k__Fungi|p__Ascomycota	1637
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	1637
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	1637
k__Eukaryota|k__Viridiplantae	175
k__Eukaryota|k__Viridiplantae|p__Streptophyta	175
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	175
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	143
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asparagales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales	19
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	1
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Archaea|p__Euryarchaeota|c__Methanobacteria	3
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	3
k__Viruses	106891
k__Viruses|k__Heunggongvirae	106891
k__Viruses|k__Heunggongvirae|p__Uroviricota	106891
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	106891
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	106891
