#Classification	NS6_bracken_C.kreport
k__Bacteria	9046644
k__Bacteria|p__Bacteroidetes	4758763
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4756026
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2736
k__Bacteria|p__Firmicutes	4224040
k__Bacteria|p__Firmicutes|c__Clostridia	4148976
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	39287
k__Bacteria|p__Firmicutes|c__Bacilli	32549
k__Bacteria|p__Firmicutes|c__Tissierellia	2865
k__Bacteria|p__Firmicutes|c__Negativicutes	361
k__Bacteria|p__Actinobacteria	28791
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	28306
k__Bacteria|p__Actinobacteria|c__Actinomycetia	484
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	2
k__Bacteria|p__Proteobacteria	34735
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	34440
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	241
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	38
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	14
k__Bacteria|p__Verrucomicrobia	190
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	190
k__Bacteria|p__Spirochaetes	121
k__Bacteria|p__Spirochaetes|c__Spirochaetia	121
k__Eukaryota	5
k__Eukaryota|k__Viridiplantae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Archaea|p__Euryarchaeota|c__Methanobacteria	4
k__Viruses	38341
k__Viruses|k__Heunggongvirae	38341
k__Viruses|k__Heunggongvirae|p__Uroviricota	38341
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	38341
