#Classification	NS77_bracken_P.kreport
k__Bacteria	5255900
k__Bacteria|p__Firmicutes	2685244
k__Bacteria|p__Actinobacteria	30031
k__Bacteria|p__Bacteroidetes	1901571
k__Bacteria|p__Proteobacteria	638892
k__Bacteria|p__Fusobacteria	111
k__Bacteria|p__Candidatus_Saccharibacteria	17
k__Bacteria|p__Verrucomicrobia	13
k__Bacteria|p__Spirochaetes	7
k__Bacteria|p__Synergistetes	9
k__Eukaryota	85
k__Eukaryota|k__Fungi	55
k__Eukaryota|k__Fungi|p__Ascomycota	55
k__Eukaryota|k__Metazoa	8
k__Eukaryota|k__Metazoa|p__Chordata	8
k__Eukaryota|k__Viridiplantae	22
k__Eukaryota|k__Viridiplantae|p__Streptophyta	22
k__Viruses	4159
k__Viruses|k__Heunggongvirae	4159
k__Viruses|k__Heunggongvirae|p__Uroviricota	4159
