name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gemmiger qucibialis	68499	S	34392	958982	993374	0.15381
Gemmiger sp900556255	68512	S	1026	5668	6694	0.00104
Gemmiger formicilis	68495	S	300	26863	27163	0.00421
Gemmiger sp900539695	68507	S	252	17666	17918	0.00277
Gemmiger sp900540775	68509	S	199	20869	21068	0.00326
Gemmiger sp934561205	68518	S	192	3279	3471	0.00054
Gemmiger sp900540595	68508	S	159	10648	10807	0.00167
Gemmiger sp900554145	68511	S	17	881	898	0.00014
Gemmiger sp945830575	68531	S	8	102	110	0.00002
Gemmiger sp937890665	68519	S	6	349	355	0.00005
Gemmiger sp944388215	68530	S	4	14	18	0.00000
Gemmiger variabilis_B	68541	S	3	62	65	0.00001
Gemmiger sp934502625	68517	S	2	6	8	0.00000
Gemmiger formicilis_B	68497	S	1	31	32	0.00000
Gemmiger gallinarum	68498	S	1	35	36	0.00001
Gemmiger sp019413245	68502	S	1	24	25	0.00000
Gemmiger sp019424695	68504	S	1	2	3	0.00000
Faecalibacterium duncaniae	68301	S	125	24181	24306	0.00376
Faecalibacterium prausnitzii_D	68312	S	77	10557	10634	0.00165
Faecalibacterium prausnitzii	68310	S	55	6874	6929	0.00107
Faecalibacterium sp900539945	68328	S	54	5096	5150	0.00080
Faecalibacterium prausnitzii_I	68315	S	32	1425	1457	0.00023
Faecalibacterium sp900539885	68327	S	22	1446	1468	0.00023
Faecalibacterium sp934553285	68358	S	18	62	80	0.00001
Faecalibacterium sp900758465	68331	S	16	1525	1541	0.00024
Faecalibacterium prausnitzii_E	68313	S	15	1032	1047	0.00016
Faecalibacterium sp900765705	68333	S	14	1897	1911	0.00030
Faecalibacterium sp003449675	68320	S	12	1288	1300	0.00020
Faecalibacterium sp002160895	68319	S	11	610	621	0.00010
Faecalibacterium prausnitzii_A	68311	S	9	1221	1230	0.00019
Faecalibacterium longum	68309	S	9	1216	1225	0.00019
Faecalibacterium prausnitzii_F	68314	S	7	455	462	0.00007
Faecalibacterium prausnitzii_J	68316	S	7	864	871	0.00013
Faecalibacterium sp934524985	68346	S	4	166	170	0.00003
Faecalibacterium sp902463235	68335	S	4	218	222	0.00003
Faecalibacterium sp905215595	68338	S	4	155	159	0.00002
Faecalibacterium sp934503275	68340	S	4	194	198	0.00003
Faecalibacterium sp934501115	68339	S	3	34	37	0.00001
Faecalibacterium sp934525405	68348	S	2	81	83	0.00001
Faecalibacterium sp014858325	68321	S	1	4	5	0.00000
Faecalibacterium sp934513205	68343	S	1	15	16	0.00000
Faecalibacterium sp934533135	68353	S	1	3	4	0.00000
Faecalibacterium sp934540955	68355	S	1	36	37	0.00001
Faecalibacterium sp902463905	68336	S	1	27	28	0.00000
Faecalibacterium prausnitzii_M	68318	S	1	4	5	0.00000
Ruthenibacterium merdipullorum	69136	S	3707	21182	24889	0.00385
Ruthenibacterium lactatiformans	69133	S	2167	196980	199147	0.03083
Ruthenibacterium sp018380115	69140	S	160	1252	1412	0.00022
Ruthenibacterium sp947381875	69149	S	39	53	92	0.00001
Ruthenibacterium sp013316265	69138	S	6	62	68	0.00001
Hominimerdicola aceti	68574	S	310	8888	9198	0.00142
Hominimerdicola sp934435205	68603	S	80	1925	2005	0.00031
Hominimerdicola sp900539095	68595	S	14	79	93	0.00001
Hominimerdicola sp937898375	68606	S	1	5	6	0.00000
Hominimerdicola sp934476685	68604	S	1	8	9	0.00000
Hominimerdicola sp019423705	68588	S	1	5	6	0.00000
Ruminococcus_C sp000437175	69098	S	447	12839	13286	0.00206
Ruminococcus_C sp000980705	69100	S	22	1201	1223	0.00019
Ruminococcus_C sp900545285	69113	S	11	107	118	0.00002
Ruminococcus_C sp900765125	69114	S	8	246	254	0.00004
Ruminococcus_C sp000433635	69097	S	7	85	92	0.00001
Ruminococcus_C sp000437255	69099	S	1	2	3	0.00000
Fumia sp902493155	68485	S	216	5751	5967	0.00092
Fumia sp904396495	68486	S	4	3	7	0.00000
Fumia xinanensis	68487	S	2	61	63	0.00001
Merdivicinus sp934869045	68696	S	184	2142	2326	0.00036
Merdivicinus sp900555435	68693	S	5	102	107	0.00002
Merdivicinus sp905214265	68694	S	2	54	56	0.00001
Angelakisella sp900547385	68147	S	48	1148	1196	0.00019
Angelakisella massiliensis	68133	S	3	383	386	0.00006
Angelakisella sp937907305	68153	S	2	6	8	0.00000
Angelakisella sp900552845	68148	S	1	13	14	0.00000
Massiliimalia massiliensis	68680	S	105	1453	1558	0.00024
Massiliimalia timonensis	68685	S	40	1330	1370	0.00021
Anaerotruncus colihominis	68117	S	43	3315	3358	0.00052
Anaerotruncus rubiinfantis	68122	S	25	202	227	0.00004
Metaruminococcus_A sp900762715	68705	S	94	4458	4552	0.00070
Ruminococcus sp905199285	69060	S	45	123	168	0.00003
Ruminococcus sp900540005	69056	S	8	172	180	0.00003
Ruminococcus flavefaciens_O	68960	S	4	35	39	0.00001
Ruminococcus sp029572815	69049	S	3	29	32	0.00000
Ruminococcus sp021769725	69033	S	2	286	288	0.00004
Ruminococcus sp937910385	69070	S	1	5	6	0.00000
Ligaoa zhengdingensis	68678	S	58	4995	5053	0.00078
Zongyangia gallinarum	69346	S	45	111	156	0.00002
FB2012 sp900539835	68288	S	44	338	382	0.00006
FB2012 sp019420505	68285	S	1	3	4	0.00000
Ruminiclostridium_E sp900539195	68906	S	12	169	181	0.00003
Ruminiclostridium_E siraeum	68853	S	4	80	84	0.00001
Ruminiclostridium_E sp016302655	68878	S	2	8	10	0.00000
Ruminiclostridium_E sp945921515	68922	S	1	5	6	0.00000
Bittarella massiliensis	68170	S	5	155	160	0.00002
Pseudoruminococcus_B merdavium	68748	S	39	243	282	0.00004
Negativibacillus faecipullorum	68715	S	28	159	187	0.00003
Negativibacillus massiliensis	68716	S	2	151	153	0.00002
Negativibacillus sp944388365	68728	S	1	3	4	0.00000
Fournierella sp900543285	68481	S	25	1419	1444	0.00022
Fournierella merdigallinarum	68473	S	11	94	105	0.00002
CAG-115 sp003531585	68178	S	3	56	59	0.00001
Metaruminococcus caecorum	68700	S	28	77	105	0.00002
Neobittarella massiliensis	68731	S	23	1498	1521	0.00024
UBA3818 sp900557155	69187	S	16	580	596	0.00009
Faecivivens stercoravium	68416	S	13	33	46	0.00001
HGM13222 sp900757485	68548	S	6	152	158	0.00002
Schneewindia gallinarum	69170	S	10	1	11	0.00000
Youxingia wuxianensis	69345	S	9	802	811	0.00013
YE71 sp000434695	69331	S	6	231	237	0.00004
Marseille-P2935 sp900104565	68679	S	5	86	91	0.00001
CALXEM01 sp021771035	68252	S	3	110	113	0.00002
Pygmaiobacter sp944386515	68758	S	2	3	5	0.00000
UMGS363 sp900543105	69309	S	1	12	13	0.00000
UMGS363 sp949299215	69316	S	1	16	17	0.00000
Avimicrobium caecorum	68159	S	2	0	2	0.00000
Porcipelethomonas sp900554975	68740	S	1	16	17	0.00000
Gemmiger_A sp949295035	68546	S	1	18	19	0.00000
UBA866 sp944386285	69256	S	1	6	7	0.00000
Alloruminococcus vanvlietii	68111	S	1	0	1	0.00000
Merdimmobilis hominis	68688	S	1	18	19	0.00000
Faeciplasma sp937942105	68388	S	1	4	5	0.00000
CAMMMX01 sp946498095	68260	S	1	9	10	0.00000
Eubacterium_R sp000436835	64491	S	7011	125498	132509	0.02052
Eubacterium_R sp945874765	64578	S	25	159	184	0.00003
Eubacterium_R sp000433975	64489	S	5	116	121	0.00002
Eubacterium_R sp000434995	64490	S	5	19	24	0.00000
Eubacterium_R sp900547915	64546	S	1	15	16	0.00000
Eubacterium_R sp021770095	64520	S	1	48	49	0.00001
Eubacterium_R sp900540235	64541	S	1	2	3	0.00000
Ruminococcus_E bromii_B	64915	S	546	62817	63363	0.00981
Ruminococcus_E bromii	64913	S	180	10331	10511	0.00163
Ruminococcus_E sp003438075	64924	S	54	2963	3017	0.00047
Ruminococcus_E sp019415945	64966	S	16	409	425	0.00007
Ruminococcus_E sp905215855	65046	S	11	408	419	0.00006
Ruminococcus_E sp902771755	65017	S	5	121	126	0.00002
Ruminococcus_E sp900755995	65008	S	5	404	409	0.00006
Ruminococcus_E intestinalis	64917	S	2	152	154	0.00002
Ruminococcus_E sp958403905	65089	S	1	17	18	0.00000
CAG-177 sp003514385	64246	S	147	11661	11808	0.00183
CAG-177 sp003538135	64247	S	121	3026	3147	0.00049
CAG-177 sp002451755	64245	S	18	1417	1435	0.00022
CAG-177 sp002438685	64244	S	9	546	555	0.00009
Fimenecus sp000432435	64605	S	2053	37451	39504	0.00612
Fimenecus sp022768065	64627	S	14	98	112	0.00002
Fimenecus sp004556705	64611	S	1	74	75	0.00001
UMGS1071 sp900542375	65475	S	371	12348	12719	0.00197
UMGS1071 sp900548305	65476	S	2	25	27	0.00000
Acutalibacter sp900755895	64183	S	878	49776	50654	0.00784
Acutalibacter sp900548545	64182	S	62	545	607	0.00009
Acutalibacter sp900759575	64184	S	14	246	260	0.00004
Acutalibacter sp900543305	64181	S	2	40	42	0.00001
Acutalibacter timonensis	64213	S	1	33	34	0.00001
Avimonas_A narfia	64235	S	823	14487	15310	0.00237
Timburyella sp900554165	65155	S	368	4718	5086	0.00079
Timburyella stercoris	65157	S	3	14	17	0.00000
Hominenteromicrobium mulieris	64692	S	104	15345	15449	0.00239
Hominenteromicrobium sp934643185	64699	S	3	27	30	0.00000
Hominenteromicrobium gallistercoris	64691	S	1	8	9	0.00000
Anaeromassilibacillus stercoravium	64217	S	454	6640	7094	0.00110
UMGS1623 sp934647945	65558	S	340	1723	2063	0.00032
UMGS1623 sp902492895	65557	S	14	137	151	0.00002
Clostridium_A leptum	64444	S	296	16134	16430	0.00254
Clostridium_A sp959596515	64446	S	1	35	36	0.00001
Heritagella sp019418545	64683	S	244	2589	2833	0.00044
Heritagella sp019422525	64684	S	22	776	798	0.00012
UBA737 sp900549055	65419	S	32	369	401	0.00006
UBA737 sp934486705	65445	S	10	92	102	0.00002
UBA737 sp900543215	65415	S	8	284	292	0.00005
UBA737 sp944380885	65450	S	5	45	50	0.00001
UBA737 sp900549755	65420	S	4	120	124	0.00002
UBA737 sp900547305	65417	S	3	39	42	0.00001
UBA737 sp944376655	65449	S	2	21	23	0.00000
UBA737 sp900554525	65421	S	2	36	38	0.00001
UBA737 sp944384855	65452	S	2	33	35	0.00001
UBA737 sp944384845	65451	S	1	4	5	0.00000
UBA737 sp905193585	65433	S	1	8	9	0.00000
CAJFUH01 sp934717555	64350	S	104	1214	1318	0.00020
Pseudoruminococcus massiliensis	64744	S	91	7791	7882	0.00122
UMGS1591 sp905198295	65553	S	87	794	881	0.00014
UMGS1264 sp900550095	65488	S	58	685	743	0.00012
UMGS1264 sp904399395	65489	S	1	1	2	0.00000
Hydrogeniiclostridium mannosilyticum	64706	S	74	1196	1270	0.00020
UMGS856 sp900546265	65582	S	64	3582	3646	0.00056
UMGS856 sp902478605	65584	S	2	29	31	0.00000
Avimonas sp900551425	64232	S	69	660	729	0.00011
Yeguia hominis	65605	S	38	2738	2776	0.00043
JAGZMM01 sp018364155	64715	S	8	91	99	0.00002
CAKTXU01 sp934615635	64362	S	19	128	147	0.00002
HGM12814 sp900770165	64676	S	9	655	664	0.00010
HGM12814 sp934454005	64677	S	8	540	548	0.00008
JAUNLX01 sp902489335	64736	S	7	70	77	0.00001
UMGS1484 sp900552285	65511	S	6	81	87	0.00001
CABQCM01 sp902462665	64239	S	5	72	77	0.00001
Fimivicinus sp002320555	64665	S	4	19	23	0.00000
CAG-964 sp000435335	64340	S	4	78	82	0.00001
SIG607 sp016295355	65136	S	3	16	19	0.00000
UBA6857 sp934552855	65337	S	2	5	7	0.00000
UBA6857 sp934561055	65338	S	1	2	3	0.00000
HGM12789 sp934667845	64675	S	2	12	14	0.00000
UMGS1491 sp900554335	65528	S	2	3	5	0.00000
CABQAC01 sp902462035	64238	S	1	3	4	0.00000
Scatolibacter sp900549675	65148	S	1	53	54	0.00001
CAG-488 sp900554995	64323	S	1	31	32	0.00000
Caproicibacterium sp900554535	64422	S	1	63	64	0.00001
CAG-217 sp000436335	64299	S	1	39	40	0.00001
Caccousia sp900752115	64388	S	1	31	32	0.00000
Evtepia gabavorous	66893	S	2698	93240	95938	0.01485
Vescimonas sp900545585	67986	S	391	13697	14088	0.00218
Vescimonas sp900552475	67993	S	163	2531	2694	0.00042
Vescimonas sp000435555	67953	S	105	1676	1781	0.00028
Vescimonas coprocola	67951	S	74	9360	9434	0.00146
Vescimonas sp900551995	67992	S	63	1943	2006	0.00031
Vescimonas sp900552725	67994	S	14	273	287	0.00004
Vescimonas cirricatena	67950	S	13	2103	2116	0.00033
Vescimonas sp900757415	67999	S	12	355	367	0.00006
Vescimonas sp934597345	68016	S	8	109	117	0.00002
Vescimonas sp900547745	67987	S	8	189	197	0.00003
Vescimonas sp934591815	68014	S	3	72	75	0.00001
Vescimonas sp900545495	67985	S	3	75	78	0.00001
Vescimonas sp934589145	68009	S	2	21	23	0.00000
Vescimonas sp003487665	67958	S	2	44	46	0.00001
Vescimonas sp900550585	67989	S	1	37	38	0.00001
Vescimonas sp934623575	68018	S	1	15	16	0.00000
Vescimonas sp015068325	67966	S	1	3	4	0.00000
Vescimonas fastidiosa	67952	S	1	116	117	0.00002
Faecousia sp003525905	66958	S	358	9209	9567	0.00148
Faecousia sp900544705	67114	S	78	985	1063	0.00016
Faecousia sp000434635	66950	S	68	1341	1409	0.00022
Faecousia sp958436045	67227	S	30	141	171	0.00003
Faecousia sp022786965	67093	S	4	67	71	0.00001
Faecousia sp900548795	67120	S	4	12	16	0.00000
Faecousia sp900546075	67117	S	2	37	39	0.00001
Faecousia sp934593275	67165	S	2	21	23	0.00000
Faecousia sp900547405	67119	S	2	31	33	0.00001
Faecousia sp018918045	67075	S	1	22	23	0.00000
Faecousia sp902475855	67138	S	1	17	18	0.00000
Faecousia sp902465435	67137	S	1	2	3	0.00000
Faecousia sp934654755	67172	S	1	10	11	0.00000
Faecousia sp934622035	67167	S	1	22	23	0.00000
Faecousia sp934615645	67166	S	1	5	6	0.00000
Faecousia sp934591845	67164	S	1	6	7	0.00000
Faecousia sp900551495	67123	S	1	3	4	0.00000
Faecousia sp934589065	67158	S	1	2	3	0.00000
Faecousia sp934569225	67156	S	1	8	9	0.00000
Faecousia sp900752285	67128	S	1	5	6	0.00000
CAG-103 sp000432375	66536	S	82	7402	7484	0.00116
CAG-103 sp900757655	66545	S	4	96	100	0.00002
CAG-103 sp900317855	66542	S	3	157	160	0.00002
CAG-103 sp934591895	66550	S	1	11	12	0.00000
CAG-103 sp934589185	66549	S	1	24	25	0.00000
CAG-103 sp905215475	66548	S	1	25	26	0.00000
CAG-170 sp900545925	66563	S	252	7198	7450	0.00115
CAG-170 sp000432135	66554	S	49	1084	1133	0.00018
CAG-170 sp000436735	66555	S	41	169	210	0.00003
CAG-170 sp900549635	66565	S	7	813	820	0.00013
