#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --mpa3 -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5826365.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan3_db -x mpa_v30_CHOCOPhlAn_201901 --bowtie2out /localscratch/ronj2303.5826365.0/NS83.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5826365.0/NS83_profile.txt /localscratch/ronj2303.5826365.0/all_reads.fastq
#40051809 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	45.38629	
k__Bacteria	2	54.40698493008246	
k__Archaea	2157	0.19431557569836683	
k__Viruses	10239	0.01240823462582039	
k__Bacteria|p__Firmicutes	2|1239	42.893142628191086	
k__Bacteria|p__Actinobacteria	2|201174	8.445130775993167	
k__Bacteria|p__Bacteroidetes	2|976	2.6075479079233372	
k__Bacteria|p__Verrucomicrobia	2|74201	0.32474949628308003	
k__Archaea|p__Euryarchaeota	2157|28890	0.19431557569836683	
k__Bacteria|p__Proteobacteria	2|1224	0.13640866032091367	
k__Viruses|p__Viruses_unclassified	10239|	0.01240823462582039	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.40658189274744	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.056819826546102	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.722507469862577	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	3.388316410817939	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.81122427329981	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.6075479079233372	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.725100749575505	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.32474949628308003	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.22773370407662166	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.19431557569836683	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.10324721637373875	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.025985202618685477	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.01240823462582039	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.004183410089515149	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.0019169411767882732	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.0010813514330600515	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	34.40658189274744	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.82911342932385	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.722507469862577	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	3.365116507345014	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.796342037668049	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.6075479079233372	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.725100749575505	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.32474949628308003	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.22773370407662166	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.22770093585137743	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.19431557569836683	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.10291407275042228	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.025985202618685477	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.02319990347292474	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.01488223563176081	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.004183410089515149	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.0019169411767882732	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	2|1224|28211|356	0.0010813514330600515	
