#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5822868.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5822868.0/NS41.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5822868.0/NS41_profile.txt /localscratch/ronj2303.5822868.0/all_reads.fastq
#53420378 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.29542	
k__Bacteria	2	81.70458030627019	
k__Bacteria|p__Firmicutes	2|1239	42.50789457525514	
k__Bacteria|p__Bacteroidota	2|976	36.48390574431218	
k__Bacteria|p__Bacillota	2|1239	1.4144942056362415	
k__Bacteria|p__Actinobacteria	2|201174	0.7127417358437174	
k__Bacteria|p__Proteobacteria	2|1224	0.3822875607950076	
k__Bacteria|p__Verrucomicrobia	2|74201	0.14912719997500434	
k__Bacteria|p__Bacteria_unclassified	2|	0.05412111399487337	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	36.48110327720767	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.28280833212563	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.3227399619523	
k__Bacteria|p__Bacillota|c__Erysipelotrichia	2|1239|526524	1.1569531980528471	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.5480253019462766	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.495268654442518	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.3702851579480165	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.25754100758339427	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.23655110090271345	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.16472460435547134	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.14912719997500434	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.1212005744263212	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.09602739323395935	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.07983354541725661	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.07403252021551142	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.07359131548185756	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.05884363873657579	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.05881095690445329	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.05520778491294677	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.05412111399487337	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.0323876956334055	
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.029184876085399714	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.02801650058702005	
