name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Xylella fastidiosa	2371	S	730514	57653	788167	0.60256
Xanthomonas albilineans	29447	S	37412	1564	38976	0.02980
Xanthomonas oryzae	347	S	1	0	1	0.00000
Stenotrophomonas maltophilia	40324	S	2164	1544	3708	0.00283
Stenotrophomonas sp. 610A2	3055080	S	1	0	1	0.00000
Stenotrophomonas sp. 59	3051120	S	1	2	3	0.00000
Stenotrophomonas rhizophila	216778	S	3	0	3	0.00000
Stenotrophomonas lacuserhaii	2760084	S	2	0	2	0.00000
Pseudoxanthomonas sp. X-1	2571115	S	6	2	8	0.00001
Pseudoxanthomonas japonensis	69284	S	2	8	10	0.00001
Pseudoxanthomonas mexicana	128785	S	2	2	4	0.00000
Lysobacter enzymogenes	69	S	2	1	3	0.00000
Novilysobacter luteus	2822368	S	1	0	1	0.00000
Rhodanobacter thiooxydans	416169	S	1	0	1	0.00000
Pseudomonas savastanoi	29438	S	32	448	480	0.00037
Pseudomonas amygdali	47877	S	6	227	233	0.00018
Pseudomonas caspiana	1451454	S	23	15	38	0.00003
Pseudomonas viridiflava	33069	S	14	2	16	0.00001
Pseudomonas lijiangensis	2995658	S	4	0	4	0.00000
Pseudomonas cichorii	36746	S	2	0	2	0.00000
Pseudomonas syringae group genomosp. 3	251701	S	2	7	9	0.00001
Pseudomonas syringae	317	S	1	2	3	0.00000
Pseudomonas sp. KU26590	2991051	S	7	1	8	0.00001
Pseudomonas sp. ADAK13	2730847	S	4	2	6	0.00000
Pseudomonas sp. K-62	76885	S	3	0	3	0.00000
Pseudomonas sp. J380	2605424	S	3	9	12	0.00001
Pseudomonas sp. LPH1	1898684	S	2	8	10	0.00001
Pseudomonas sp. S35	1573719	S	2	1	3	0.00000
Pseudomonas sp. S07E 245	2866278	S	2	5	7	0.00001
Pseudomonas sp. Colony2	2861799	S	2	28	30	0.00002
Pseudomonas sp. CFSAN084952	2664899	S	1	17	18	0.00001
Pseudomonas sp. 02C 26	2054914	S	1	2	3	0.00000
Pseudomonas sp. FP453	2954094	S	1	0	1	0.00000
Pseudomonas sp. G.S.17	3137451	S	1	0	1	0.00000
Pseudomonas sp. MM227	3019968	S	1	0	1	0.00000
Pseudomonas phytophila	2867264	S	60	11	71	0.00005
Pseudomonas putida	303	S	9	149	158	0.00012
Pseudomonas oryzihabitans	47885	S	4	5	9	0.00001
Pseudomonas seleniipraecipitans	640205	S	10	1	11	0.00001
Pseudomonas helleri	1608996	S	8	1	9	0.00001
Pseudomonas agarici	46677	S	5	0	5	0.00000
Pseudomonas coleopterorum	1605838	S	4	1	5	0.00000
Pseudomonas lundensis	86185	S	3	0	3	0.00000
Pseudomonas protegens	380021	S	1	7	8	0.00001
Pseudomonas sediminis	1691904	S	3	2	5	0.00000
Pseudomonas mandelii	75612	S	1	13	14	0.00001
Pseudomonas rhodesiae	76760	S	1	0	1	0.00000
Pseudomonas fluorescens	294	S	1	13	14	0.00001
Pseudomonas atacamensis	2565368	S	3	18	21	0.00002
Pseudomonas lurida	244566	S	2	1	3	0.00000
Pseudomonas solani	2731552	S	2	4	6	0.00000
Pseudomonas sihuiensis	1274359	S	2	5	7	0.00001
Pseudomonas versuta	1788301	S	1	0	1	0.00000
Pseudomonas rhizosphaerae	216142	S	1	0	1	0.00000
Pseudomonas silesiensis	1853130	S	1	0	1	0.00000
Pseudomonas canadensis	915099	S	1	1	2	0.00000
Pseudomonas citronellolis	53408	S	1	4	5	0.00000
Pseudomonas abietaniphila	89065	S	1	0	1	0.00000
Pseudomonas benzopyrenica	2993566	S	1	3	4	0.00000
Stutzerimonas stutzeri	316	S	87	102	189	0.00014
Stutzerimonas frequens	2968969	S	1	1	2	0.00000
Ectopseudomonas oleovorans	301	S	4	12	16	0.00001
Ectopseudomonas hydrolytica	2493633	S	2	6	8	0.00001
Pantoea agglomerans	549	S	258	79	337	0.00026
Duffyella gerundensis	1619313	S	6	1	7	0.00001
Erwinia persicina	55211	S	2	0	2	0.00000
Erwinia pyrifoliae	79967	S	1	0	1	0.00000
Serratia marcescens	615	S	28	232	260	0.00020
Serratia nevei	2703794	S	1	31	32	0.00002
Rahnella aceris	2703885	S	2	0	2	0.00000
