feature	Acetobacteraceae	Acidaminococcaceae	Acidithiobacillaceae	Acidothermaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alcanivoracaceae	Alicyclobacillaceae	Alteromonadaceae	Aquificaceae	Atopobiaceae	Aurantimonadaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bdellovibrionaceae	Beijerinckiaceae	Beutenbergiaceae	Bifidobacteriaceae	Boseaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Calotrichaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chelatococcaceae	Chitinophagaceae	Chloroflexaceae	Christensenellaceae	Chromatiaceae	Chromobacteriaceae	Chroococcaceae	Chroococcidiopsidaceae	Clostridiaceae	Clostridiales.Family.XVII..Incertae.Sedis	Coleofasciculaceae	Comamonadaceae	Conexibacteraceae	Coriobacteriaceae	Corynebacteriaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Devosiaceae	Dietziaceae	Dysgonomonadaceae	Ectothiorhodospiraceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gordoniaceae	Halieaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Hymenobacteraceae	Hyphomicrobiaceae	Iamiaceae	Idiomarinaceae	Immundisolibacteraceae	Intrasporangiaceae	Jonesiaceae	Kytococcaceae	Lachnospiraceae	Lacipirellulaceae	Lactobacillaceae	Lawsonellaceae	Legionellaceae	Leptolyngbyaceae	Leptotrichiaceae	Listeriaceae	Marinobacteraceae	Methylobacteriaceae	Methylococcaceae	Methylophilaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Miltoncostaeaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Myxococcaceae	Nakamurellaceae	Nanopelagicaceae	Nanosynbacteraceae	Neisseriaceae	Nitrosomonadaceae	Nitrospiraceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Nostocaceae	Oceanospirillaceae	Odoribacteraceae	Ornithinimicrobiaceae	Oscillatoriaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Parachlamydiaceae	Pasteurellaceae	Pectobacteriaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Pirellulaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudoalteromonadaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillaceae	Rhodothermaceae	Rikenellaceae	Roseiflexaceae	Roseobacteraceae	Rubrobacteraceae	Sanguibacteraceae	Scytonemataceae	Selenomonadaceae	Shewanellaceae	Sinobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Sphingosinicellaceae	Spirosomaceae	Staphylococcaceae	Stappiaceae	Steroidobacteraceae	Sterolibacteriaceae	Streptococcaceae	Streptomycetaceae	Streptosporangiaceae	Sulfuricellaceae	Sutterellaceae	Symbiobacteriaceae	Synergistaceae	Tannerellaceae	Thalassospiraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thioalkalispiraceae	Thiobacillaceae	Treponemataceae	Tsukamurellaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Wenzhouxiangellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	Zoogloeaceae
SRR20002340	39	26	0	0	643	91	341	0	4156	3	10	0	0	2	4	4863	991	309	0	0	0	185	21	239	408	0	22073	0	8	19	102	471	0	10	0	0	0	0	10	16	4	8	18	0	0	4340	0	123	3429	0	110	54	499	1	0	34	0	63	17	6378	312	286	16	17	0	0	40	0	2	315	0	780	0	54	6	0	6	4	0	133	0	140	164	0	1515	14	0	0	2	1733	0	953	14	2	225	3331	0	0	26767	57	0	3260	0	0	2	0	0	504	0	0	217	253	0	0	0	0	149	0	209	4168	0	15	545	2	143	0	10	0	3	222	12	182	0	22061	4	366238	161	1713	8	2316	19	1	0	37	0	51	2	0	0	1	6	44	48	3322	1	0	17371	0	1	0	2970	0	0	0	0	0	3	58	1	358	0	0	14	16	0	1	247	0	242	0	9	1267	10	15
SRR20002343	718	70	20	16	4755	539	2653	192	3085	26	538	15	52	147	125	19152	35601	3706	0	0	0	3713	102	2262	4580	552	175461	2	102	62	1474	4460	0	4	7	0	63	0	178	132	15	43	0	211	269	24360	2	947	40473	40	1704	141	5860	4	142	754	0	338	87	5572	4151	3189	90	75	0	16	836	119	78	13781	8	8187	3	11337	181	4	48	18	18	657	0	6021	3389	0	4159	83	0	30	109	780	0	6649	14	6	4180	31567	66	0	435009	350	0	14807	0	0	0	23	0	3237	24	28	1267	666	169	0	5	0	773	0	3394	32991	115	148	779	0	735	104	214	0	0	156	161	1666	651	382154	0	3102870	1834	15159	203	2039	241	0	112	683	13	0	76	28	25	25	614	453	197	29040	0	4	1129851	1756	20	0	16597	684	11	0	0	7	1	371	0	256383	67	0	24	35	33	192	1373	0	5904	26	241	5080	177	52
SRR20002345	1222	0	111	1	1592	114	2223	49	710682	422	473	0	21	12	198	80763	16986	1901	0	0	919	3310	101	2411	3434	346	200634	34	81	7	1104	12651	258	5	85	53	33	0	135	164	0	64	115	137	0	21784	0	298	26973	31	1467	608	3031	6	47	505	6	275	125	21575	1948	4959	95	412	0	0	441	79	22	1565	110	9001	0	8971	61	1	51	29	9	985	0	800	1220	0	5613	395	8	0	177	2009	182	6425	10	2	6557	38965	283	29	445173	359	9	17998	0	0	89	4	130	1828	11	0	622	393	0	35	63	0	17	10	998	31639	173	174	1364	35	1230	23	146	0	0	554	66	1435	0	1650673	14	3247928	1150	13573	4033	1329	40	0	6	340	8	0	14	4	218	64	85	363	420	24216	0	1	313403	2598	16	8	11294	315	58	0	7	28	36	332	6	175887	0	0	55	125	101	132	769	160	1406	120	395	12188	75355	43
SRR20002351	591	43	0	0	23656	84	1715	72	42720	59	67	61	0	150	2076	290	8370	3659	0	1	9	1367	23	910	989	733	116697	20	468	175	1566	2437	0	0	0	0	0	0	250	80	0	63	9	2	0	15379	0	55	37445	1	110	171	4929	0	14	44	0	198	91	45221	5200	2803	0	4	3	8	3916	466	17	425	22	4651	0	590	76	5	0	76	0	703	2	67	743	0	10598	127	0	0	1266	4789	191	2500	0	0	951	24126	289	0	107225	975	0	11646	1	0	0	0	181	84684	6	61	600	461	0	0	10	7	81	1	1156	20928	0	127	12626	2	1592	0	18	0	0	77	63	3426	0	641878	1476	1723136	154	7511	139	3456	92	0	0	26	0	7	2	0	19	113	9758	156	33	21227	0	0	177347	118	5	0	151571	61	0	0	0	0	0	385	0	481	0	0	14	3	12	8	4176	28875	987	15	97	4521	647	84
SRR20002352	231	0	7	0	706	109	631	12	1016	0	58	0	0	52	58	240	2090	39	0	0	0	304	16	197	572	121	45323	0	13	62	128	827	0	0	0	0	0	0	38	14	0	1	0	0	0	3840	0	0	3108	1	115	57	1741	3	2	18	0	81	103	5298	253	308	6	101	0	3	51	27	12	168	0	1716	3	110	0	1	0	0	1	454	0	84	32	1	1460	19	0	0	24	608	33	3561	0	0	1471	5305	11	0	50444	25	0	1840	3	10	2	2	0	522	24	0	194	126	0	0	0	0	102	119	42	7646	31	39	301	0	126	0	4	0	0	240	30	327	239	93667	0	701860	83	2691	0	1713	55	0	0	18	0	23	50	2	4	6	26	66	113	7701	2	0	5905183	166	0	4	25932	0	0	1	0	0	1	34	0	106	0	0	0	0	12	5	84	6	404	0	12	7304	255	50
SRR20002353	132	0	0	0	301	0	390	17	12479	6	1	0	0	1	220	3205	1970	735	0	0	0	392	14	301	306	413	72244	4	9	0	22	1080	0	0	0	0	0	0	4	80	0	2	22	0	0	8412	0	195	1774	24	49	38	3703	2	0	58	0	183	17	3918	305	2944	1	93	0	0	26	9	1159	218	3	2487	0	7	0	0	0	0	3	160	0	18	307	0	1075	22	0	0	0	630	14	2366	0	0	440	6873	0	2	57196	187	0	2793	0	0	0	5	8	325	16	0	300	258	0	0	4	0	60	0	322	14451	4	116	98	0	39	0	45	0	0	445	24	70	4	63169	0	1300618	151	5543	0	1526	73	2	0	136	0	0	0	0	0	6	18	177	0	10550	0	0	26383	0	6	6	1934	256	0	0	0	0	0	97	2	465	0	0	0	18	0	19	37	23	566	0	101	16071	1318	0
SRR20002355	52	0	0	0	348	45	343	0	6030	0	23	0	0	6	105	698	93	82	5	0	0	144	26	292	296	93	42111	0	2	14	45	727	0	2	0	0	0	0	2	12	0	16	1	0	6	5597	0	26	2443	4	83	40	427	2	0	83	0	68	2	843	34	95	0	15	0	0	17	19	30	77	4	1542	0	53	3	0	0	0	0	86	0	27	15	0	1604	3	2	17	4	484	0	747	11	0	245	7079	0	8	29885	34	0	1338	0	2	2	0	7	295	0	0	155	198	0	0	4	0	37	0	113	7338	0	18	59	0	13	0	9	0	0	19	52	51	0	75245	0	579909	56	2835	0	613	23	0	0	25	0	0	1	0	0	30	14	107	42	4576	1	0	44669	27	3	0	465	174	0	0	0	0	0	23	0	95	1	0	0	0	11	9	34	0	296	0	23	757	49	0
SRR20002356	19	3	1	0	160	25	29	4	81	179	15	0	3	0	61	384	848	142	0	0	0	29	2	20	43	0	4523	0	3	14	20	402	0	0	1	0	4	2	0	3	0	1	20	4	0	569	0	15	3555	13	14	62	29	0	9	285	0	3	0	31144	240	51	3	12	0	0	7	0	19	67	0	208	0	361	0	0	0	0	0	32	0	57	24	0	66	22	0	0	0	15	1	92	0	0	104	1774	0	0	10043	28	0	958	153	0	0	0	0	403	0	0	65	40	0	0	0	0	9	0	123	728	1	3	66	0	17	0	7	0	0	29	5	41	0	22194	0	1844832	31	307	31	310	3	0	1	13	0	0	1	0	0	0	484	0	10	901	0	1	21216	10	0	0	15712	0	0	0	1	0	0	0	0	8706	0	0	0	0	7	1	5	2	73	0	5	236	24	16
SRR20002360	76	62	2	0	3104	35	473	424	2717	3	18	0	0	7	87	4972	5817	1413	0	0	0	1103	11	672	536	155	47250	0	12	0	56	1291	0	121	0	0	0	0	39	68	0	1	48	0	0	6452	0	282	6986	6	256	110	324	1	31	426	0	107	155	2100	65	254	0	51	2	0	139	53	38	982	3	1907	0	355	26	0	0	0	2	315	0	707	376	0	1020	6	0	1	41	131	16	1604	2	1	637	12924	192	59	93979	60	0	4766	0	4	4	0	24	687	0	2	1598	152	11	0	7	10	185	3	1318	7612	44	8	153	0	199	3	31	0	0	81	39	885	32	101654	0	829816	175	2539	281	886	283	3	0	369	0	0	6	0	0	202	85	76	94	6877	2	2	464910	65	1	4	2280	48	0	0	12	0	0	73	3	907	0	0	1	50	134	34	293	16	269	0	41	2101	299	10
SRR20002363	272	0	0	0	196	67	289	0	4573	0	12	0	0	0	0	1448	40	555	0	0	0	410	10	230	211	54	56277	11	8	131	42	1441	0	0	0	165	0	0	6	47	0	0	0	0	0	5006	0	37	1643	0	40	10	682	6	6	70	0	171	55	1351	190	54	0	109	0	0	0	0	18	466	0	2069	0	79	29	0	1	0	5	115	0	45	124	0	216	1	0	0	0	477	0	1442	0	0	617	2919	0	0	43171	98	0	15559	0	0	3	0	1	219	0	0	193	234	0	0	0	2	69	0	101	10806	37	88	41	0	48	0	300	0	0	85	3	103	0	39305	0	998249	47	3430	101	1036	26	0	0	38	0	50	5	4	0	6	16	124	71	9062	12	2	10220382	0	0	0	108136	56	0	0	0	0	0	57	0	442	0	0	14	0	0	64	26	2	890	0	26	949	41	0
