feature	Actinomycetaceae	Alcaligenaceae	Alicyclobacillaceae	Bifidobacteriaceae	Burkholderiaceae	Burkholderiales.fam..incertae.sedis	Chlorobi.fam..incertae.sedis	Comamonadaceae	Corynebacteriaceae	Corynebacteriales.fam..incertae.sedis	Dermacoccaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Pasteurellaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002340	0	0	0	0	0.0103092783505155	0.0309278350515464	0	0	0.0206185567010309	0	0	0	0	0	0	0.134020618556701	0	0	0	0.123711340206186	0.618556701030928	0	0	0.0206185567010309	0.0412371134020619	0	0
SRR20002343	0	0	0.00677048070412999	0	0.028436018957346	0.010832769126608	0.033175355450237	0.00541638456330399	0.01354096140826	0.00744752877454299	0.010832769126608	0	0	0	0.021665538253216	0.041976980365606	0.015572105619499	0	0	0.0927555856465809	0.320243737305349	0	0.004739336492891	0.268111035883548	0.00947867298578199	0.0954637779282329	0.01354096140826
SRR20002345	0	0.101151727591387	0.00701051577366049	0	0.0305458187280921	0.00250375563345018	0.00901352028042063	0.0085127691537306	0.0115172759138708	0.0595893840761142	0	0	0	0	0.0085127691537306	0.0340510766149224	0.0170255383074612	0	0	0.368052078117176	0.245868803204807	0.0130195292939409	0.0120180270405608	0.0115172759138708	0.0085127691537306	0.0515773660490736	0
SRR20002351	0.020814479638009	0.0108597285067873	0	0	0.0217194570135747	0.00633484162895928	0	0.00633484162895928	0.0443438914027149	0.0144796380090498	0	0.020814479638009	0	0.0081447963800905	0.0253393665158371	0.0190045248868778	0.0117647058823529	0.00904977375565611	0	0.329411764705882	0.314932126696833	0	0	0.00904977375565611	0.127601809954751	0	0
SRR20002352	0	0	0	0	0.00367056664372562	0.00298233539802707	0	0	0	0.00160587290662996	0.000917641660931406	0	0	0	0.00298233539802707	0.00137646249139711	0.00160587290662996	0	0	0.0165175498967653	0.0316586373021335	0	0	0.931865106675843	0.00435879788942418	0	0.000458820830465703
SRR20002353	0	0.00448430493273543	0	0	0.0134529147982063	0.015695067264574	0	0	0	0.0134529147982063	0	0	0	0	0.047085201793722	0.0807174887892377	0.0403587443946188	0	0	0.0605381165919283	0.724215246636771	0	0	0	0	0	0
SRR20002355	0	0.0173410404624277	0	0	0.0867052023121387	0	0	0	0	0.0289017341040462	0	0	0	0	0.0173410404624277	0.0173410404624277	0.023121387283237	0	0	0.15028901734104	0.658959537572254	0	0	0	0	0	0
SRR20002356	0.00833333333333333	0	0.00208333333333333	0	0.00416666666666667	0	0.0104166666666667	0	0.00416666666666667	0	0	0.0229166666666667	0	0	0.0104166666666667	0.00208333333333333	0	0	0	0.0208333333333333	0.839583333333333	0	0	0.00208333333333333	0.0520833333333333	0.0208333333333333	0
SRR20002360	0.014018691588785	0	0	0	0.0467289719626168	0.00467289719626168	0	0	0	0.014018691588785	0	0	0	0	0.014018691588785	0.0467289719626168	0.00467289719626168	0	0	0.168224299065421	0.663551401869159	0	0.00467289719626168	0.0186915887850467	0	0	0
SRR20002363	0	0	0	0	0.00708543398283145	0.0014988418040605	0	0	0	0	0	0	0	0	0	0.000953808420765772	0.002997683608121	0	0	0.00313394195394468	0.0356996866058046	0	0	0.927374301675978	0.0212563019484943	0	0
SRR20002365	0	0	0	0	0.0567282321899736	0.0184696569920844	0	0	0.00923482849604222	0.0369393139841689	0	0	0	0	0.025065963060686	0.0461741424802111	0	0	0	0.339050131926121	0.465699208443272	0	0	0	0	0.00263852242744063	0
SRR20002368	0	0.000678541136556404	0	0	0.00339270568278202	0.000508905852417303	0	0	0.000508905852417303	0.000678541136556404	0.000678541136556404	0	0.000339270568278202	0	0	0.00424088210347752	0	0	0	0.00576759966072943	0.0262934690415606	0	0.00118744698897371	0.955725190839695	0	0	0
SRR20002369	0	0	0	0.275333662876915	0	0	0	0	0	0	0	0.0504201680672269	0	0.0113692535837865	0	0	0	0.642609985170539	0.000988630746416213	0.000988630746416213	0.000494315373208107	0	0	0.0173010380622837	0.000494315373208107	0	0
SRR20002371	0	0	0	0	0.0188679245283019	0	0.0283018867924528	0	0	0.0188679245283019	0	0.0283018867924528	0	0	0	0.0188679245283019	0	0	0	0.122641509433962	0.141509433962264	0	0	0.207547169811321	0.367924528301887	0.0471698113207547	0
SRR20002373	0	0.0195227765726681	0.0130151843817787	0	0.0412147505422994	0.017353579175705	0.0216919739696312	0.0086767895878525	0	0.017353579175705	0	0	0.017353579175705	0	0.0130151843817787	0.0672451193058568	0	0	0	0.0607375271149675	0.570498915401301	0	0	0	0	0.132321041214751	0
SRR20002375	0	0	0.00529100529100529	0	0.0264550264550265	0.0317460317460317	0.0264550264550265	0.0105820105820106	0	0	0	0	0	0	0.0105820105820106	0.037037037037037	0.0105820105820106	0	0	0.0846560846560847	0.645502645502645	0	0.00529100529100529	0.0105820105820106	0.0317460317460317	0.0634920634920635	0
SRR20002377	0	0	0	0	0.00746268656716418	0	0	0	0	0	0	0	0	0	0.0298507462686567	0.0149253731343284	0	0	0	0.0373134328358209	0.0895522388059701	0	0	0.82089552238806	0	0	0
SRR20002378	0	0	0	0.0540540540540541	0.0810810810810811	0.027027027027027	0	0	0	0	0	0	0	0	0	0	0.027027027027027	0	0	0.0540540540540541	0.72972972972973	0	0	0.0135135135135135	0.0135135135135135	0	0
SRR20002379	0	0.0195822454308094	0	0	0.0966057441253264	0.031331592689295	0	0	0	0	0	0	0.00391644908616188	0	0	0.0443864229765013	0.02088772845953	0	0	0.0456919060052219	0.725848563968668	0	0	0.0117493472584856	0	0	0
SRR20002380	0	0	0	0.000983477576711251	0	0	0	0	0	0	0.000983477576711251	0	0	0	0.000786782061369001	0	0	0	0	0.000786782061369001	0.00590086546026751	0	0	0.990558615263572	0	0	0
