feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002340	0	0	0.10852210088128	0	0	0	0.395948745013073	0	0	0	0	0	0	0.0634256901188041	0	0	0.0582781001364694	0.14022179130326	0.106682625383988	0	0	0	0.249513340109114	1.0360219104213	0	0	0	0	0	0	0	0
SRR20002343	0	0.13514171808618	0.0575899915851625	0	0	0	0.321673624934716	0	0.106422879749718	0.0472985040366938	0.0762989110789613	0	0.0348650765549244	0	0	0.0679016040503405	0.0626815937283742	0.136903068669182	0.101529191388029	0.157338135284223	0	0	0.246019061465835	0.770869690217446	0.0413254363487368	0	0.059557195924442	0.0424684142880768	0.38748944760544	0.0273010145625129	0.322902609337501	0
SRR20002345	0	0.0776502003955787	0.113849035171098	0	0	0	0.431955743083326	0.0326008479044285	0.0620846041786473	0	0.0646627725044655	0.102773781620547	0.0301044822486354	0	0	0.0410512515592797	0.0585533013506167	0.134212230441182	0.170392288430152	0.0620951289422923	0	0	0.528486610019216	0.690448093273488	0.0343923952250792	0	0.044937076225628	0.045298733289468	0.0640738304625093	0	0.246606140220507	0.0294473860680875
SRR20002351	0.112114447426004	0	0	0.0314385725536356	0	0	0.359867933150575	0	0	0.0392321129480349	0	0.101071708171939	0.0332946789712281	0.0540090885920019	0.0407659026372325	0	0.0668331229345956	0.115254877593446	0.17733688359023	0	0.182101517621867	0.0464787567001327	0.461349217613175	0.777073075286895	0.0524793485355514	0.0324571236577153	0	0.0522879915589659	0.103983176511881	0.234905592100102	0	0
SRR20002352	0	0	0	0	0	0	0.153516155378866	0	0	0.017136356285074	0	0.0172849978867417	0	0	0	0	0.0189781415302791	0.0491050644146602	0.0323254655071466	0	0	0	0.12265008128268	0.324842216566856	0	0	0	0.0223002848382473	1.17212666863989	0.0687079737151367	0	0.029389352868153
SRR20002353	0	0	0.0455420880269248	0	0	0	0.421240877393138	0	0	0.0500653923409159	0	0	0	0	0	0	0.0444206257669037	0.133760551791929	0	0	0	0	0.203669375642327	1.04931227152636	0.0533196859559827	0	0	0.0514851934940425	0	0	0.0260123423993107	0.0979666855529928
SRR20002355	0	0	0	0	0	0	0.406081065764789	0	0	0	0	0	0	0	0	0	0.0564512176680698	0.0768248969184139	0.0694289098238803	0	0	0	0.308891329770766	1.02765194317564	0.0486887104532914	0	0	0	0	0	0	0.0490739154923324
SRR20002356	0.0650454949873959	0.036023952854406	0	0	0	0	0.0751628831445308	0	0.0350852775267227	0	0	0.115575958552029	0	0	0	0	0.0272115144922217	0	0.0225154751790525	0.0470369928630697	0	0	0.109694025920176	1.31382920139623	0	0	0	0	0	0.103921186058435	0.112926153217314	0
SRR20002360	0.0450393994313565	0	0.0784497085997776	0.0693157366082542	0	0	0.349652974085689	0	0	0	0	0	0	0	0	0	0.111422891165656	0.0923816906334687	0.0952863580924317	0	0	0	0.322625968959754	1.02935242379021	0.0341258405736916	0	0	0.0436802361136748	0.0420391888281165	0	0	0
SRR20002363	0	0	0	0	0	0	0.142106247781195	0	0	0	0	0	0	0	0	0	0	0.0338592208588671	0.0565757258807753	0	0	0	0.0597719911757086	0.301023338362024	0.0173065185103681	0	0	0.017538410129522	1.19805508652752	0.125996855987032	0.0109294465736892	0.0148474540694938
