feature	Acidaminococcaceae	Actinobacteria.fam...Actinomycetaceae.Streptomycetaceae.	Actinobacteria.fam...Sanguibacteraceae.Actinomycetaceae.Promicromonosporaceae.	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.fam..incertae.sedis	Bacteria.fam..incertae.sedis	Bacteroidaceae	Bacteroidales.fam..incertae.sedis	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridia.fam..incertae.sedis	Clostridiaceae	Clostridiales.Family.XIII..Incertae.Sedis	Clostridiales.fam...Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Eubacteriaceae.Clostridiaceae.	Clostridiales.fam...Eubacteriaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.	Clostridiales.fam...Lachnospiraceae.Ruminococcaceae.	Clostridiales.fam..incertae.sedis	Coriobacteriaceae	Coriobacteriia.fam..incertae.sedis	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.fam...Carnobacteriaceae.Acidaminococcaceae.	Firmicutes.fam...Erysipelotrichaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Eubacteriaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Lachnospiraceae.	Firmicutes.fam...Erysipelotrichaceae.Peptostreptococcaceae.	Firmicutes.fam...Lachnospiraceae.Lactobacillaceae.	Firmicutes.fam..incertae.sedis	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharibacteria.fam..incertae.sedis	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellaceae	Tissierellia.fam..incertae.sedis	Veillonellaceae
NS10	0.000386249517188104	0	0	0.000128749839062701	0.000128749839062701	0	0	0.00141624822968971	0.00424874468906914	0	0.000128749839062701	0.0780224024719969	0	0	0	0	0	0	0	0.0424874468906914	0	0	0.000128749839062701	0	0.00141624822968971	0	0.00270374662031672	0.105188618514227	0.13583108021115	0.000257499678125402	0	0.000128749839062701	0.0130037337453328	0.000128749839062701	0.00231749710312862	0.102098622376722	0.000257499678125402	0	0.000257499678125402	0	0.000128749839062701	0	0.000772499034376207	0.346079567400541	0	0	0	0	0.00231749710312862	0	0	0.000386249517188104	0	0	0.00424874468906914	0.000257499678125402	0.0723574095532381	0	0	0	0.000643749195313506	0.000128749839062701	0.000514999356250805	0	0	0.0814986481266898
NS11	0.0169532574473238	0	0	0	0.00254298861709857	0	0.000121094696052313	0.000121094696052313	0.182974085735045	0.00254298861709857	0	0.0334221361104384	0	0	0	0	0.000121094696052313	0.000242189392104626	0	0.010050859772342	0.00169532574473238	0	0	0.000363284088156939	0.00121094696052313	0	0.00193751513683701	0.0651489464761443	0.0108985226447082	0.000242189392104626	0	0.00762896585129571	0.000968757568418503	0.000605473480261564	0.00557035601840639	0.0084766287236619	0	0	0	0	0	0.000363284088156939	0.0208282877209978	0.0526761927827561	0.0027851780092032	0	0	0.00339065148946476	0.0276095906999273	0.000121094696052313	0	0.000121094696052313	0	0	0.286267861467668	0.0161055945749576	0.150883991281182	0	0	0	0.00108985226447082	0.00326955679341245	0.0371760716880601	0	0	0.0434729958827803
NS13	0	0	0	0.0003556609365738	0	0	0	0.0010669828097214	0.118316538233551	0	0	0	0	0	0	0	0	0	0	0.0116182572614108	0.0015411973918198	0.0001185536455246	0	0	0.00865441612329579	0	0	0.0232365145228216	0	0	0	0	0.003556609365738	0	0.0034380557202134	0.0778897451096621	0	0	0	0	0.000829875518672199	0	0.0643746295198577	0.528275044457617	0.0001185536455246	0	0	0	0.0003556609365738	0	0.000592768227622999	0.000829875518672199	0	0.0002371072910492	0.000592768227622999	0.00948429164196799	0.139419087136929	0	0	0	0.004149377593361	0	0	0	0.000711321873147599	0.0002371072910492
NS21	0	0	0	0.000211931757973932	0	0	0.000105965878986966	0.000741761152908763	0.208222952209389	0.00858323619794426	0	0.00222528345872629	0	0	0	0	0	0	0	0.0549962911942355	0.000529829394934831	0	0	0	0.00105965878986966	0	0.00709971389212674	0.0481085090600827	0	0	0.000211931757973932	0.000741761152908763	0.000953692910882696	0.00105965878986966	0.00307301049062202	0.0127159054784359	0	0	0.00105965878986966	0.000211931757973932	0.000211931757973932	0.00487443043340044	0.000953692910882696	0.311857581858642	0	0	0	0	0.00434460103846561	0.000317897636960899	0	0.00317897636960899	0	0	0.000423863515947865	0	0.283246794532161	0	0	0	0.00434460103846561	0	0.006251986860231	0	0	0.028080957931546
NS25	0	0	0	0	0	0	0	0.00206068357848362	0.265046543025652	0	0	0.00525829602785476	0	0	0	0	0	0	0	0.0832800397925105	0	7.10580544304697e-05	0	0	0.00106587081645705	0	0.00575570240886805	0.113763945143182	0	0	0	0.0030554963405102	0.000213174163291409	7.10580544304697e-05	0.00390819299367583	0.0100191856746962	0.0265046543025652	0	0	0	0.000355290272152348	0	0.0016343352519008	0.166915369857173	0	0	0	0.000568464435443758	0.00362396077595395	0	0	0.00113692887088752	0	0	0.000142116108860939	0.0130746820152064	0.284090101613018	0	0	0	0.000213174163291409	0.000497406381013288	0.00767426987849073	0	0	0
NS27	0	0	0	0	0.0060755843888374	0.00092678405931418	0	0	0.103078982597055	0	0	0.194521676449387	0	0	0	0	0	0	0	0.0583873957367933	0.000102976006590464	0.000308928019771393	0	0.000720832046133251	0.00483987230975183	0	0.00483987230975183	0.102976006590464	0.0092678405931418	0.000205952013180929	0	0	0.000308928019771393	0	0.00720832046133251	0.062300483987231	0	0	0	0	0.000102976006590464	0.000720832046133251	0.0258469776542066	0.189475852126455	0.000308928019771393	0	0	0	0.00370713623725672	0.000617856039542787	0	0.00442796828338997	0	0	0.00195654412521882	0.0075172484811039	0.172484811039028	0	0	0	0.0192565132324168	0.000102976006590464	0.00700236844815158	0	0	0.0104005766656369
NS28	0	0	0	7.28438228438228e-05	0.0276806526806527	0.00050990675990676	0	0.00342365967365967	0.013986013986014	0.000364219114219114	0.00932400932400932	0.0116550116550117	0	0	0.000582750582750583	0	0	0	0.00145687645687646	0.201777389277389	0.000218531468531469	0.000291375291375291	0.00327797202797203	0.000291375291375291	0.00050990675990676	0.000364219114219114	0.000582750582750583	0.0938228438228438	0.00101981351981352	0	7.28438228438228e-05	0.000291375291375291	0.000655594405594406	0.000218531468531469	0.0335081585081585	0.0126019813519814	0.00284090909090909	0	0	0	0	0	0.00772144522144522	0.043997668997669	0	0	0	0.000801282051282051	0.00757575757575758	0.000218531468531469	0.000364219114219114	0.000582750582750583	0	0.00050990675990676	0.372450466200466	0.00844988344988345	0.108173076923077	0	0	7.28438228438228e-05	0.00131118881118881	0.00269522144522145	0.00619172494172494	0	7.28438228438228e-05	0.0174096736596737
NS29	0	0	0	0.000389142912734702	0	0	0	0.00136200019457146	0.0354120050588579	0.00535071505010215	0	0.184648312092616	0	0	0	0	0	0	0	0.0379414339916334	0.00126471446638778	0.000291857184551026	0.00447514349644907	0	0	0	0.0142037163148166	0.0477672925381846	0.0155657165093881	0	0	0.000389142912734702	0.00544800077828583	0	0.0279210039887149	0.0119661445665921	0	0	0.0173168596166942	0	0.000972857281836754	0	0.0501994357427765	0.209845315692188	0	9.72857281836755e-05	0	0	0.0043778577682654	0	0.000389142912734702	0.0250997178713883	0	0	0.000194571456367351	0.00282128611732659	0.271719038817006	0	0	0	0.00544800077828583	9.72857281836755e-05	0	0	0	0.0170250024321432
NS30	0	0.00010492078480747	0.00010492078480747	0.000209841569614941	0	0.00010492078480747	0.000209841569614941	0.00125904941768964	0.0153184345818907	0	0	0.0807890043017522	0	0	0	0	0	0	0	0.0371419578218445	0	0	0	0	0.00115412863288217	0	0.00692477179729304	0.0529849963277725	0.019620186758997	0	0	0	0.000944287063267233	0.00965271220228727	0.00335746511383905	0.0320008393662785	0	0	0.00125904941768964	0.00010492078480747	0.000419683139229881	0.00346238589864652	0.00199349491134194	0.638233133983842	0.00010492078480747	0	0	0	0	0	0.000209841569614941	0.0056657223796034	0	0	0.000314762354422411	0.000314762354422411	0.076067568985416	0.001783653341727	0	0	0.00356730668345399	0.000734445493652293	0.000209841569614941	0	0.00010492078480747	0.00356730668345399
NS32	0	0	0	9.3214019388516e-05	0.00205070842654735	0	0	0.000279642058165548	0.0373788217747949	0	0.000838926174496644	0.0116517524235645	0	0	0.00046607009694258	0	0	0	0	0.081469052945563	0.00149142431021626	0	0	0.000372856077554064	0.00130499627143922	0	0.000745712155108128	0.0995525727069351	0.00223713646532438	9.3214019388516e-05	0	0.00223713646532438	0.000559284116331096	0.000279642058165548	0.0282438478747204	0.145600298284862	0.00121178225205071	0.000186428038777032	0	0	0	0	0.00950782997762863	0.122390007457122	0.00689783743475019	0	0	0.00121178225205071	0.0206935123042506	0	0.000279642058165548	0.000745712155108128	0	9.3214019388516e-05	0.142990305741984	0.00540641312453393	0.192393736017897	0	0	0	0.00111856823266219	0.000745712155108128	0.00223713646532438	0	9.3214019388516e-05	0.0748508575689784
