feature	Abiotrophia	Abyssicoccus	Acetobacter	Achromobacter	Acidaminococcus	Acidipropionibacterium	Acidovorax	Acinetobacter	Actinomyces	Adlercreutzia	Aequoribacter	Aeribacillus	Aerococcus	Aeromonas	Aerosticca	Aggregatibacter	Agrobacterium	Agrococcus	Akkermansia	Alcaligenes	Alicycliphilus	Alicyclobacillus	Alistipes	Allosaccharopolyspora	Altererythrobacter	Anaerobutyricum	Anaerococcus	Anaerostipes	Anoxybacillus	Aquabacterium	Arachnia	Arsenicicoccus	Arthrobacter	Aureimonas	Azorhizobium	Azospirillum	Bacillus	Bacteroides	Bifidobacterium	Blautia	Bordetella	Bosea	Brachybacterium	Bradyrhizobium	Brevibacillus	Brevibacterium	Brevilactibacter	Brevundimonas	Brochothrix	Brucella	Burkholderia	Caballeronia	Caldibacillus	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Caulobacter	Chroococcidiopsis	Chryseobacterium	Citrobacter	Cloacibacterium	Clostridium	Collinsella	Comamonas	Coprococcus	Corynebacterium	Croceicoccus	Cupriavidus	Curtobacterium	Cutibacterium	Deinococcus	Delftia	Dermabacter	Dermacoccus	Diaphorobacter	Dietzia	Dolosigranulum	Duganella	Effusibacillus	Eggerthella	Empedobacter	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erwinia	Erysipelatoclostridium	Escherichia	Exiguobacterium	Faecalibacterium	Fannyhessea	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Fusobacterium	Gardnerella	Gemella	Geobacillus	Glutamicibacter	Gordonia	Gordonibacter	Granulicatella	Haematobacter	Haemophilus	Halomonas	Halopseudomonas	Herbaspirillum	Hydrogenophaga	Hydrogenophilus	Hymenobacter	Ideonella	Intestinimonas	Janibacter	Jeotgalicoccus	Kaistella	Kingella	Klebsiella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacticaseibacillus	Lactobacillus	Lactococcus	Latilactobacillus	Lautropia	Lawsonella	Leclercia	Lelliottia	Leptotrichia	Leucobacter	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnobacter	Limnohabitans	Limosilactobacillus	Listeria	Luteimonas	Lysobacter	Mageeibacillus	Mammaliicoccus	Massilia	Mediterraneibacter	Megamonas	Meiothermus	Mesorhizobium	Methylobacterium	Methylorubrum	Microbacterium	Micrococcus	Micropruina	Microvirgula	Miltoncostaea	Mixta	Mobiluncus	Modestobacter	Monoglobus	Moraxella	Morganella	Mycobacterium	Mycobacteroides	Mycolicibacterium	Nakamurella	Neisseria	Neobacillus	Nocardia	Nocardioides	Novosphingobium	Odoribacter	Olsenella	Ornithinimicrobium	Oryzomicrobium	Oscillibacter	Ottowia	Paenibacillus	Pandoraea	Pannonibacter	Pantoea	Parabacteroides	Paraburkholderia	Parachlamydia	Paracoccus	Parageobacillus	Paraprevotella	Parvimonas	Pauljensenia	Pedobacter	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Planococcus	Pluralibacter	Porphyrobacter	Porphyromonas	Prevotella	Priestia	Propionibacterium	Proteus	Providencia	Pseudoclavibacter	Pseudomonas	Pseudonocardia	Pseudorhizobium	Pseudoxanthomonas	Psychrobacter	Pusillimonas..ex.Kitahara.et.al..2021.	Rahnella	Ralstonia	Raoultella	Rheinheimera	Rhizobium	Rhodococcus	Rhodoferax	Rhodopseudomonas	Roseburia	Roseomonas	Rothia	Ruminococcus	Ruthenibacterium	Salmonella	Schaalia	Serinicoccus	Serratia	Shewanella	Shinella	Sinimarinibacterium	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Sphingosinithalassobacter	Spirosoma	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Sulfurivermis	Sutterella	Tannerella	Tatumella	Tepidimonas	Tessaracoccus	Thauera	Thermaerobacter	Thermomonas	Thermus	Thioalkalivibrio	Thiopseudomonas	Treponema	Tsukamurella	Ureaplasma	Veillonella	Vescimonas	Vibrio	Vogesella	Weissella	Weizmannia	Xanthobacter	Xanthomonas
SRR20002340	36	18	0	68	0	61	829	26231	93	0	0	0	8	35	0	12	228	0	0	1334	845	1	3	2	0	0	0	0	0	262	0	0	0	13	1	888	0	20	35	8	7	0	2	18	0	125	5	62	8	0	275	0	8	0	3	2	0	0	1	0	0	9	0	18	300	0	1221	0	2577	0	7561	12	101	28	131	42	0	18	0	0	15	11	339	0	568	72	0	9	676	56	66	0	0	28	0	0	0	14	55	0	0	45	0	0	23	133	217	16	558	49	26	0	20	0	5	29	0	0	770	134	28	0	4	4	2	143	77	402	0	1	0	0	0	0	4	0	9	0	0	41	964	20	0	0	0	25	49	0	35	0	29	163	28	470	0	0	0	40	0	0	0	2625	0	17	1	477	0	39	0	0	25	7	0	0	9	0	0	0	0	66	0	56	0	2306	4	226	0	0	0	28	0	95	4	41	84	10	0	0	16	320	0	0	61	0	257740	16	0	59	16	0	0	179	0	1	255	43	0	2	0	0	209	0	0	0	16	19	3	2	0	10	5	580	389	145	0	0	27709	259	586	0	4	0	1	0	0	24	0	0	0	8	23	0	0	0	0	27	5	0	7	0	0	1	47
SRR20002343	134	0	0	113	609	18	2851	276938	421	0	0	0	0	1704	192	113	1756	0	71	204	951	2	179	21	0	39	52	550	463	2179	17	0	0	21	7	4980	2392	881	1205	785	141	1	0	141	9	1433	0	609	279	133	1909	45	52	0	85	0	124	145	1	0	0	255	0	276	1337	457	12212	0	13930	77	250216	179	1774	0	1511	844	109	595	0	13	52	25	1013	11	11787	433	21	97	836	78	1122	0	0	185	8	37	0	442	119	853	45	2915	0	386	84	183	1479	345	3340	202	2631	5	41	0	67	56	6	0	204	1296	1031	5	0	0	53	955	71	3	213	7	0	30	37	0	77	0	0	15	35	610	244	52	91	0	83	109	686	0	20490	17	365	799	409	5066	11	0	0	393	0	0	0	24625	0	405	107	1829	0	423	762	64	23	0	0	0	177	0	6	1	15	71	192	158	88	12664	26	168	66	0	0	3	0	0	0	202	52	0	0	21	284	296	142	0	127	0	1982212	118	0	158	125	0	0	514	0	14	2425	241	59	0	194	142	331	27	126	0	125	0	26	0	0	280	29	7663	4754	317	0	9	822426	410	3958	104	12	0	1	229	34	0	0	5	16	522	20	0	1	8	0	256	125	0	9	3	0	0	236
SRR20002345	0	0	11	624	0	4	2205	226144	138	0	8	0	0	989	1808	22	1970	0	35	282860	0	25	69	0	0	0	290	567	75	6442	37	0	6	60	12	20410	360	329	845	230	529	0	42	80	2	741	0	1858	379	46	3393	0	1170	12	0	0	12	657	9	3	1013	15	3	142	3216	227	8027	49	27384	47	883142	149	717	0	597	975	56	729	0	2	48	0	14497	0	3840	367	1693	34	2500	46	469	0	0	209	35	53	0	136	15	194	41	268	0	0	212	319	2694	226	3787	277	2952	0	0	0	80	0	27	25	111	1104	110	0	87	0	299	1971	76	50	42	0	0	8	0	0	223	0	0	6	0	1356	900	26	0	0	544	6	258	10	9807	16	83	463	518	4097	13	5	0	8	0	0	0	138436	0	710	112	932	3	98	45	0	5	31	0	1	0	0	0	0	19	306	548	150	0	15406	22	196	68	0	0	0	0	208	0	89	265	23	17	1	114	100	0	0	450	0	2270506	97	12	52	197	0	19967	377	135	222	228	75	71	0	75	142	2555	0	2	0	2	0	279	0	46	256	46	3744	7085	541	37	4	352253	786	2935	24	0	0	0	0	46	189	0	22	11	458	0	0	11	2	0	48	0	38	2	0	1063	24	1095
SRR20002351	79	0	12	317	0	5	1763	154214	2284	0	3	0	0	1036	0	35	744	0	22	11219	66	10	5	0	0	17	0	433	0	2378	98	0	0	138	1	27	1243	379	186	44	308	1	0	31	0	275	0	182	177	160	1149	19	264	177	346	15	79	289	6	37	0	0	0	8	1039	15	10019	0	10862	5	307133	0	1415	60	1003	1542	0	153	0	0	96	7	1599	4	13876	427	701	0	19076	0	318	0	0	389	0	145	66	72	667	0	5	57	0	732	0	4674	883	1298	2993	27	422	1	0	0	59	3	1	154	383	251	8	7	0	0	8	1499	1240	794	218	5	0	0	808	0	10	5	20	0	16	4166	2970	13	3	0	0	0	28	0	28	2	42	204	79	367	0	20	0	0	0	0	21	4544	0	65	385	731	0	7325	0	0	18	0	0	3	0	0	0	6	0	179	24	17	34	9526	13	196	0	0	0	200	0	217	1	356	63	33	0	7	350	0	159	1249	431	0	1150523	12	6	179	0	0	8	667	171	33	204	57	0	0	29	64	5763	4	14	1114	114	14	82	2454	0	39	7	3515	3462	59	0	0	368379	610	25454	0	0	0	2	0	16	0	76	0	4	0	31	0	0	0	0	547	32	21570	7	0	0	3	134
SRR20002352	0	0	0	76	0	0	209	20491	36	23	0	0	9	35	0	9	204	0	1	60	0	9	4	0	0	0	0	0	0	389	21	0	5	0	0	29	111	8	5	0	0	2	1	8	0	65	0	87	1	0	350	4	132	0	0	8	0	9	0	6	0	0	0	0	86	0	507	0	2071	0	17774	9	0	0	246	55	0	10	0	0	0	2	280	0	76	110	46	0	716	0	6	0	0	23	0	0	0	45	0	0	0	25	0	4	36	29	216	13	560	3	15	0	63	0	43	0	0	6	0	69	8	0	0	0	0	53	37	18	3	0	45	0	0	0	0	0	0	0	4	222	92	0	0	0	11	0	0	0	0	0	185	163	75	457	2	0	0	0	0	0	0	591	0	24	25	145	0	23	0	0	3	73	0	5	13	0	0	0	0	13	14	9	0	2650	6	111	0	0	0	3	2	2	0	0	41	0	14	2	32	0	4	0	0	0	201737	2	0	14	3	1	0	64	0	2	123	32	8	0	0	23	95	0	0	0	14	0	11	31	0	7	0	435	552	29	9	0	5499149	48	2220	0	0	0	0	0	0	0	0	0	0	8	7	0	1	0	1	6	0	0	1	0	0	2	1015
SRR20002353	0	0	2	106	0	0	1221	51066	12	1	0	0	0	18	0	0	618	0	6	2662	0	0	8	0	0	0	0	31	0	1039	0	0	5	51	7	384	1429	57	83	5	115	0	0	10	0	60	0	120	0	157	588	0	0	4	1	0	0	51	0	8	136	0	0	59	624	34	274	0	6255	0	16155	2	1250	0	718	433	0	3	0	0	4	0	0	5	525	170	355	0	405	10	108	0	0	6	0	0	0	0	2	0	0	26	0	13	42	17	314	14	1717	15	0	0	134	0	11	1	7	7	0	299	2	0	0	0	0	30	14	237	0	1	20	0	0	0	0	0	0	0	20	91	207	18	0	0	0	0	4	0	13	9	30	328	18	405	0	0	0	0	0	7	0	2565	0	50	0	195	0	55	0	0	13	0	0	0	6	2	0	0	0	31	0	112	11	6099	13	159	0	0	0	0	0	0	0	18	198	0	9	2	7	0	7	158	21	10	994771	13	0	26	0	0	0	474	48	0	0	45	95	0	23	0	188	0	0	0	3	0	234	11	0	85	0	908	1198	144	0	1	37721	2518	233	0	0	0	0	0	0	11	0	0	0	8	10	0	0	0	0	7	0	7	10	4	10	0	22
SRR20002355	0	0	0	37	0	0	357	39078	24	0	0	0	46	28	0	0	405	0	0	1430	0	5	5	2	0	2	0	0	0	509	1	0	0	0	0	134	113	16	27	0	0	0	1	12	0	64	0	66	0	31	707	0	0	0	0	0	0	89	0	0	0	0	0	6	326	0	470	0	3801	0	24780	5	330	0	106	226	26	6	0	0	0	0	0	0	83	271	15	0	0	0	28	0	0	4	0	3	0	8	0	0	178	21	0	0	29	9	337	28	877	0	27	0	0	0	8	0	1	0	0	317	0	0	0	0	0	21	0	504	2	0	0	0	0	1	0	23	0	7	0	58	248	0	6	0	0	4	0	0	6	2	20	71	7	591	0	0	1	0	0	0	0	3368	0	14	20	104	0	23	0	0	4	1	0	0	2	0	0	0	0	85	0	4	4	3365	2	60	0	0	0	18	0	0	0	2	0	0	0	7	7	0	0	116	3	0	303893	0	0	0	0	0	0	217	101	2	58	27	0	2	5	0	81	0	0	0	6	0	9	0	0	27	13	875	959	0	0	0	61865	127	65	0	0	0	1	0	0	4	0	0	4	0	15	0	0	0	0	6	0	0	1	12	0	2	262
SRR20002356	0	0	0	0	0	0	43	18570	13	0	0	0	37	0	9	0	22	0	1	0	227	0	4	0	8	0	0	0	37	56	0	0	0	6	0	78	0	16	14	0	11	0	0	0	0	7	0	64	8	0	92	0	0	0	0	0	0	258	0	0	0	0	68	4	42	0	1189	0	292	4	7747	0	52	18	8	10	55	18	6	0	0	0	0	0	923	86	3	0	6326	0	85	0	0	9	0	0	0	0	46	32	0	18	0	0	0	35	30	0	89	0	89	0	0	0	0	0	0	0	6492	18	9	0	0	0	5	39	16	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	17	0	5	0	927	0	0	3	14	240	0	0	0	0	34	1	0	2384	0	17	63	53	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	8	0	444	0	31	0	0	0	0	0	0	0	5	0	0	0	0	0	40	0	0	26	0	1527083	0	0	0	0	0	0	30	0	0	93	17	0	0	0	0	82	0	0	0	0	3	0	70	0	0	0	118	257	0	0	2	76999	25	5590	0	0	0	0	0	0	0	0	0	0	22	0	0	2	0	21	0	0	13	0	0	0	1	18
SRR20002360	0	0	0	51	0	0	162	51685	178	0	0	0	0	116	123	0	223	1	69	155	144	2	68	0	0	3	2	24	0	524	10	0	0	12	2	758	0	132	215	0	294	0	0	74	9	50	0	137	4	28	185	0	29	0	15	0	0	0	1	0	0	0	0	70	164	4	1083	0	2547	0	25134	3	123	0	68	211	54	0	0	0	22	0	0	0	36	32	3	0	275	6	202	0	0	8	0	21	4	0	0	0	13	108	6	0	46	15	362	0	479	3	80	0	0	0	31	3	1	2	0	394	73	0	0	0	40	88	8	0	7	1	0	0	0	0	0	0	0	0	4	17	18	0	0	0	7	34	7	0	55	0	50	110	37	1690	0	0	4	0	0	1	3	2522	28	25	55	456	0	47	0	22	0	0	1	0	12	0	0	10	0	13	0	30	10	2292	0	44	0	0	0	5	0	0	9	76	26	29	0	3	70	1850	0	0	0	0	309291	11	4	90	0	0	59	222	0	6	106	160	24	0	32	0	166	7	9	0	3	9	0	0	0	24	4	559	1178	49	0	0	253385	290	197	10	0	2	1	0	0	0	11	0	0	21	22	6	10	0	0	21	6	0	3	37	0	0	18
SRR20002363	0	0	0	0	0	0	231	13635	16	0	0	6	32	0	46	0	223	0	0	589	119	0	5	0	0	0	0	3	0	535	10	0	4	0	0	146	0	17	20	0	0	0	1	7	0	15	0	107	0	4	462	0	3	0	0	17	0	0	0	4	0	2	0	17	102	0	231	3	2464	0	5960	0	115	0	105	118	12	6	0	0	7	0	139	0	160	143	3	0	99	0	3	0	0	4	0	0	0	28	0	0	0	42	0	0	42	8	250	12	795	0	2	0	7	0	7	5	2	0	0	59	9	0	0	0	0	25	0	0	0	0	4	0	0	0	15	0	0	1	0	201	67	0	0	0	0	0	5	0	4	34	31	94	16	139	9	0	0	0	0	0	0	1675	0	304	43	1196	0	0	0	0	0	0	0	0	2	0	0	0	4	4	0	0	8	2943	10	78	0	0	0	4	0	0	0	4	6	14	0	0	5	0	0	0	24	0	258702	2	4	17	0	0	0	218	22	0	97	21	0	1	2	14	28	0	0	0	3	0	1	0	0	79	5	657	899	44	6	0	10209852	78	9276	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	1
