feature	Acidovorax	Acinetobacter	Actinomyces	Alcaligenes	Azospirillum	Burkholderia	Burkholderiales.gen..incertae.sedis	Chlorobi.gen..incertae.sedis	Corynebacterium	Cutibacterium	Dermacoccus	Effusibacillus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Kocuria	Lactobacillus	Lawsonella	Meiothermus	Micrococcus	Moraxellaceae.gen...Enhydrobacter.Moraxella.	Paraburkholderia	Prevotella	Pseudomonas	Rothia	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus
SRR20002340	0	8	0	0	0	1	3	0	2	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	60	0	0	2	0	4
SRR20002343	0	46	0	0	0	15	16	49	20	137	16	10	0	0	0	23	15	0	11	141	17	16	27	0	473	0	7	396	20	14
SRR20002345	17	36	0	202	26	27	5	18	23	735	0	14	0	0	0	34	0	0	119	103	10	32	34	0	491	7	24	23	0	17
SRR20002351	6	17	23	12	0	14	7	0	49	364	0	0	14	10	0	13	0	9	16	0	3	4	10	0	348	25	0	10	0	141
SRR20002352	0	6	0	0	0	14	13	0	0	72	4	0	0	0	0	7	0	0	7	0	13	0	2	0	138	0	0	4062	0	19
SRR20002353	0	32	0	2	0	0	7	0	0	27	0	0	0	0	0	18	0	0	6	0	1	4	6	0	323	20	0	0	0	0
SRR20002355	0	3	0	3	0	2	0	0	0	26	0	0	0	0	0	4	0	0	5	0	3	0	13	0	114	0	0	0	0	0
SRR20002356	0	1	4	0	0	0	0	5	2	10	0	1	3	0	0	0	0	0	0	10	5	0	2	0	403	0	0	1	0	25
SRR20002360	0	6	0	0	0	2	1	0	0	36	0	0	0	0	0	1	0	0	3	0	3	4	8	0	142	0	1	4	0	0
SRR20002363	0	7	0	0	0	19	11	0	0	23	0	0	0	0	0	22	0	0	0	0	0	0	33	0	262	0	0	6806	0	156
SRR20002365	0	35	0	0	0	13	14	0	7	257	0	0	0	0	0	0	0	0	28	2	0	0	21	0	353	19	0	0	0	0
SRR20002368	0	25	0	4	0	9	3	0	3	34	4	0	0	0	2	0	0	0	4	0	0	0	11	0	155	0	7	5634	0	0
SRR20002369	0	0	0	0	0	0	0	0	0	2	0	0	102	1179	0	0	0	23	0	0	0	0	0	2	1	0	0	35	0	1
SRR20002371	0	2	0	0	0	0	0	3	0	13	0	0	0	0	0	0	0	0	2	5	0	0	2	0	15	0	0	22	0	39
SRR20002373	4	31	0	9	0	7	8	10	0	28	0	6	0	0	8	0	6	0	8	61	0	0	12	0	263	0	0	0	0	0
SRR20002375	2	7	0	0	0	1	6	5	0	16	0	1	0	0	0	2	0	0	0	12	2	0	4	0	122	0	1	2	0	6
SRR20002377	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	1	0	12	0	0	110	0	0
SRR20002378	0	0	0	0	0	3	2	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	3	0	54	0	0	1	0	1
SRR20002379	0	29	0	15	0	30	24	0	0	35	0	0	0	0	3	16	0	0	0	0	0	0	44	0	556	0	0	9	0	0
SRR20002380	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	4	0	0	0	30	0	0	5036	0	0
SRR20002382	0	35	0	0	0	12	12	61	0	93	0	8	0	0	0	11	10	0	0	150	5	0	27	0	365	0	0	7	0	16
SRR20002384	0	5	0	0	0	0	2	8	865	19	0	3	0	0	0	0	0	0	0	21	0	5	7	0	88	0	0	2	0	0
SRR20002386	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
SRR20002388	5	14	0	0	6	2	3	2	0	26	0	2	0	0	0	14	0	0	0	17	6	2	8	0	132	0	0	0	0	0
SRR20002391	3	114	0	17	30	33	28	0	28	769	0	0	0	0	6	15	0	0	21	0	20	22	45	0	1010	0	5	5	0	5
SRR20002394	0	0	0	0	0	0	0	0	2243	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	18	0	0	30	0	8
SRR20002396	8	22	0	0	0	6	8	5	3	26	0	2	175	0	0	4	0	0	0	39	5	11	15	0	319	3	5	7	5	25
SRR20002397	1	20	0	12	0	0	22	0	10	47	4	0	0	0	0	0	8	0	0	0	26	0	27	0	311	0	0	19	0	0
SRR20002401	0	73	0	3	0	34	6	0	15	219	18	0	28	0	0	31	0	0	3	4	6	3	20	0	477	0	1	186	0	2294
SRR20002402	0	6	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	48	0	0	0	0	0
SRR20002403	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
SRR20002406	0	2	0	0	2	7	0	5	2	70	0	2	0	0	0	0	3	0	2	15	3	0	5	0	179	0	0	2	1	3
SRR20002410	0	15	5	3	0	1	4	0	470	5	4	0	0	4	0	0	0	0	5	0	1	3	8	0	115	0	0	1	0	0
SRR20002412	0	4	15	0	0	8	5	0	83	47	0	0	3	3	0	3	0	6	6	0	0	0	9	17	144	13	3	579	0	249
SRR20002416	0	10	0	3	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	48	0	0	0	0	0
SRR20002417	0	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
SRR20002419	0	10	0	5	0	18	4	0	0	157	3	0	0	0	4	10	0	6	4	0	4	1	10	0	264	0	0	9	0	1
SRR20002420	0	20	0	0	0	0	7	0	0	19	0	0	0	0	0	0	0	0	7	0	2	0	7	0	144	0	0	0	0	0
SRR20002421	0	0	0	10	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	253	0	4
SRR20002422	17	21	8	0	0	7	10	0	16	1142	8	0	0	7	4	9	0	0	22	3	7	2	13	0	431	3	4	2508	1	41
SRR20002425	0	32	0	10	16	14	18	0	0	59	0	0	0	0	0	16	0	0	0	3	18	10	36	0	462	0	0	24	0	0
SRR20002427	0	6	4	0	0	4	7	0	279	24	7	0	0	0	0	7	0	15	0	0	1	2	6	7659	204	6	0	0	0	51
SRR20002430	0	22	0	0	0	19	4	0	73	172	29	0	0	47	0	0	0	0	9	0	4	7	17	0	673	41	0	84	0	87
SRR20002433	0	21	0	0	0	38	26	0	0	323	0	0	0	0	0	24	0	8	28	0	0	6	28	0	461	0	4	7	0	0
SRR20002435	0	3	0	0	0	2	0	2	2066	3	0	1	40	0	0	0	0	8	0	7	0	0	0	0	24	0	0	2	0	0
SRR20002439	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0
SRR20002441	0	0	1	0	0	0	0	1	2	1	0	0	4172	0	0	0	0	6	0	3	0	0	0	6	9	0	0	27	0	0
SRR20002442	0	24	0	0	0	15	17	0	6	27	0	0	0	0	0	8	0	0	0	0	0	0	8	0	350	0	0	0	0	0
