feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerobutyricum	NAFLD	Negative	-0.097622861761377	0.0323737501276474	35	20	0.0049075079258434	0.146267720171798
Bacteroides	NAFLD	Negative	0.171142324720943	0.0609782594605423	35	18	0.00833642912240989	0.146267720171798
Blautia	NAFLD	Negative	-0.138648180927347	0.0545417845361049	35	27	0.015898665236065	0.146267720171798
Collinsella	NAFLD	Negative	-0.0927494160556243	0.0348446859846654	35	25	0.0119146727517959	0.146267720171798
Fusicatenibacter	NAFLD	Negative	-0.0989713855747634	0.0377106219016005	35	19	0.0130437428005792	0.146267720171798
Phocaeicola	NAFLD	Negative	0.108375751635983	0.0457381538630341	35	21	0.0238158071349149	0.182587854701014
Parabacteroides	NAFLD	Negative	0.0565133550609581	0.0251527274235481	35	7	0.0314615864510264	0.194528142981988
Phascolarctobacterium	NAFLD	Negative	0.043057672315312	0.0194457384260231	35	7	0.0338309813881719	0.194528142981988
Bifidobacterium	NAFLD	Negative	-0.104131755339977	0.050416829521894	35	28	0.0468105641444029	0.202232792115778
Faecalibacillus	NAFLD	Negative	-0.0504785481357443	0.0245952108157975	35	9	0.0481343417797673	0.202232792115778
GGB3277	NAFLD	Negative	0.0554407452706581	0.0270418787789655	35	4	0.0483600155059468	0.202232792115778
