feature	Acetatifactor	Acidaminococcus	Actinomyces	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alistipes	Amedibacillus	Anaerobutyricum	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotignum	Anaerotruncus	Angelakisella	Avimonas	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Campylobacter	Carnobacterium	Casaltella	Catenibacillus	Catenibacterium	Christensenella	Clostridium	Colidextribacter	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Desulfovibrio	Dialister	Dielma	Diplocloster	Dorea	Dysosmobacter	Eggerthella	Eisenbergiella	Emergencia	Enterocloster	Erysipelatoclostridium	Escherichia	Eubacterium	Evtepia	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalitalea	Fenollaria	Flavonifractor	Flintibacter	Fusicatenibacter	Fusobacterium	Geddesella	Gemella	Gemmiger	Gordonibacter	Haemophilus	Holdemanella	Holdemania	Hungatella	Hydrogeniiclostidium	Hydrogenoanaerobacterium	Intestinibacillus	Intestinibacter	Intestinimonas	Lachnobacterium	Lachnoclostridium	Lachnospira	Lacrimispora	Lactobacillus	Lactococcus	Lactonifactor	Lawsonibacter	Ligilactobacillus	Limosilactobacillus	Longicatena	Massiliimalia	Massilimicrobiota	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Mogibacterium	Monoglobus	Neglectibacter	Neobittarella	Odoribacter	Oliverpabstia	Olsenella	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Pararuminococcus	Parasutterella	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Phocea	Porphyromonas	Prevotella	Pseudoflavonifractor	Pseudomonas	Pseudoruminococcus	Pullichristensenella	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Raoultibacter	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Sellimonas	Senegalimassilia	Slackia	Solobacterium	Sphingomonas	Staphylococcus	Streptococcus	Subdoligranulum	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	Veillonella	Vescimonas	Waltera
NS10	133	160	0	0	89	0	3278	0	369	489	15761	72	0	32733	0	0	0	0	2668	220	72150	81	0	231868	0	2982	0	0	0	0	0	0	0	60059	0	90933	90	0	39649	0	27783	0	0	34343	0	9827	0	0	77	981	288	78910	0	1636	41695	0	0	0	427	82	4269	0	0	0	3456	922	0	0	0	0	0	0	0	0	0	0	3468	116	19316	0	82	0	0	0	0	515	0	305	0	50370	0	36028	0	108	0	0	963	0	0	0	0	0	708	534	0	0	0	141	38264	0	0	6301	0	0	0	0	0	0	183	0	4496	0	0	5346	1287	0	386	0	0	0	0	121	20453	0	0	0	0	0	0	0
NS11	238	2215	0	0	0	0	2161	3214	21593	0	2982	0	0	3738	0	87	0	312	212429	0	30508	569	0	16530	0	117	8959	0	0	112	0	10512	169	17552	0	9327	0	0	3354	7559	0	0	117	6417	2393	162	0	0	408	286	2052	8094	0	0	51805	0	185	0	62	90	838	0	0	0	4602	134	0	141	445	161	338	0	224	0	0	0	197	93	269	0	93	0	0	2356	0	0	0	0	0	27023	0	50947	0	240	0	2932	0	6889	336	0	15291	796	100999	0	0	165	0	11769	164579	105	0	393107	120	0	0	0	0	0	0	0	6860	0	0	56828	4677	0	483	0	193	0	0	360	12646	2938	0	0	0	0	0	0
NS13	0	0	107	0	0	488	706	0	91828	0	92325	0	0	84851	178	228	0	0	183645	0	58	0	0	541351	0	2270	0	0	0	0	0	75443	0	30049	0	0	1219	0	13435	0	365	0	53	21238	0	5493	343	0	806	4826	0	12603	0	80	87380	291	0	0	843	0	13259	0	0	0	1728	55	0	406	1157	1403	0	0	0	979	0	782	6075	0	1561	0	0	212	0	0	0	0	0	0	0	7441	0	0	0	163	0	0	0	0	121	0	85	0	243	0	0	0	176	0	50967	0	0	876	0	0	0	0	0	0	411	0	26911	0	0	17526	479	0	0	0	0	0	0	2965	43529	0	0	288	0	0	0	0
NS21	0	0	61	0	0	389	2684	63	497	0	6996	0	385	44940	0	143	0	0	352885	0	2835	1944	0	90965	0	3757	12315	0	0	0	0	0	0	100719	0	0	787	0	8978	0	12897	893	0	5663	0	1542	1163	0	4262	1610	3092	6262	1012	0	252633	0	0	0	41844	0	2049	0	0	0	859	0	131	0	2032	6677	229	0	116	3933	0	0	2997	7268	925	0	0	0	0	0	0	137	0	0	0	50337	0	0	0	0	0	0	0	0	0	0	954	0	21400	0	0	0	0	0	299775	316	0	1652	0	0	0	0	0	0	0	0	255950	0	0	5349	5262	0	0	0	0	0	0	4479	39573	0	73	0	5307	8852	0	241
NS25	0	0	0	0	0	367	11587	0	19672	0	5590	0	0	13158	0	235	0	0	589081	0	8541	9739	1826	72561	0	16944	0	0	0	0	0	0	0	145335	0	0	1176	0	15746	0	0	0	0	8701	426	795	2078	0	23110	1859	0	11052	4804	198	399444	0	0	0	105054	0	4960	0	0	0	11357	57	0	0	15963	1884	963	485	0	0	1519	389	12173	2906	1345	0	0	0	1177	0	0	0	188	0	0	40231	0	0	0	325	29006	0	0	3582	0	0	1943	0	38436	0	0	0	0	31361	405690	151	0	413	301	0	0	0	0	0	0	473	4025	0	0	2197	2681	0	0	0	0	0	0	185	41268	607	154	108	0	0	0	216
NS27	0	0	0	0	110	697	2288	7164	12571	0	37350	0	0	44494	0	0	0	0	156311	0	183132	0	0	69265	0	278	0	0	0	0	0	19914	0	54041	0	8865	2563	0	6928	0	8326	0	0	9092	0	407	217	0	83	193	0	10170	58	0	173392	3366	0	0	453	0	6090	0	0	0	440	119	404	1127	331	0	0	0	174	1970	0	3060	87	10141	16799	357	0	0	0	0	0	0	0	0	0	33140	0	652	0	262	0	0	0	0	0	720	255	0	16657	3563	0	0	0	0	113428	0	0	79	0	0	0	0	74	0	0	2309	55525	0	270	47694	172	0	127	0	5730	0	0	16815	3741	105	63	0	0	345	0	0
NS28	1774	0	0	0	0	510	3106	62419	20567	0	9641	0	425	10229	638	0	149	0	51552	17323	19704	830	0	16624	0	923	1213	421	0	0	0	0	712	184652	698	993	12465	0	12799	0	24767	0	0	3307	2181	187	0	0	86	426	724	12469	0	90	147910	1264	0	67	77	0	375	56	0	0	743	0	98	8240	75	0	0	0	0	433	380	0	2073	21365	3158	0	0	0	0	0	0	0	0	0	0	22251	0	70	0	0	0	0	0	3201	0	750	6983	0	20870	1240	0	78	0	4667	16406	0	124	854292	0	0	0	0	279	0	0	0	27242	0	0	22962	237	0	0	245	562	0	0	2115	8659	4757	56	0	0	81	0	241
NS29	0	0	167	606	0	895	0	0	5784	0	0	2358	2178	25797	0	1603	0	1516	31835	8919	236882	726	0	235496	0	59	0	0	0	848	304	0	0	87059	0	3577	2062	0	256	0	15474	125	0	281	0	12720	1862	360	27255	38200	86	27708	0	0	89717	956	0	0	3005	0	833	0	0	0	32992	1376	0	0	0	10651	0	288	349	13567	0	0	40575	0	8484	0	1551	0	0	0	0	26766	0	77	0	6578	0	347	0	2660	3999	0	0	0	0	0	1623	0	81	0	107	0	0	0	56249	0	0	437	0	0	155	0	112	0	0	3167	81720	0	0	178462	49879	1654	0	0	0	0	0	3960	21700	109	397	83	9078	0	0	0
NS30	486	0	176	0	0	3108	1777	0	1240	670	575	0	104	34835	0	0	0	0	51380	66	93926	0	0	305463	0	328	0	0	0	0	0	0	0	76415	0	22339	0	0	23834	0	2985	0	0	12601	0	2464	0	0	3667	4425	25662	44914	0	0	92902	0	0	0	201	0	23101	0	0	0	350	305	0	0	2249	0	0	0	0	3257	0	0	10902	710	92	0	0	0	0	62	0	1983	0	156	0	128328	0	0	0	0	0	0	0	0	0	0	77	0	176	0	0	1115	0	0	496	0	0	1355	0	61381	0	0	0	0	0	630	341070	0	0	9067	140	162	0	0	0	0	0	2734	0	0	91	0	0	0	0	0
NS32	951	0	0	0	73	223	4407	3764	12014	0	8689	0	1118	3549	303	67	2037	90	81478	1175	13902	2322	95	44286	0	826	0	332	0	0	0	0	0	110079	0	3213	17443	0	81841	1488	67815	61	0	5388	3856	329	112	0	328	540	847	152275	819	0	181960	4484	0	0	201	0	10769	0	92	0	792	220	0	2409	172	410	0	141	0	419	195	0	2465	4355	1401	0	0	0	306	8065	0	0	0	0	0	26304	0	0	0	72	0	205	0	3659	0	0	2253	556	8961	0	199	223	0	1306	47465	0	56	247833	0	0	0	68	266	0	64	65	40969	0	0	38932	2547	0	139	0	0	0	0	850	8628	760	0	132	0	0	104	193
