feature	Acetobacteraceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Methylobacteriaceae	Micrococcaceae	Moraxellaceae	Muribaculaceae	Nanosynbacteraceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Treponemataceae	Turicibacteraceae	Veillonellaceae	Weeksellaceae	Xanthomonadaceae
NS10	1	708	11	11	105	19	0	14203	0	202900	0	0	779	0	183	47911	38	388243	0	0	3259	13048	6026	25158	1025	0	21	929674	77	0	0	0	0	0	0	0	0	15	552877	0	67	19353	0	0	6801	12	341	276	0	0	0	4644	188	0	1518	17	20	4693	13	2
NS11	3	3582	11	0	4124	4	0	981721	14	28025	0	0	34	16	346	3265	0	9391	0	8	488	24378	1659	2599	502	0	0	58389	3030	0	0	0	1	0	128	0	0	11185	189116	120	6	356	0	0	547861	0	6764	24139	2	0	25	1598	2662	0	203272	20	23	115413	4	0
NS13	19	3	26	0	17	0	15	366719	0	105	0	0	374	25	34	23735	0	11	2	0	7734	0	1492	6018	469	11	0	1308251	73	3	0	0	0	0	0	0	0	148	306952	5	218	178880	0	0	125	1	0	14591	0	0	28	5173	0	0	2361	26	620	20	0	0
NS21	4	10	10	9	17	1	5	898960	0	2029	0	10	803	6	19	17184	0	9	818	2	1648	18970	196	9191	81	17	4	445981	8	0	3	0	1	0	0	0	0	3796	797406	294	3	4317	0	1	62	2	0	183	0	0	0	4739	5	0	14017	27	8	3428	0	0
NS25	19	28296	5	5	7	0	0	1005607	32	3121	0	0	4061	0	24	13749	0	3	0	11	817	800	41073	2919	1502	0	4	139662	7	0	0	0	1	0	1	0	0	983	953618	18	68	2424	0	0	154	5	1472	876	0	0	0	234	1886	0	20617	17	182	4	0	0
NS27	6	202	11	62	12313	428	1	409977	12	228103	0	0	1513	18	354	20296	2	16127	1	0	597	0	193	31686	758	8	3	592293	618	0	2	0	3	0	0	0	0	27	825161	1591	83	2209	0	0	655	5	0	10201	0	0	58	35444	1267	0	23772	15	34	7288	887	0
NS28	3	5537	406	0	133066	448	30	132083	36	20518	0	0	46071	79	92	10030	0	1222	68	0	143	15869	1442	3965	412	7	172	343975	144	3	0	0	0	0	176	0	1	5431	743459	950	124	1999	0	53	603096	1	35	29814	0	0	0	5813	14296	4	78357	11	140	24359	242	0
NS29	0	2253	66	0	21	13	1918	131436	3	491868	0	0	2059	21	967	143932	0	1515	24	0	48190	3418	7957	262353	12773	158	20	566249	159	0	0	0	10	0	0	1	0	2	504168	10	1412	24402	0	1	230	8	0	5158	28	0	0	10260	0	0	592	10	444	21	0	0
NS30	45	609	54	12	52	4	45	53445	0	114841	0	0	535	70	32	76632	0	1335	0	2	7333	151500	17843	23653	4589	25	10	1228499	399	0	0	1	6	78	0	23	0	8	510550	0	137	23393	2	0	405	18	0	986	6	0	0	6571	44	0	300	58	68	66	0	0
NS32	45	2023	44	0	8086	5	5	265715	70	18742	0	0	33325	0	322	52508	0	3881	10	306	517	19381	5904	1493	577	8	0	679077	9442	0	0	0	2	0	39	0	0	12574	863794	16	27	901	0	9	200855	1	0	19980	4	0	0	2318	4228	0	17888	26	85	15	0	0
NS34	0	6702	935	0	8226	3	1	1848971	0	15220	0	0	438	19	104	4074	0	62	4	2	2960	75065	1301	3501	877	2	1418	138048	2	263	5	0	6	0	1	0	0	6539	31931	2	2004	2444	0	183	313	1	33	10773	0	0	0	2001	0	0	56046	29	3449	181	144	0
NS36	11	17633	118	0	613135	7	0	460518	32	31703	0	0	3289	50	665	113696	21	18988	52	749	3715	899	6569	15820	1014	10	6	129292	341	0	7	0	3	929	1	20	6	10934	533335	1	439	6772	5	50	203	7	2030	127588	0	0	2467	10950	8329	10	97921	43	3631	3	180	0
NS38	27	5	142	0	304701	43	0	585415	12	287206	0	16	96	14	1207	16608	0	32801	6	1784	4164	75894	4079	5814	879	14	10	552071	3742	0	0	0	43	2774	81	11	0	6833	226149	615	94	3092	0	0	36	5	1462	33664	0	0	0	6057	5281	4	54646	21	253	6128	240	23
NS39	3	3411	257	0	5410	2	0	296529	3396	85742	0	0	1187	40	323	10184	0	9987	0	0	189	16015	441	3052	412	12	31	224024	21	0	0	0	15	1175	23	5	106	8405	1436983	3462	2489	3843	0	2	27670	16	41	26061	26196	0	0	3765	5396	5	16730	69	264	895	0	0
NS4	2	2	1	0	12	0	0	748518	8	56273	0	0	318	8	0	4186	381	3186	0	0	431	78827	302	1523	137	0	10	558672	97	0	0	0	8	0	0	0	1	969	756538	3961	55	600	0	0	43	0	0	1473	0	0	0	3024	12	0	4235	21	189	261	0	0
NS40	5	688	59	5	29	3677	6	105148	29	140362	0	12	963	0	105	14371	10	35305	0	0	1312	13451	2108	7483	1317	37	43	355262	20912	0	0	0	4	0	0	7	0	1015	1427393	59	185	1737	0	57	26576	12	125	7652	11636	0	11	2671	168	0	41105	91	56	1024	0	0
NS41	0	406	1	5	2974	113	0	367367	45	4422	0	0	11611	0	79	3931	0	1182	0	0	73	989	2657	1430	335	0	0	280600	3067	0	0	0	0	0	0	3	0	6349	625041	58	15	552	0	11	750004	1	2038	23264	6628	0	0	1008	2124	0	125708	8	14	107	0	0
NS46	10	12	553	0	5831	25	2	414035	49	116127	2	44	12013	139	4954	138939	34	501	0	0	35201	64041	2594	20085	2780	210	2	908773	2689	3	0	0	97	2561	0	4	0	6446	399206	20	373	10221	9	127	1591	2	0	21427	0	136	3751	5562	0	5	12461	120	30035	119	362	0
NS51	6	386	126	3	1	124	6	23396	0	220443	80	1090	139	47	41	180005	0	1473	28	7	625	56446	1742	7901	488	8	196	1089032	2618	0	0	29	132	0	0	0	3	8	571974	73	865	47194	1870	100	230	16	39	226	0	0	10	12311	0	0	1238	37	1158	243	71	0
NS55	45	9	780	0	430	9	7	128709	0	35880	0	0	25	60	350	70144	0	13386	1	0	9654	29462	1471	142585	1005	10	0	1113097	126	0	0	0	5	0	0	9	0	975	656431	5	56	8945	0	0	61	2	0	748	0	0	0	8225	0	0	656	38	808	75	0	0
NS58	11	62	535	37	1	13	102	1260	0	53082	21	1601	1592	128	32	34966	0	20608	81	0	570	0	177	40375	121	23	25	1941500	58	0	0	38	84	0	0	2	1	6	57179	428	101	6897	208	1	2668	10	0	42	1	5	72	16914	2	0	187	6	42319	132	0	0
NS6	14	4	35	0	38	1	23	1067188	28	58	0	0	47	37	54	10286	0	3002	2	0	3915	4716	668	9597	711	1	0	604527	292	0	0	0	1	0	3	0	3	4698	400092	172	677	5209	0	245	1354	2	3617	26835	0	0	42	6907	0	0	68429	19	2	59	673	0
NS62	28	1109	1066	0	22840	58	22	34160	12	71612	0	122	5868	329	1280	53116	0	129	12962	0	17886	921	7367	38115	348	23	0	1705312	227	0	126	0	50	0	0	6	0	336	201918	17	24	9238	0	9	32	2	0	21556	0	0	144	9256	0	0	6320	69	234	35	0	0
NS67	6	2	2346	11	13748	91	6	38754	1	298258	20	1119	574	6	978	23509	0	93119	74	1	10367	77238	7741	38154	2835	78	0	891896	29351	0	161	0	39	0	2	3	0	49	650002	349	659	6436	288	13	16936	16	0	69	3	0	11	6222	120	9	3231	22	8920	361	79	0
NS7	14	663	299	178	7	109	585	36810	6	231552	0	3	6841	169	44	14923	0	96701	17	3	5355	6855	2760	4176	353	34	42	324693	72671	0	1	0	75	0	2	5	2	876	1283004	745	92	24735	0	0	43378	20	0	4239	3513	0	1	13021	10222	0	3969	19	27898	2523	72	6
NS70	40	537	325	52	9	72	2	50972	0	96576	80	4363	1356	52	131	20501	0	56938	25	0	3888	1582	8339	29874	409	49	2	846718	202	0	0	76	108	0	1	0	0	12	884894	320	88	3922	6214	3	158412	10	41	834	0	0	48	32327	1253	0	3919	24	8330	354	0	0
NS71	41	6188	2758	47	111013	17	133	134143	45	352861	0	35	5296	720	3601	40787	0	69328	30	0	7247	37	10174	96873	6397	129	0	1050350	964	0	0	30	77	0	0	0	0	333	195717	7	608	69468	11	4	163	63	0	2037	14	0	28	19277	0	7	4237	27	32953	0	0	8
NS72	38	415	4584	406	3249	213	2	1489	0	516280	2	126	129	444	548	63392	0	210878	2	3	1032	6550	1309	55657	935	386	14	891869	157664	14	0	0	168	0	0	20	0	12	128159	36	248	93624	169	0	3314	19	53	56	18414	0	4334	53115	110	0	387	22	1751	2638	0	5
NS77	1	30775	12	6	3	2	0	449129	40	7492	0	0	1375	8	51	36598	0	4544	0	3	582	269182	913	8608	420	26	44	166301	8	0	0	0	62	0	8	1	6	8999	873391	182	30	7225	0	18	269109	6	106	9994	0	0	0	10903	375	3	67215	1	173	352	2	0
NS78	89	69	624	0	19	3148	54	6484	0	223707	37	4240	418	2049	147	28186	0	73560	1	0	481	3025	1006	48706	583	44	3	1253761	4422	0	0	27	65	0	12	2	0	222	425118	56	16	17573	7493	0	11510	16	356	1501	0	0	214	97559	571	0	821	189	6036	64	0	0
NS79	28	3222	151	6	1	0	18	78165	1	188650	57	2403	397	3	40	10105	0	38493	9	0	4423	1036	7795	22882	482	6	4	612785	129	0	0	25	28	0	0	0	0	376	1235550	15	40	4257	3587	0	16	16	0	2290	0	17	0	4989	9	0	1601	47	108	22	0	0
NS81	67	45	226	33	966	6	40	6650	0	121510	293	7192	208	457	1016	14492	262	3	18	0	15351	2707	10002	60712	741	48	2	1556130	1790	0	13	213	2	0	0	17	0	1	288330	66	326	18601	11324	4	2	9	0	718	0	36	62	91065	28	0	1670	660	7317	2821	0	0
