feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	NAFLD	Negative	0.222137236840339	0.0643000671493358	35	22	0.00153330552588959	0.0475324713025774
Acidaminococcaceae	NAFLD	Negative	0.0535833050188752	0.0203588272597548	35	6	0.0128106567717912	0.0945595249305557
Bifidobacteriaceae	NAFLD	Negative	-0.133797585729674	0.047843020546966	35	29	0.00854730606884593	0.0945595249305557
Lachnospiraceae	NAFLD	Negative	-0.198110562969291	0.0716815985258433	35	35	0.00927412705539231	0.0945595249305557
Lactobacillaceae	NAFLD	Negative	-0.061364323637067	0.0246734379516475	35	8	0.0181114467770823	0.0945595249305557
Odoribacteraceae	NAFLD	Negative	0.0342875125775835	0.0138110147832886	35	5	0.0183018435349463	0.0945595249305557
Prevotellaceae	NAFLD	Negative	0.132110974495777	0.0646729960366143	35	12	0.0491316129562759	0.184309383033218
Rikenellaceae	NAFLD	Negative	0.0737399519275471	0.0353409985325368	35	15	0.0447358974254106	0.184309383033218
Tannerellaceae	NAFLD	Negative	0.0428575550451356	0.021402533914908	35	10	0.0535091757193215	0.184309383033218
Erysipelotrichaceae	NAFLD	Negative	-0.0504149005768336	0.0284870529328111	35	17	0.086009662518455	0.265333044385009
Eubacteriaceae	NAFLD	Negative	0.0642276422332959	0.0372650316289667	35	13	0.0941504351043582	0.265333044385009
Peptostreptococcaceae	NAFLD	Negative	-0.0490452048375649	0.0326406610917314	35	10	0.142457369275917	0.368014870629453
Akkermansiaceae	NAFLD	Negative	0.0335431118615493	0.0358677024832749	35	6	0.356483886211164	0.649710649045282
Barnesiellaceae	NAFLD	Negative	0.0136753754132492	0.0138312634447492	35	4	0.329990162481203	0.649710649045282
Coprobacillaceae	NAFLD	Negative	0.0275430496210242	0.0287792933231828	35	6	0.34550433440259	0.649710649045282
Coriobacteriaceae	NAFLD	Negative	0.0262968268194493	0.0255590634000843	35	11	0.311025592050066	0.649710649045282
FGB1292	NAFLD	Negative	0.0166106285207867	0.0185586665948239	35	7	0.377251344606938	0.649710649045282
FGB14936	NAFLD	Negative	-0.0252586041312344	0.0247938452515631	35	6	0.315735119502546	0.649710649045282
Clostridiaceae	NAFLD	Negative	0.0247811162996512	0.0344144828960039	35	27	0.476546540542143	0.749096465090398
Sutterellaceae	NAFLD	Negative	0.0108658406279149	0.0153250343777946	35	4	0.483288041993805	0.749096465090398
Eggerthellaceae	NAFLD	Negative	-0.00757922312187825	0.0150124412640769	35	5	0.617010234054853	0.893654844783354
Oscillospiraceae	NAFLD	Negative	0.0204314264626409	0.0425418945919624	35	35	0.6342066640398	0.893654844783354
Eubacteriales.unclassified	NAFLD	Negative	0.0110712946881779	0.0275754644356789	35	25	0.690647087316904	0.930872161166262
Streptococcaceae	NAFLD	Negative	-0.00674147317775776	0.0221376810718338	35	8	0.762640314202014	0.945673989610497
Veillonellaceae	NAFLD	Negative	-0.0122244857967125	0.0371880622441606	35	14	0.744443824465034	0.945673989610497
Eubacteriales.Family.XIII.Incertae.Sedis	NAFLD	Negative	0.0029151713732707	0.0167509244138344	35	5	0.862904743090373	0.963031106011974
Eubacteriales.incertae.sedis	NAFLD	Negative	-0.00230821750246542	0.0390339288886584	35	20	0.953202331867308	0.963031106011974
FGB1354	NAFLD	Negative	0.00865292927422482	0.0457149952696812	35	8	0.851032838798409	0.963031106011974
FGB1765	NAFLD	Negative	-0.00234883892145509	0.0317759341309159	35	8	0.941521253534021	0.963031106011974
FGB1776	NAFLD	Negative	0.00104256436447511	0.0223230861578915	35	4	0.963031106011974	0.963031106011974
FGB4806	NAFLD	Negative	0.00378349127438932	0.03800864070518	35	7	0.921309470807572	0.963031106011974
