feature	Abiotrophia	Acidaminococcus	Acinetobacter	Actinomyces	Acutalibacter	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Alkalihalobacillus	Amedibacterium	Aminipila	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Arachnia	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Christensenella	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Coprobacter	Coprococcus	Corynebacterium	Cruoricaptor	Cupriavidus	Cutibacterium	Cytobacillus	Desulfovibrio	Dialister	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterocloster	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Filifactor	Finegoldia	Flavonifractor	Flintibacter	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Helcococcus	Hungatella	Intestinibaculum	Intestinimonas	Jeotgalibaca	Klebsiella	Komagataeibacter	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Leptotrichia	Leuconostoc	Ligilactobacillus	Limosilactobacillus	Longibaculum	Longicatena	Mageeibacillus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Mesorhizobium	Methylobacterium	Methylorubrum	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Murdochiella	Muribaculum	Nanosynbacter	Ndongobacter	Neisseria	Niallia	Novisyntrophococcus	Odoribacter	Olsenella	Oscillibacter	Paeniclostridium	Pandoraea	Parabacteroides	Paraprevotella	Parolsenella	Parvimonas	Pauljensenia	Peptacetobacter	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudomonas	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Sarcina	Schaalia	Sodaliphilus	Solibaculum	Sphingobium	Staphylococcus	Streptobacillus	Streptococcus	Sutterella	Treponema	Trueperella	Turicibacter	Turicimonas	Veillonella	Vescimonas	Weissella
NS10	0.00250823226256871	0.0136235953848317	0	0.00201105905539814	0	0.0109127657640647	0	0.00706266124962397	0.0101665751664064	0	0.00449687687936685	0	0.182048745796579	0	0.19393954718342	0.000948021833273894	0.00134070553486736	0.0006703526168145	0.0397709247516254	0	0.0111369634745097	0.306409998299962	0.287693549386655	0	0.00603320970049609	0.000948021833273894	0	0.0184692327913964	0	0.0090932299380855	0	0.00259626724329449	0.0915936869309019	0.146958631420878	0.430050520867809	0	0.407237213003959	0	0	0	0	0	0	0	0	0	0.0295530900005366	0.0193951540800979	0	0.033139389589077	0.0526544753593198	0.0249140909408908	0.0767567666765576	0.0223156326096803	0	0.0240977540085057	0.513921141872246	0	0.0102106835198565	0.087764910467228	0.000948021833273894	0	0.00632413562043138	0.00396586966279833	0.0239574323486181	0.0135408719082518	0.00307194621037189	0	0.00314423742382957	0.0292164568176349	0	0	0	0.00222330977236661	0	0.0108093208432879	0	0	0.00164202247383545	0.00354717980267588	0.0668803342822929	0.0427529277681424	0.00966811282243478	0	0.00474012620714617	0.00222330977236661	0.0376920410706028	0	0.00134070553486736	0	0	0	0	0	0	0.0254585005643518	0.0447832782176149	0.00379209585345291	0.0109743647631222	0.313294614293151	0.0006703526168145	0.0452630106099585	0	0	0	0.0006703526168145	0	0.00116108496522948	0.00478729316230554	0.00134070553486736	0	0.000948021833273894	0	0	0	0.00413234250933756	0.00232217149574253	0.00201105905539814	0.0259222391051895	0.00439580990193911	0	0.0260519884923148	0.00823752341007064	0.00189604451857939	0	0	0.00164202247383545	0.00250823226256871	0.0120293368550156	0.0693682595407196	0.0006703526168145	0	0.0547340086950947	0.00134070553486736	0.0017735871118148	0.000948021833273894	0.0125593814895489	0.0298558304062795	0	0.00906848573016681	0.0948232550908437	0	0	0.00276393795764425	0.0459095804210366	0	0.00241699290483078	0	0.00632413562043138	0	0	0	0.0256695323837361	0.00812768241487976	0.00259626724329449	0	0.00292200325244705	0	0.000948021833273894	0.0366514204498163	0
NS11	0	0.0222347116206176	0	0.00067034659213334	0.000948013313086173	0.00341811675409863	0	0.0430252901417388	0.103904440297307	0	0.00439577039508996	0	0.051171131790626	0	0.0887824321462174	0	0	0	0.487823160772057	0.00211982348173546	0.00222328979071482	0.112322304759009	0.050871159307653	0	0.0038508572224491	0.0198530711735164	0	0.00348322985149724	0	0.0118219654016225	0	0.00149894099754308	0.0103634915556906	0.0384887950009455	0.0647118849674899	0	0.0800789979483696	0	0	0	0	0	0.00189602747818097	0.00201104098132217	0	0.00314420916543677	0.0444905399249312	0.013255632970127	0	0.0199772058005627	0.0280222281897308	0.00837272344961343	0.104754801157999	0.0155636440285172	0	0.00459568053102646	0.282530594851324	0	0.00444659057128504	0.0314329206099777	0	0	0.00241697118247536	0	0.0216301038005204	0.0160470543504258	0	0	0.00348322985149724	0.00592037494150557	0.00276391311715817	0.00677021993032971	0	0.00201104098132217	0	0.0102105917498838	0	0	0.00177357117198523	0.00164200771642416	0.0111368633788042	0.0126128293341346	0.0069986804991252	0	0	0.00067034659213334	0.0179131394003801	0	0	0	0	0	0	0.0362252515729659	0	0.00588230095527861	0.00478725013699287	0.00232215062558321	0.00469244301397998	0.0579233192842053	0.000948013313086173	0.230509052261085	0	0	0	0.00116107453017092	0	0.00067034659213334	0.0038508572224491	0.00177357117198523	0	0	0.00067034659213334	0	0	0	0.06861950916503	0.00116107453017092	0.0207280963799108	0.00134069348549691	0	0.306984040173798	0.00434435578177948	0.00134069348549691	0	0.00067034659213334	0	0	0.0334833383429213	0.489444505376858	0	0	0.519080833519056	0	0	0	0.0548690856932786	0.0182610381299778	0	0.00540453291181383	0.0549428922126472	0.00134069348549691	0	0.00510522934217519	0.0475463803501721	0	0.00222328979071482	0.0068033268472315	0.00858472982545711	0	0.00328401986003292	0	0.0203561118022349	0.0340295436824114	0.00201104098132217	0	0.00341811675409863	0	0.00116107453017092	0.0421911126971898	0.000948013313086173
NS13	0	0	0	0.0024169478315965	0.002011021552234	0.000670340115782257	0	0.00232212819078952	0.0812420276602109	0	0.00642972033776236	0	0.374179282607326	0.00523554719845825	0.570577506877188	0	0	0.00396579570512923	0.369939298304497	0	0	0.00690162817402074	0.336380790573446	0	0.00250818548785245	0.00721984618360228	0	0.0131875235499819	0	0.00321484355552446	0	0	0.28662845802192	0.102625908746697	0.00232212819078952	0.000670340115782257	0.186841994880093	0	0	0	0	0	0	0	0	0	0.0246232309758375	0.0589401935849912	0	0.0235310123052068	0.0261032209277268	0.0418265872495955	0	0.0147632448604104	0	0.0174812206143515	0.373650667063314	0	0.016310800951189	0.0167324473178889	0.000670340115782257	0	0	0.00725089997183496	0.0379055296175633	0.00164199185265079	0	0	0.00232212819078952	0.00552779394256401	0.00335170660336693	0.0024169478315965	0	0.00911773696326553	0	0.00413226544715871	0	0	0.00268136347535137	0.00276388641438259	0.0548972690602682	0.0315325948959719	0.037964813282487	0	0.00276388641438259	0.00407753073246268	0.0156067491943294	0	0	0	0.000670340115782257	0	0	0.00250818548785245	0	0.0181868726748314	0.00189600916026509	0	0.0236168211462698	0.0899794470376197	0	0.000670340115782257	0	0	0	0	0	0.002011021552234	0.0391029186663787	0.000948004154140579	0	0	0.00116106331279675	0	0	0.00116106331279675	0.00429228390117651	0	0.0184688883298553	0	0	0.0327154085959667	0.00418628459519934	0	0	0	0	0.00307188892318794	0.000670340115782257	0.18594009466207	0	0.000670340115782257	0.00686899566506099	0	0	0	0	0.00592031774293195	0	0	0.0703318639860502	0	0	0.002011021552234	0.0119165076854391	0	0.00177355403714777	0	0.00548699744680805	0	0.00299785639971001	0	0.0463525658298057	0	0.00348319619919329	0	0.0167324473178889	0	0.00259621882685251	0.0234927745126248	0
NS21	0.00241695217589481	0	0	0.0014989292101834	0.000948005858110357	0	0.00116106539972547	0.00276389138228224	0.00861079593489726	0	0.00396580283339908	0.000670341320670571	0.0511443316136015	0	0.312774582412287	0.000670341320670571	0.00134068294256427	0.00116106539972547	0.397896324906016	0.000670341320670571	0	0.03045916266642	0.0943029770064243	0	0.00367161859998994	0.0413561419369232	0	0.0194873058127033	0	0.00299786178815737	0	0	0.0441653756691073	0.0878791481354262	0.00241695217589481	0	0.10528415861847	0.018566010442497	0	0	0	0	0.00134068294256427	0	0	0	0.0423344905132983	0.0273069456440293	0	0.0412199437557147	0.00964468091264444	0.0165161967839382	0.0925052912925185	0.00576652560729518	0	0.00497140439377667	0.61306453261576	0	0.0129294344392974	0.0079599456183154	0.000948005858110357	0	0	0	0.143264396001624	0	0.0014989292101834	0	0.00492600212047505	0	0.00222327230721144	0.0112372038213703	0	0.0014989292101834	0	0.00407753806157146	0	0.00653372499095485	0.00134068294256427	0.00116106539972547	0.0180753540387606	0.0149898478412207	0.013423976650265	0	0	0	0.00610713758299264	0	0	0.00134068294256427	0	0	0	0.00164199480401568	0.000948005858110357	0.00818264931173831	0.0611200790359193	0.00454649136070181	0.0107256659728943	0.14234092204629	0	0.0014989292101834	0	0	0	0.000948005858110357	0	0.0021198068118728	0.00299786178815737	0	0	0.000670341320670571	0	0	0	0.000670341320670571	0.00379203195236804	0	0.0520646292892628	0	0	0.0797734726643844	0	0	0	0	0	0.00116106539972547	0.0021198068118728	0.52803008931696	0	0	0.00434432161848146	0	0.000670341320670571	0.000948005858110357	0	0.00492600212047505	0	0.00385082693998326	0.249589270489748	0.000948005858110357	0	0.020344908165654	0.0377450673942334	0	0.0014989292101834	0	0.00241695217589481	0	0	0.0014989292101834	0.0460751365706143	0.00232213236465539	0.00341808987465613	0	0.00134068294256427	0	0.0386750274425483	0.00896867519030731	0
NS25	0.0013406850511309	0.0859094534229391	0	0.00094800734909145	0.001641997386473	0	0	0.00222327580387912	0.0192669750376526	0	0.00881709093379642	0	0.045761615588931	0	0.144836647313178	0.0027638957292164	0.00149893156763309	0	0.479567170605058	0.00439574274092932	0	0.0381893822843168	0.0758391555317889	0	0.00241695597717505	0.00899370728283845	0	0.0424883722187234	0	0.00360991173637166	0	0	0.0317458817948398	0.0780986912723109	0.00116106722579733	0	0.101051171882478	0	0	0	0	0	0.00232213601680649	0	0	0.00094800734909145	0.0779367633467325	0.0188900331978057	0	0.039911451560302	0.135791230940773	0.0235788018874889	0.0194642579501099	0.0261205257011732	0	0.0176348674111444	0.630724261427568	0.0013406850511309	0.00850579312943958	0.00628840985379443	0.001641997386473	0	0	0.000670342374953176	0.198821842455678	0.00396580907066673	0.00094800734909145	0	0.000670342374953176	0.00379203791633261	0	0.00284402545525143	0	0.00367162437457121	0	0.0171568912232463	0	0	0.00321485439018113	0.0025081939409207	0.03507705331332	0.00845279575150495	0.0144867268711221	0	0.00149893156763309	0	0.00373231677194146	0	0	0	0	0	0.000670342374953176	0.00149893156763309	0	0.0156929556037237	0.011217207778348	0	0.00607024520420364	0.117466808811395	0	0	0	0	0	0	0	0	0.162817952836288	0	0.00094800734909145	0	0	0	0	0.00149893156763309	0.018359111952904	0	0.0771454610233416	0.0013406850511309	0	0.0967920189391695	0.00642974200741164	0	0.00572743864663999	0	0.000670342374953176	0.00116106722579733	0.0726871578442223	0.511394155123216	0	0	0.00407754447457405	0	0.00094800734909145	0	0.0250397004289624	0.0387215820589556	0	0.0108299233886454	0.0845718921629812	0.00094800734909145	0	0.00177356001436024	0.0244860061798358	0	0	0	0.0281261466525871	0	0	0	0.00952749865886148	0.0294153919712416	0.00259622757661138	0	0.00874030587415577	0.00094800734909145	0.00177356001436024	0.0126305529835334	0
NS27	0.0052782874637266	0.00948018212421269	0	0.0014989265159688	0	0.00891841274945993	0.00116106331279675	0.0742521754125705	0.0681409257988138	0	0.00413226544715871	0	0.165364457082395	0.00177355403714777	0.430975032668944	0	0.00134068053278602	0	0.327162444721035	0.0014989265159688	0.00379202513644298	0.325339640019968	0.129999989914835	0	0.00116106331279675	0.00307188892318794	0	0.0259217555875722	0	0.0121960709148144	0	0	0.023635847503144	0.0947570987339336	0.0843818704691928	0	0.124850481850172	0	0.02007800595486	0	0	0	0	0.0547041870853906	0	0	0.0687271516870441	0.0119165076854391	0	0.0169724697502584	0.00921578272547915	0.0300952713430815	0	0.0182977440493218	0	0.00709427193688022	0.637112917085565	0	0.0121591671300513	0.115040384619504	0	0	0	0.000670340115782257	0.0176857074842601	0.000948004154140579	0.000948004154140579	0	0.00360989957028739	0.00784620981152991	0.00284401587036435	0.02634323205925	0	0	0	0.00793165378416823	0	0	0.00232212819078952	0.00321484355552446	0.0095510209872408	0.0274137035249649	0.0217748778618851	0.00177355403714777	0.00116106331279675	0.0163245723756695	0.0123607748343758	0	0	0	0	0.00116106331279675	0.000670340115782257	0.000670340115782257	0	0.00673688524242649	0.0109125622499315	0.00413226544715871	0.00497139545797736	0.0945971471686838	0	0.00632401768359719	0	0	0	0	0	0.00232212819078952	0.00469239767903348	0.000948004154140579	0	0	0	0	0	0.00134068053278602	0.00116106331279675	0.0140616352368748	0.0135073887893092	0	0	0.102656770503562	0.016745872118225	0.000670340115782257	0.00514900249623599	0	0	0.00134068053278602	0.00164199185265079	0.289432374023759	0.00116106331279675	0.000948004154140579	0.00314417878851426	0	0.000670340115782257	0	0	0.0238723984839644	0	0.0206409739219174	0.148911605030932	0.000670340115782257	0	0.0946019257113417	0.0106415194874267	0.0114353941268204	0.000670340115782257	0	0.00544589535574537	0	0.00497139545797736	0	0.125443723180829	0.0235596499523562	0.00250818548785245	0	0.00360989957028739	0.000670340115782257	0.0127014727015428	0.0479746620557961	0
NS28	0	0.0105571418496362	0	0.00164205715531824	0.00149898612886211	0.00492618917640014	0.00134073385216675	0.246894172800634	0.116353929535798	0	0.01121761610243	0	0.115094231073954	0.00259632207964451	0.22346386055163	0	0	0	0.224368843775926	0.00335183990244773	0.00134073385216675	0.0956040049864285	0.0763753935619725	0	0.00177362457210605	0.0131368291867225	0.000948041856619321	0.144178149002071	0	0.0067037174629898	0.000948041856619321	0	0.0296827586247583	0.0675389880810251	0.023272614558109	0.00134073385216675	0.206646915124766	0.00560871982753842	0.0103638035989533	0	0	0.00367175802249279	0	0.103116136238165	0.0047402263249531	0	0.049718125642824	0.00686926885179522	0	0.0122149668022919	0.02535286209022	0.00931316681198017	0.085059448264475	0.0128076884555922	0.00250828523950397	0.0227944425549138	0.60811282750949	0	0.00635970002851135	0.0130854098876216	0.000670366775454653	0.000670366775454653	0	0.00116110948872461	0.016557593297027	0.00189608456532423	0.00945682735846371	0	0	0.00134073385216675	0.00429245460790522	0.0203567247846072	0	0	0.00116110948872461	0.0233208567448709	0	0	0.00149898612886211	0.00396595342708302	0.0161591836231431	0.0549609366802684	0.0397547948132519	0.00501658626004535	0	0.00439590274722769	0.0220424805015708	0	0	0	0.00164205715531824	0	0	0.00454666400519271	0	0.0280150485370166	0.0138204040339697	0.00501658626004535	0.00580557875167716	0.0643332004608528	0	0.00680353169026564	0	0	0	0	0.00241704395467148	0.00177362457210605	0.00532089603407527	0.00232222054283198	0	0	0.00149898612886211	0	0	0.000948041856619321	0.0472867941160609	0.0145800296299949	0.0350526780748065	0	0	0.188630077510195	0.0168535559928834	0	0.00385097316763646	0	0	0.0054046956372925	0.0488043863541326	0.0979058299575335	0	0.00552801378716405	0.547002975285458	0	0.000948041856619321	0	0.00268147011440036	0.0344704568956512	0	0.00469258429875295	0.188520253316241	0	0	0.0183107499454789	0.017352883326702	0.00607046616416352	0.0127725487846257	0.00831912824131672	0.00815545360059677	0	0	0	0.0465385092824257	0.0805254179727542	0.00241704395467148	0.000670366775454653	0.0083997697673949	0	0.011992171974699	0.0476329276325199	0
NS29	0	0.0308925178474133	0	0.00390885709697321	0.00116110087923548	0	0	0.00292204330196122	0.0484569470081805	0.00177361142088237	0.0500696074560724	0	0.0270513783320592	0.00222334024542288	0.275470841286905	0	0.00149897501405446	0.0291166522282456	0.140407631984268	0	0	0.489217212961424	0.179027667244869	0	0.00134072391078279	0	0	0.0312039041350546	0	0.0206525274790752	0	0	0.0865665540947486	0.253897293749455	0.0267253177486101	0.000670361804766025	0.0735680786868338	0.00335181504887056	0	0	0	0.00444669148144937	0	0	0	0	0.0518713087019622	0.144925804470747	0	0.11529016959088	0.0592355872394016	0.129689211248095	0.0392362546258725	0.0758086363375559	0.000670361804766025	0.011396396515797	0.394499234612894	0	0.0190564146961901	0.036963533436166	0	0	0	0.00222334024542288	0.0625679969398876	0	0.00307198831504444	0	0.00314428051934555	0.0282465987679501	0.00276397584067506	0.00164204497965375	0	0.0410242800657139	0	0.0189143603229211	0.00116110087923548	0	0	0.00177361142088237	0.181267262638266	0.0402381486766728	0.225830527648711	0.00134072391078279	0.000948034827002469	0.00116110087923548	0.0414117622016276	0	0.00201108661930226	0	0	0	0.0036717307967325	0.0061073242054221	0.00276397584067506	0.0202014104506149	0.316223926404656	0	0.0133740736913465	0.167240280743117	0.00348330889911721	0.00164204497965375	0	0	0	0.00134072391078279	0.00116110087923548	0.0085587104367126	0.112805987631412	0.000670361804766025	0	0.00116110087923548	0	0	0	0.00189607050607157	0.000948034827002469	0.00201108661930226	0.0798494237558653	0.000948034827002469	0	0.0169332501102719	0.00492615264901271	0	0.0253704008117337	0	0.00177361142088237	0	0.000670361804766025	0.200304360287667	0	0.000670361804766025	0.00921608091230466	0	0.00116110087923548	0	0	0.0308123560761761	0	0.0589573845690977	0.131237815916918	0.00177361142088237	0.00177361142088237	0.00639488715398156	0.226781056372311	0.00250826664083582	0.00510534519961787	0	0.0352889922219533	0	0	0	0.0540684750442604	0	0.00201108661930226	0	0.014157649838153	0	0.00385094461299892	0.0179636592606476	0
NS30	0.00250818548785245	0.0160048329887977	0.00580534786830275	0.00449679301906414	0	0.000948004154140579	0	0.00497139545797736	0.0208252501244302	0.0014989265159688	0.0267244528679934	0	0.173251023336002	0.00259621882685251	0.24815446886271	0	0.00299785639971001	0.00396579570512923	0.143183027268763	0	0	0.228939187261298	0.232888337714188	0	0	0.00134068053278602	0	0.0155201175951832	0	0.00321484355552446	0	0	0.101066499321713	0.18664001485533	0.0243570723459735	0	0.129769064212334	0	0	0	0	0	0.000670340115782257	0	0.0014989265159688	0	0.0229409669757952	0.0553790732990601	0	0.0493845980274658	0.0902276499100188	0.051756682850375	0.263166624811386	0.0457122686549025	0.00523554719845825	0.00478720388607554	0.495838777323195	0	0.00728182133966916	0.0156355197624136	0.00116106331279675	0	0.00444654761161688	0.00164199185265079	0.0118976366198565	0.00211980300167369	0.000948004154140579	0	0.00501638675485959	0.0161167659194216	0.00510518001912311	0	0	0.00284401587036435	0.0154329998629525	0.00276388641438259	0	0	0.00459563613094148	0.0024169478315965	0.0255021337212228	0.029613332968414	0.050130876280129	0.00211980300167369	0	0.002011021552234	0.0111165613562048	0.000670340115782257	0	0	0	0	0.000670340115782257	0.0128247121230697	0	0.00901862548138372	0.0813003395480058	0.00222326831104001	0.0147022350503386	0.492222765367201	0.00116106331279675	0.00164199185265079	0.00116106331279675	0.0014989265159688	0	0.00906831661242141	0	0.0024169478315965	0.0317528561494712	0.000670340115782257	0	0.00321484355552446	0	0	0	0	0.0014989265159688	0.000948004154140579	0.0272657056492683	0	0	0.0114941908972435	0.0014989265159688	0	0.00693410712297345	0	0.00314417878851426	0.00211980300167369	0.000670340115782257	0.0615862181608187	0.000948004154140579	0	0.0128422212325429	0	0	0	0	0.00731261196692339	0	0.0158638066125963	0.414857463760109	0.00134068053278602	0	0.00755442073707506	0.0107883116568232	0.002011021552234	0.00268136347535137	0	0.00914234696931462	0	0	0	0.0530241180154797	0	0.0054044806970513	0	0.00576651524228399	0.00439572792641511	0.00568805474466701	0.0224157074250998	0.00284401587036435
NS32	0	0	0	0.00222328879164637	0.00321487317051218	0.00653377343581666	0	0.0597264392390485	0.094707868430702	0	0.00670351261292195	0	0.114591334699302	0.00222328879164637	0.080900396877987	0.000670346290903545	0.000670346290903545	0.00149894032397218	0.287616426369358	0.00201104007763117	0.000948012887082817	0.0907801357765924	0.0874005048558799	0	0.00201104007763117	0.0506672104169587	0	0.122992371789954	0	0.0123971928114591	0	0	0.0185903413321995	0.154677594489911	0.0420254877782841	0.0050610247370435	0.507475926559828	0.00211982252916128	0	0	0	0	0.012177745184032	0	0	0	0.0819866228835255	0.00639473915817294	0	0.0279338322015589	0.0520952694630945	0.0125413585761198	0.0950628169311694	0.0165299197694348	0.000670346290903545	0.00976054356981947	0.648675533438427	0	0.00933697838500677	0.014989958991471	0	0	0.00116107400842537	0	0.0195105016838005	0.00116107400842537	0	0.0134742003965142	0.00276391187515144	0.0119918055096413	0	0.00241697009637297	0	0.00211982252916128	0.000948012887082817	0.0197395355993481	0	0	0.0046443116862081	0.00149894032397218	0.0179005814040964	0.0366203826378669	0.0238160597978486	0	0	0.000670346290903545	0.00469244090534868	0	0.00116107400842537	0	0	0	0.00149894032397218	0.0652078559926294	0.00177357037500504	0.0109126627795863	0.00519250298625861	0.00721991269341249	0.0103200323859676	0.127833565300832	0.000948012887082817	0	0	0	0	0.00276391187515144	0.000670346290903545	0.00201104007763117	0.0035471463288984	0.00116107400842537	0	0	0	0	0	0.00134069288303692	0.0553755183855285	0.000670346290903545	0.0577558835122035	0	0	0.0896785124035156	0	0.000670346290903545	0.00177357037500504	0.000670346290903545	0.000948012887082817	0	0.0294002746670844	0.198033623584013	0	0.00276391187515144	0.305040257831981	0	0	0.000948012887082817	0	0.0322798358984619	0	0.00793172685147063	0.151005864818844	0.000670346290903545	0	0.0739912163480125	0.0401756803649634	0	0.00335173747913987	0.00469244090534868	0.0253077170881269	0	0	0	0.0326400238995531	0.0443131800814842	0.00328401838430671	0	0.00646463006184974	0.000670346290903545	0.00201104007763117	0.0586688330999391	0
