feature	Absiella	Actinobacteria.gen...Trueperella.Streptomyces.	Actinobacteria.gen...Xylanimonas.Schaalia.Sanguibacter.	Actinomyces	Adlercreutzia	Akkermansia	Alistipes	Anaerococcus	Anaeromassilibacillus	Anaerostipes	Anaerotignum	Anaerotruncus	Atopobiaceae.gen..incertae.sedis	Bacteria.gen..incertae.sedis	Bacteroidales.gen..incertae.sedis	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Butyricicoccus	Campylobacter	Christensenella	Clostridia.gen..incertae.sedis	Clostridiaceae.gen..incertae.sedis	Clostridiales.Family.XIII..Incertae.Sedis.gen..incertae.sedis	Clostridiales.gen...Clostridium.Eubacterium.	Clostridiales.gen...Clostridium.Flavonifractor.	Clostridiales.gen...Ruminococcus.Blautia.	Clostridiales.gen...Ruminococcus.Clostridium.Blautia.	Clostridiales.gen...Ruminococcus.Clostridium.	Clostridiales.gen...Ruminococcus.Eubacterium.	Clostridiales.gen...Sellimonas.Drancourtella.	Clostridiales.gen..incertae.sedis	Clostridium	Collinsella	Coprobacillus	Coprococcus	Coriobacteriia.gen..incertae.sedis	Desulfovibrio	Dialister	Dielma	Dorea	Eggerthella	Eggerthellaceae.gen..incertae.sedis	Eisenbergiella	Erysipelatoclostridium	Erysipelotrichaceae.gen..incertae.sedis	Escherichia	Eubacterium	Faecalibacterium	Faecalicatena	Faecalitalea	Fenollaria	Finegoldia	Firmicutes.gen...Carnobacterium.Phascolarctobacterium.	Firmicutes.gen...Catenibacterium.Roseburia.	Firmicutes.gen...Clostridium.Eubacterium.	Firmicutes.gen...Coprobacillus.Clostridium.	Firmicutes.gen...Erysipelatoclostridium.Clostridioides.	Firmicutes.gen...Lactobacillus.Lachnospira.	Firmicutes.gen..incertae.sedis	Flavonifractor	Fusicatenibacter	Gemella	Gemmiger	Haemophilus	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.gen..incertae.sedis	Lactobacillus	Lactococcus	Massilioclostridium	Massiliomicrobiota	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Mesorhizobium	Mogibacterium	Neglecta	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilaceae.gen..incertae.sedis	Peptoniphilus	Peptostreptococcaceae.gen..incertae.sedis	Phascolarctobacterium	Phocea	Porphyromonas	Prevotella	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminococcaceae.gen..incertae.sedis	Ruminococcus	Ruthenibacterium	Saccharibacteria.gen..incertae.sedis	Senegalimassilia	Solobacterium	Staphylococcus	Stoquefichus	Streptococcus	Sutterella	Sutterellaceae.gen..incertae.sedis	Tissierellia.gen..incertae.sedis	Turicibacter	Tyzzerella	Veillonella
NS10	0.000341005967604433	0	0	0.000170502983802217	0	0.000170502983802217	0.000170502983802217	0	0	0.0279624893435635	0.00187553282182438	0	0	0.00119352088661552	0	0.00460358056265985	0.000170502983802217	0.0758738277919864	0.000170502983802217	0	0.138618925831202	0.00750213128729753	0	0	0	0	0	0.000170502983802217	0	0.0020460358056266	0.00187553282182438	0	0	0	0.108269394714407	0.0407502131287297	0.133503836317136	0	0.0294970161977835	0.000170502983802217	0	0.0445012787723785	0	0.0760443307757886	0.0112531969309463	0.0010230179028133	0	0.000852514919011083	0	0.000170502983802217	0.102131287297528	0.0356351236146633	0	0	0	0	0	0	0.000341005967604433	0	0.000170502983802217	0	0	0.000170502983802217	0	0	0.0105711849957374	0	0	0	0	0	0	0.00255754475703325	0	0.0659846547314578	0	0.000170502983802217	0	0.000341005967604433	0	0	0.0352941176470588	0	0	0	0	0	0.0030690537084399	0.000852514919011083	0.00051150895140665	0	0	0	0	0	0	0	0	0.00426257459505541	0	0.000682011935208866	0.00153452685421995	0	0.0206308610400682	0.00051150895140665	0.000852514919011083	0	0.00136402387041773	0	0	0	0.0010230179028133	0	0	0	0	0.00238704177323103	0
NS11	0	0	0	0	0	0.00276195408251338	0.0182979457966511	0	0	0.00310719834282755	0	0.000517866390471258	0	0	0.00293457621267046	0.184187812877611	0	0.0286552736060763	0.000517866390471258	0	0.0167443466252374	0.0012083549110996	0	0.000172622130157086	0	0	0.00241670982219921	0	0	0.00258933195235629	0.00241670982219921	0	0.000690488520628345	0	0.0645606766787502	0.00707750733644053	0.0103573278094252	0	0.00293457621267046	0.000172622130157086	0.00655964094596927	0	0	0.00466079751424133	0	0.000690488520628345	0	0	0	0.000690488520628345	0.00897635076816848	0.0403935784567582	0.000345244260314172	0.000345244260314172	0	0	0	0	0	0	0	0.000172622130157086	0.0245123424823062	0.00103573278094252	0	0.000172622130157086	0	0.000345244260314172	0.00535128603486967	0.000172622130157086	0	0	0	0.000345244260314172	0	0.0195063007077507	0.0012083549110996	0	0	0	0	0	0.0346970481615743	0	0	0	0.000863110650785431	0.00327982047298464	0.0277921629552909	0.0369411358536164	0	0	0	0	0	0	0.0162264802347661	0	0	0.291386155705161	0	0.000172622130157086	0.00276195408251338	0	0.0393578456758156	0.0719834282755049	0.00310719834282755	0	0.000517866390471258	0	0	0	0.00103573278094252	0.00207146556188503	0	0	0	0	0
NS13	0	0	0	0.000511770726714432	0	0	0.00904128283862163	0.000170590242238144	0	0.114807233026271	0.000341180484476288	0.000170590242238144	0	0.00102354145342886	0	0.118389628113272	0	0	0	0	0.283179802115319	0.00187649266461958	0	0	0	0	0.00085295121119072	0	0.000341180484476288	0	0.0085295121119072	0	0	0	0.0206414193108154	0.00972364380757421	0	0	0.00733538041624019	0	0	0.000170590242238144	0	0.0528829750938246	0.00290003411804845	0	0.000511770726714432	0.00119413169566701	0.000511770726714432	0	0.0731832139201638	0.084100989423405	0.000511770726714432	0	0.000170590242238144	0.000170590242238144	0	0	0	0	0.00119413169566701	0	0.060388945752303	0.00102354145342886	0	0	0.0134766291368134	0	0	0.00170590242238144	0.000511770726714432	0.00119413169566701	0	0.0027294438758103	0	0.0523712043671102	0.000341180484476288	0	0	0	0	0	0	0	0	0	0	0	0.000511770726714432	0	0	0	0	0	0.00102354145342886	0	0	0	0	0.000511770726714432	0	0	0.0148413510747185	0	0.0489593995223473	0	0.000511770726714432	0	0	0	0	0	0.0042647560559536	0	0	0.00102354145342886	0.000170590242238144	0	0
NS21	0	0	0	0.000170502983802217	0	0	0	0	0.000341005967604433	0.0653026427962489	0	0.000341005967604433	0	0.0010230179028133	0.00869565217391304	0.212446717817562	0	0.00153452685421995	0.000341005967604433	0	0.0487638533674339	0.00358056265984655	0	0	0	0.00051150895140665	0.000170502983802217	0	0	0.00784313725490196	0.00119352088661552	0	0	0	0.045694799658994	0.0491048593350384	0	0.00051150895140665	0.00784313725490196	0	0	0.0223358908780904	0.000341005967604433	0.00562659846547315	0.000852514919011083	0	0.000341005967604433	0.000341005967604433	0	0.000852514919011083	0.0115942028985507	0.204774083546462	0	0	0	0	0	0.000341005967604433	0.000682011935208866	0	0.000170502983802217	0.0051150895140665	0.0010230179028133	0.0206308610400682	0.00119352088661552	0	0.00630861040068201	0.000682011935208866	0	0.0020460358056266	0	0.00341005967604433	0	0.00272804774083546	0	0.0260869565217391	0	0	0	0	0	0	0	0	0	0	0	0	0.00443307757885763	0.00699062233589088	0	0	0	0	0	0.000170502983802217	0	0	0	0.00051150895140665	0	0.00051150895140665	0.150895140664962	0	0.0323955669224211	0.0109121909633419	0.00341005967604433	0	0	0	0	0.000170502983802217	0.0040920716112532	0	0	0	0	0.000682011935208866	0.0119352088661552
NS25	0	0	0	0	0	0	0.0146632566069906	0	0	0.0110826939471441	0.0356351236146633	0.000341005967604433	0	0.00289855072463768	0	0.262404092071611	0	0.00528559249786871	0.00341005967604433	0.00119352088661552	0.0320545609548167	0.0132992327365729	0	0	0	0	0	0	0	0.00545609548167093	0.00136402387041773	0	0	0	0.119011082693947	0.0687127024722933	0	0	0.00630861040068201	0	0	0	0	0.00699062233589088	0.00051150895140665	0	0	0.000170502983802217	0.000341005967604433	0.000170502983802217	0.00682011935208866	0.195225916453538	0	0	0	0	0.0274509803921569	0	0	0	0.000170502983802217	0	0.00153452685421995	0.0460358056265985	0	0	0.00818414322250639	0	0	0.00272804774083546	0	0.000170502983802217	0	0.0040920716112532	0	0.0322250639386189	0	0	0	0	0	0	0	0	0	0	0	0.000170502983802217	0.0030690537084399	0.00750213128729753	0	0.000170502983802217	0	0	0	0.000170502983802217	0	0	0	0.000170502983802217	0	0.000341005967604433	0.000682011935208866	0	0.0342710997442455	0.00051150895140665	0.00119352088661552	0	0	0	0	0.000170502983802217	0.000170502983802217	0.000170502983802217	0.000341005967604433	0	0	0.0349531116794544	0
NS27	0	0	0	0	0	0.00733162830349531	0.00733162830349531	0	0	0.0516624040920716	0	0	0.0010230179028133	0	0	0.10690537084399	0	0.191645353793691	0	0	0.0398976982097187	0.00238704177323103	0	0	0	0	0	0	0	0.00341005967604433	0.0051150895140665	0.000170502983802217	0.0010230179028133	0	0.101108269394714	0.0537084398976982	0.0129582267689685	0	0.00375106564364876	0.000170502983802217	0	0.0105711849957374	0	0.00869565217391304	0	0.000170502983802217	0	0	0	0	0.0647911338448423	0.129752770673487	0.000341005967604433	0	0	0	0	0	0	0	0	0.000170502983802217	0.0255754475703325	0	0	0	0	0.00136402387041773	0.00596760443307758	0.000170502983802217	0	0.00136402387041773	0	0	0	0.0545609548167093	0	0	0	0	0.000170502983802217	0	0.000341005967604433	0	0	0	0	0	0.00477408354646206	0.00494458653026428	0.00136402387041773	0	0	0	0	0.00051150895140665	0	0	0	0.000170502983802217	0	0.00170502983802217	0.0288150042625746	0	0.00699062233589088	0.0347826086956522	0.000341005967604433	0	0.000682011935208866	0	0	0	0.020460358056266	0	0	0	0	0	0.000852514919011083
NS28	0	0	0	0	0	0.0286695278969957	0.00772532188841202	0	0.000171673819742489	0.00875536480686695	0	0	0.000858369098712446	0.00274678111587983	0.000515021459227468	0.0132188841201717	0.00927038626609442	0.0103004291845494	0.000515021459227468	0	0.00429184549356223	0.00206008583690987	0.000343347639484979	0	0.00137339055793991	0	0	0.0032618025751073	0.000171673819742489	0.000343347639484979	0.000515021459227468	0	0.000343347639484979	0	0.0992274678111588	0.199484978540773	0.00103004291845494	0.0348497854077253	0.0063519313304721	0	0	0.0192274678111588	0	0.00223175965665236	0.000171673819742489	0.000343347639484979	0	0	0	0	0.0123605150214592	0.0775965665236052	0	0	0	0	0.00274678111587983	0	0	0	0	0	0.00738197424892704	0.000515021459227468	0.000343347639484979	0	0	0.000858369098712446	0.00360515021459227	0	0	0.000343347639484979	0	0	0.000858369098712446	0.0115021459227468	0	0.000171673819742489	0	0	0	0	0.000171673819742489	0	0	0	0	0.000515021459227468	0.00703862660944206	0.00703862660944206	0.000858369098712446	0	0	0	0.000343347639484979	0	0	0	0.000343347639484979	0.363605150214592	0	0	0.0123605150214592	0	0.0121888412017167	0.0144206008583691	0	0	0	0	0	0	0.00120171673819742	0.00274678111587983	0.000171673819742489	0	0	0	0.000343347639484979
NS29	0	0	0	0.00068259385665529	0	0	0.00392491467576792	0	0	0.0416382252559727	0	0.000170648464163823	0	0.000853242320819113	0.00665529010238908	0.0334470989761092	0	0.181569965870307	0.000511945392491468	0.000170648464163823	0.0885665529010239	0.000170648464163823	0	0	0	0	0.00068259385665529	0.00477815699658703	0	0	0	0	0	0.0133105802047782	0.0477815699658703	0.036518771331058	0.0160409556313993	0	0.00102389078498294	0	0	0.0148464163822526	0	0	0.00665529010238908	0.000511945392491468	0.00187713310580205	0.0208191126279863	0.00170648464163823	0	0.0133105802047782	0.0571672354948805	0.000341296928327645	0	0	0	0	0	0.0180887372013652	0	0.00136518771331058	0	0.0498293515358362	0.00187713310580205	0	0	0	0	0	0	0.0030716723549488	0.00921501706484642	0.000341296928327645	0.0433447098976109	0	0.00204778156996587	0	0.00102389078498294	0.000170648464163823	0.000341296928327645	0	0	0	0	0	0.000341296928327645	0	0	0.00358361774744027	0	0	0	0.000853242320819113	0	0	0.000341296928327645	0	0	0	0.000170648464163823	0	0.0156996587030717	0.0389078498293515	0	0.0431740614334471	0.147440273037543	0.0150170648464164	0	0	0	0	0.000170648464163823	0.00546075085324232	0	0	0	0.000853242320819113	0.0015358361774744	0
NS30	0.000693481276005548	0.000173370319001387	0.000346740638002774	0	0	0	0.000173370319001387	0	0.000173370319001387	0.0350208044382802	0	0	0	0.000866851595006935	0	0.0152565880721221	0	0.0804438280166436	0	0	0.216712898751734	0.0013869625520111	0	0	0	0	0	0	0	0.00450762829403606	0.0013869625520111	0	0	0.00121359223300971	0.0540915395284327	0.0377947295423024	0.021497919556172	0	0.0128294036061026	0	0	0.00277392510402219	0	0.0390083217753121	0.000520110957004161	0.000173370319001387	0	0.00156033287101248	0	0.0110957004160888	0.0329403606102635	0.0759361997226075	0	0	0	0	0	0	0.00121359223300971	0	0	0.00329403606102635	0.0013869625520111	0	0	0.000520110957004161	0	0	0	0.000693481276005548	0	0.00208044382801664	0	0.0013869625520111	0	0.145631067961165	0.000346740638002774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346740638002774	0	0.00312066574202497	0.180998613037448	0	0.000693481276005548	0.0026005547850208	0	0.0013869625520111	0	0	0	0	0.00381414701803051	0	0.0013869625520111	0	0.000346740638002774	0	0.000173370319001387
NS32	0	0	0	0	0	0.00198233916020905	0.00558659217877095	0	0.00144170120742476	0.00504595422598666	0	0.000180212650928095	0	0	0	0.0369435934402595	0.00108127590556857	0.00991169580104523	0.00180212650928095	0	0.01892232834745	0.00288340241484952	0.000540637952784285	0	0	0.000540637952784285	0.00144170120742476	0	0	0.00108127590556857	0.00126148855649667	0	0.000180212650928095	0	0.104343124887367	0.0798342043611461	0.00306361506577762	0.0272121102901424	0.0446927374301676	0	0.000540637952784285	0.0755091007388719	0	0.00756893133898	0	0.000720850603712381	0	0.000180212650928095	0.000180212650928095	0.000180212650928095	0.149396287619391	0.117678861056046	0.000720850603712381	0	0	0	0.00144170120742476	0	0	0.000540637952784285	0	0	0.00901063254640476	0.00036042530185619	0.00198233916020905	0	0.000720850603712381	0	0	0	0.000180212650928095	0.000540637952784285	0	0	0	0.0266714723373581	0.00720850603712381	0	0	0	0	0	0	0	0	0	0	0.000901063254640476	0.0216255181113714	0.00324382771670571	0	0.00036042530185619	0	0.00036042530185619	0	0	0	0.000180212650928095	0.000180212650928095	0.141106505676698	0	0.000540637952784285	0.0187421156965219	0	0.0158587132816724	0.0421697603171743	0.000720850603712381	0	0.000180212650928095	0	0	0	0.00198233916020905	0.000540637952784285	0	0	0	0	0
