feature	Agathobaculum	Akkermansia	Alistipes	Anaerobutyricum	Anaerostipes	Bacteroides	Barnesiella	Bifidobacterium	Blautia	Catenibacterium	Cibionibacter	Clostridiaceae.unclassified	Clostridium	Collinsella	Coprococcus	Dialister	Dorea	Eubacteriales.unclassified	Eubacterium	Evtepia	Faecalibacillus	Faecalibacterium	Firmicutes.unclassified	Fusicatenibacter	GGB3277	GGB3304	GGB51647	Gemmiger	Holdemanella	Lachnoclostridium	Lachnospira	Lachnospiraceae.unclassified	Lacrimispora	Ligilactobacillus	Mediterraneibacter	Oscillibacter	Oscillospiraceae.unclassified	Parabacteroides	Phascolarctobacterium	Phocaeicola	Prevotella	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Streptococcus
NS10	0	0	0	1	4	0	0	7	6	0	0	0	1	10	0	5	3	1	4	0	0	3	2	2	0	0	4	2	0	0	0	1	2	0	3	0	0	0	0	0	1	0	0	0	0	0
NS11	0	0	2	0	0	5	0	3	1	0	0	0	1	1	0	0	0	0	0	1	0	3	0	0	0	7	0	3	1	0	0	4	1	0	1	1	1	5	0	3	16	0	0	0	1	0
NS13	0	0	0	6	2	5	0	0	22	3	1	0	2	0	1	0	5	0	0	0	0	4	0	3	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	0
NS21	1	0	0	0	3	4	0	1	3	0	0	2	5	1	0	1	0	0	0	0	0	12	0	0	0	0	0	6	0	0	0	1	0	0	5	0	0	0	0	13	0	0	4	0	0	0
NS25	1	0	1	0	1	4	0	0	0	0	1	8	3	2	1	0	0	1	0	1	0	12	0	0	0	0	0	2	0	0	0	3	1	0	2	0	0	1	0	7	0	1	0	0	0	0
NS27	0	0	0	2	1	7	0	11	3	1	0	0	2	6	1	0	1	0	1	0	0	11	0	0	0	0	0	1	0	0	0	6	1	0	2	0	0	0	0	4	0	0	2	1	0	0
NS28	0	2	0	0	2	0	1	0	0	0	0	1	2	0	1	1	0	0	3	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	24	0	0	0	0	0
NS29	0	0	0	0	1	1	0	9	5	0	0	0	2	3	0	2	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	2	0	1	1	15	2	1
NS30	0	0	0	3	1	0	0	7	5	0	0	0	2	2	0	0	2	0	1	0	0	5	2	4	0	0	0	0	0	1	0	10	0	0	7	0	0	0	0	0	0	0	10	0	0	0
NS32	0	0	0	1	1	3	0	1	1	0	1	0	2	0	4	4	1	0	2	0	0	8	0	0	0	0	9	0	0	0	0	1	0	1	1	1	0	1	0	0	5	0	0	1	0	1
NS34	0	0	0	0	0	31	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	0
NS36	0	14	2	0	0	4	1	2	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	2	5	0	0	1	0	0	1	0	0	0	0	0	0	2	2	4	0	1	0	5	1	0
NS38	0	13	0	0	4	7	1	12	0	0	1	3	0	2	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0
NS39	0	0	1	0	2	2	1	7	0	0	3	0	2	1	2	1	2	0	1	0	1	16	2	1	2	0	0	2	0	0	0	1	0	0	0	0	2	0	1	0	2	0	2	1	0	0
NS4	0	0	0	0	1	3	0	7	0	0	0	0	2	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	8	0	0	5	0	0	0
NS40	0	0	2	1	2	0	1	5	1	0	3	2	0	4	0	0	3	0	0	0	0	3	0	1	0	17	0	0	0	0	0	2	1	3	0	0	0	0	0	1	2	0	4	0	1	0
NS41	1	0	2	0	0	5	0	0	1	3	1	0	0	0	2	0	1	0	0	0	0	12	0	0	0	2	0	0	0	0	1	5	0	0	0	1	0	0	0	2	12	0	6	0	0	0
NS46	0	0	1	0	2	2	0	4	2	0	9	0	0	0	1	0	1	0	0	1	0	1	0	1	5	8	1	0	0	0	0	3	0	0	2	1	0	0	0	2	0	0	1	4	0	0
NS51	0	0	0	4	5	0	0	4	5	0	2	0	1	2	1	0	0	0	1	0	0	5	0	5	0	0	2	5	0	0	0	5	3	0	3	0	0	0	0	3	0	0	2	4	0	0
NS55	0	0	0	0	3	0	0	0	4	0	3	0	0	0	1	0	0	0	2	0	5	4	0	0	0	0	0	1	0	0	0	27	1	0	2	0	0	0	0	1	0	2	4	4	0	0
NS58	0	0	0	1	10	0	0	1	19	0	0	1	0	2	0	0	0	1	0	0	1	1	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	7	0	0	1
NS6	0	0	3	1	5	7	0	0	4	0	0	1	1	0	0	0	1	0	1	0	0	7	0	4	2	0	0	0	0	0	0	4	4	0	1	0	0	2	0	12	0	0	2	0	0	0
NS62	0	1	1	1	7	0	0	3	13	0	5	0	2	1	5	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	6	0	0
NS67	0	0	0	1	0	0	0	5	1	0	1	0	0	5	0	8	3	1	0	0	0	2	0	0	0	7	0	2	0	0	1	1	0	0	5	0	1	0	0	0	0	0	0	2	0	0
NS7	0	0	2	0	0	3	0	13	4	0	1	0	0	1	0	2	3	0	0	0	0	12	0	0	0	0	0	2	0	0	0	4	1	1	0	2	0	0	0	0	5	6	0	0	0	0
NS70	0	0	0	3	2	0	0	1	11	0	1	0	0	1	0	0	0	0	0	0	2	7	0	2	0	0	7	0	0	0	2	15	0	0	0	0	0	0	0	0	6	0	0	2	0	2
NS71	0	3	0	2	9	0	0	7	4	1	0	5	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	4	1	1
NS72	0	0	0	5	1	0	0	15	9	0	0	0	3	4	2	0	2	0	0	0	1	0	0	4	0	4	0	1	3	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0
NS77	0	0	1	0	2	3	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	1	6	0	0	1	2	0	0	1	6	10	0	0	0	0	0
