feature	Agathobaculum	Akkermansia	Alistipes	Anaerobutyricum	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Brotolimicola	Catenibacterium	Cibionibacter	Clostridiaceae.unclassified	Clostridium	Collinsella	Coprococcus	Dialister	Dorea	Eubacteriales.unclassified	Eubacterium	Faecalibacillus	Faecalibacterium	Faecalicatena	Fusicatenibacter	GGB3109	GGB3256	GGB3277	GGB3304	GGB3740	GGB51647	GGB9708	GGB9715	Gemmiger	Intestinibacter	Lachnospira	Lachnospiraceae.unclassified	Ligilactobacillus	Mediterraneibacter	Oliverpabstia	Oscillibacter	Oscillospiraceae.unclassified	Parabacteroides	Phascolarctobacterium	Phocaeicola	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Segatella	Streptococcus	Vescimonas
NS10	1	0	0	1	1	0	4	7	0	0	0	0	3	1	4	2	10	0	3	0	2	0	3	0	0	0	0	0	5	0	0	1	0	0	1	0	2	0	1	7	0	0	0	1	0	0	0	0	0	0
NS11	0	0	1	0	0	9	3	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	1	0	1	3	4	0	6	0	0	0	0	22	0	0
NS13	0	0	0	3	6	3	0	22	1	7	0	0	0	0	1	0	6	0	1	0	11	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
NS21	0	0	0	0	4	7	0	0	0	0	1	0	7	0	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	8	0	10	0	0	0	1	0
NS25	0	0	2	0	0	16	0	2	0	0	0	1	4	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	0	4	12	0	0	0	0	0	0	0
NS27	0	0	2	1	0	3	14	2	0	2	0	1	0	0	0	0	1	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	1	0	6	0	2	0	0	4	2	0	0	0	5	4	0	0	0	0
NS28	0	5	0	0	0	2	2	1	0	0	0	2	1	0	1	1	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	25	0	1
NS29	0	0	0	0	1	1	18	6	0	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	4	1	2	9	0	0	0	0
NS30	0	0	0	0	3	2	6	9	0	0	0	2	2	0	0	0	1	0	1	0	8	0	3	1	0	0	0	0	0	0	0	0	0	1	10	0	3	0	0	1	0	0	0	0	12	0	0	0	0	0
NS32	1	0	0	0	0	2	1	2	1	0	0	0	0	0	1	6	0	0	0	0	8	2	1	0	0	0	3	0	12	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0
NS34	0	1	2	1	0	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	2
NS36	0	13	5	0	0	7	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	2	1	0	1	0	0	0	0	1	4	2	2	3	0	0	3	1	0	0	0
NS38	0	7	6	0	0	7	14	1	1	0	2	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	1	2	1	0	0	0	1	1	0	1	0	0	3	0	0	0	0
NS39	0	0	1	0	1	1	5	1	0	0	5	1	2	0	0	3	0	0	0	0	21	0	0	0	1	1	0	1	0	0	0	5	0	0	1	0	0	1	0	1	0	0	3	0	0	1	0	0	0	0
NS4	0	0	1	0	3	3	8	3	0	0	0	1	2	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	2	0	9	0	5	1	0	0	1	0
NS40	0	0	2	0	0	0	3	3	0	0	4	0	0	0	2	0	2	0	0	0	5	0	0	0	0	0	17	0	0	1	0	0	0	0	4	0	0	0	1	3	1	1	1	0	4	0	0	0	0	1
NS41	0	0	2	0	1	4	0	0	0	2	1	0	0	0	2	0	2	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	0	9	1	0	0	1	0	1	0	0	0	2	0	0	19	0	2
NS46	0	1	0	0	2	6	1	4	0	0	12	0	0	0	2	0	3	0	0	0	1	0	1	0	0	7	3	0	2	0	1	0	0	0	2	0	2	0	0	1	0	0	2	0	0	5	1	0	0	0
NS51	0	0	0	0	3	0	7	6	0	0	0	1	1	4	0	0	0	0	0	0	10	0	5	0	0	0	0	0	2	0	0	4	0	0	5	0	3	3	0	1	0	0	1	2	1	3	0	0	0	0
NS55	0	0	0	0	1	1	4	9	0	0	1	0	0	0	1	0	2	0	1	6	6	1	2	1	0	0	0	0	0	0	0	0	0	0	25	0	1	1	0	1	0	0	0	0	0	3	0	0	0	0
NS58	0	0	0	0	3	0	2	22	0	0	0	0	0	0	0	0	3	3	0	3	1	0	7	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
NS6	0	0	4	1	6	4	0	9	1	0	0	0	1	0	0	0	3	0	2	0	2	0	3	0	0	3	0	1	0	0	0	1	0	0	7	0	0	3	1	3	1	0	11	0	1	0	0	0	0	0
NS62	0	0	2	2	9	0	2	13	0	0	7	0	0	0	3	0	2	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	9	0	0	1	0	1	0	0	0	1	0	10	0	0	0	0
NS67	0	1	0	0	0	0	3	1	0	0	0	0	1	0	0	11	3	0	0	0	3	0	0	1	2	0	7	0	0	1	3	4	0	1	2	1	8	0	0	3	0	0	0	1	1	5	1	2	0	0
NS7	1	0	1	1	0	0	11	9	0	0	0	0	2	1	0	0	4	0	0	0	11	0	0	0	0	0	0	2	2	0	0	0	2	0	0	7	1	0	1	1	0	0	1	4	1	0	0	3	1	0
NS70	1	0	0	2	1	0	4	14	0	0	1	0	0	2	1	0	1	0	0	1	6	0	0	0	0	0	0	1	7	0	0	0	0	1	14	0	0	2	1	0	0	0	1	0	0	0	0	7	0	0
NS71	0	0	0	2	13	0	7	3	0	2	0	4	2	3	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	1	0	2	0	2	1	0	3	0
NS72	0	0	0	5	1	0	19	7	0	0	0	1	4	0	2	0	1	0	0	1	0	0	3	0	0	0	3	0	0	0	0	1	0	0	1	8	2	0	0	2	0	0	0	1	0	0	0	0	1	0
NS77	1	0	0	1	0	1	0	1	1	0	0	1	2	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	5	0	2	1	1	2	8	0	2	0	0	13	0	0
NS78	0	0	0	5	5	0	7	4	0	2	0	0	2	0	4	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	3	0	0	0	0	2	4	0	0	3	0
NS79	0	0	0	2	5	2	10	14	0	0	0	1	0	0	2	0	0	1	0	1	9	0	4	0	0	0	0	2	0	0	0	2	1	0	3	0	0	1	0	0	0	0	2	0	0	5	0	0	0	0
NS81	0	0	0	3	4	0	2	9	0	0	9	0	0	0	0	0	4	1	0	1	0	3	3	1	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	1	0	0	0	2	0	7	0	0	0	0
NS83	0	1	0	1	0	0	4	10	0	0	0	1	0	0	2	0	2	0	0	2	8	1	2	0	0	0	7	0	0	1	0	1	0	0	2	2	0	0	3	2	0	0	2	0	2	3	0	1	2	0
NS86	0	0	0	0	14	0	5	6	0	0	1	0	1	0	7	0	3	0	0	1	13	0	0	0	1	0	0	0	0	0	3	1	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0
NS9	1	0	2	2	2	2	0	5	0	0	3	1	0	0	1	0	1	0	0	0	5	0	4	0	0	0	0	0	14	0	0	0	1	0	0	0	1	1	0	0	0	0	5	0	1	4	0	0	0	1
