name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium duncaniae	68301	S	329702	337381	667083	0.01292
Faecalibacterium sp900539945	68328	S	109053	167634	276687	0.00536
Faecalibacterium prausnitzii_I	68315	S	56602	32058	88660	0.00172
Faecalibacterium prausnitzii_A	68311	S	48198	127293	175491	0.00340
Faecalibacterium prausnitzii_D	68312	S	32387	63211	95598	0.00185
Faecalibacterium longum	68309	S	30583	43559	74142	0.00144
Faecalibacterium prausnitzii_J	68316	S	17411	45825	63236	0.00122
Faecalibacterium sp900539885	68327	S	15356	16848	32204	0.00062
Faecalibacterium sp902463905	68336	S	13670	17357	31027	0.00060
Faecalibacterium prausnitzii_E	68313	S	10824	7945	18769	0.00036
Faecalibacterium prausnitzii_F	68314	S	10403	6987	17390	0.00034
Faecalibacterium prausnitzii	68310	S	9301	25723	35024	0.00068
Faecalibacterium sp900758465	68331	S	6629	6837	13466	0.00026
Faecalibacterium sp934514285	68344	S	6233	4424	10657	0.00021
Faecalibacterium sp900765705	68333	S	5449	6918	12367	0.00024
Faecalibacterium sp003449675	68320	S	4849	12535	17384	0.00034
Faecalibacterium sp905215595	68338	S	4123	9017	13140	0.00025
Faecalibacterium sp902463235	68335	S	3828	11080	14908	0.00029
Faecalibacterium hattorii	68306	S	2876	2261	5137	0.00010
Faecalibacterium sp934503275	68340	S	2754	4789	7543	0.00015
Faecalibacterium sp934525845	68350	S	2481	971	3452	0.00007
Faecalibacterium sp934525405	68348	S	2292	4694	6986	0.00014
Faecalibacterium sp934561555	68361	S	2157	3762	5919	0.00011
Faecalibacterium sp937915335	68363	S	2148	281	2429	0.00005
Faecalibacterium sp934539245	68354	S	1939	3437	5376	0.00010
Faecalibacterium sp934518555	68345	S	1921	212	2133	0.00004
Faecalibacterium sp900772565	68334	S	1638	3205	4843	0.00009
Faecalibacterium sp900765105	68332	S	1612	1322	2934	0.00006
Faecalibacterium sp934524985	68346	S	1599	3376	4975	0.00010
Faecalibacterium sp934561115	68359	S	1279	2647	3926	0.00008
Faecalibacterium sp900540455	68329	S	1238	190	1428	0.00003
Faecalibacterium prausnitzii_M	68318	S	1127	165	1292	0.00003
Faecalibacterium sp934501115	68339	S	989	478	1467	0.00003
Faecalibacterium sp934532365	68352	S	962	1957	2919	0.00006
Faecalibacterium sp934525325	68347	S	923	1798	2721	0.00005
Faecalibacterium sp934512105	68342	S	909	1759	2668	0.00005
Faecalibacterium sp934526125	68351	S	887	149	1036	0.00002
Faecalibacterium sp934511465	68341	S	855	674	1529	0.00003
