#Classification	GQ41_bracken_O.kreport
k__Bacteria	9661329
k__Bacteria|p__Firmicutes	5981715
k__Bacteria|p__Firmicutes|c__Clostridia	5946985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	5946985
k__Bacteria|p__Firmicutes|c__Bacilli	19541
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	19043
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	497
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	14299
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	14299
k__Bacteria|p__Firmicutes|c__Negativicutes	732
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	675
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	56
k__Bacteria|p__Firmicutes|c__Tissierellia	156
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	156
k__Bacteria|p__Actinobacteria	101294
k__Bacteria|p__Actinobacteria|c__Actinomycetia	95255
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	95161
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	45
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	25
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	18
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	5
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6038
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	3771
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2267
k__Bacteria|p__Bacteroidetes	3508774
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3508774
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3508774
k__Bacteria|p__Proteobacteria	67177
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	66830
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	5269
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	61491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	62
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	138
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	135
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	114
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	114
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	93
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	91
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2
k__Bacteria|p__Verrucomicrobia	2196
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2196
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2196
k__Bacteria|p__Spirochaetes	156
k__Bacteria|p__Spirochaetes|c__Spirochaetia	156
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	46
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	110
k__Bacteria|p__Synergistetes	8
k__Bacteria|p__Synergistetes|c__Synergistia	8
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	8
k__Bacteria|p__Fusobacteria	5
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	5
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	5
k__Eukaryota	3478
k__Eukaryota|k__Fungi	2547
k__Eukaryota|k__Fungi|p__Ascomycota	2547
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	2547
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2547
k__Eukaryota|k__Viridiplantae	931
k__Eukaryota|k__Viridiplantae|p__Streptophyta	931
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	931
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	471
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	343
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	109
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	1
k__Viruses	95391
k__Viruses|k__Heunggongvirae	95391
k__Viruses|k__Heunggongvirae|p__Uroviricota	95391
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	95391
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	95391
