#Classification	GQ37_bracken_P.kreport
k__Bacteria	4390846
k__Bacteria|p__Bacteroidetes	2101137
k__Bacteria|p__Firmicutes	1892702
k__Bacteria|p__Actinobacteria	63822
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Proteobacteria	333163
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Archaea	20259
k__Archaea|p__Euryarchaeota	20259
k__Eukaryota	1533
k__Eukaryota|k__Viridiplantae	785
k__Eukaryota|k__Viridiplantae|p__Streptophyta	785
k__Eukaryota|k__Fungi	748
k__Eukaryota|k__Fungi|p__Ascomycota	748
k__Viruses	5673
k__Viruses|k__Heunggongvirae	5673
k__Viruses|k__Heunggongvirae|p__Uroviricota	5673
