#Classification	GQ55_bracken_C.kreport
k__Bacteria	1790924
k__Bacteria|p__Firmicutes	936553
k__Bacteria|p__Firmicutes|c__Clostridia	818028
k__Bacteria|p__Firmicutes|c__Bacilli	100284
k__Bacteria|p__Firmicutes|c__Negativicutes	11702
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6380
k__Bacteria|p__Firmicutes|c__Tissierellia	158
k__Bacteria|p__Actinobacteria	30246
k__Bacteria|p__Actinobacteria|c__Actinomycetia	23043
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	7202
k__Bacteria|p__Bacteroidetes	821169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	821150
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	19
k__Bacteria|p__Proteobacteria	2940
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2664
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	193
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	39
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	43
k__Bacteria|p__Spirochaetes	9
k__Bacteria|p__Spirochaetes|c__Spirochaetia	9
k__Bacteria|p__Verrucomicrobia	4
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	4
k__Eukaryota	17
k__Eukaryota|k__Viridiplantae	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	17
k__Viruses	350
k__Viruses|k__Heunggongvirae	350
k__Viruses|k__Heunggongvirae|p__Uroviricota	350
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	350
