name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blautia_A fusiformis	60759	S	4758	724524	729282	0.04419
Blautia_A sp000436615	60770	S	3920	401377	405297	0.02456
Blautia_A wexlerae	60863	S	3099	727166	730265	0.04425
Blautia_A faecis	60758	S	1443	116917	118360	0.00717
Blautia_A sp900066205	60806	S	1193	196087	197280	0.01195
Blautia_A luti	60766	S	614	52125	52739	0.00320
Blautia_A obeum	60767	S	548	53410	53958	0.00327
Blautia_A wexlerae_B	60864	S	435	59101	59536	0.00361
Blautia_A sp900751995	60821	S	415	43566	43981	0.00267
Blautia_A sp937893675	60847	S	404	17296	17700	0.00107
Blautia_A sp900066355	60808	S	384	48980	49364	0.00299
Blautia_A schinkii_B	60769	S	309	17935	18244	0.00111
Blautia_A ammoniilytica	60749	S	236	36550	36786	0.00223
Blautia_A sp900548245	60815	S	204	22742	22946	0.00139
Blautia_A wexlerae_C	60865	S	177	30153	30330	0.00184
Blautia_A caecimuris	60751	S	130	8792	8922	0.00054
Blautia_A sp905209435	60828	S	78	919	997	0.00006
Blautia_A sp019419095	60784	S	76	2766	2842	0.00017
Blautia_A sp900066335	60807	S	73	6108	6181	0.00037
Blautia_A sp003471165	60771	S	71	7581	7652	0.00046
Blautia_A gallistercoris	60760	S	60	185	245	0.00001
Blautia_A sp934409175	60841	S	43	40	83	0.00001
Blautia_A sp905206915	60827	S	42	4302	4344	0.00026
Blautia_A sp003474435	60772	S	37	3354	3391	0.00021
Blautia_A faecipullorum	60757	S	32	32	64	0.00000
Blautia_A sp938028845	60849	S	31	587	618	0.00004
Blautia_A intestinalis	60762	S	30	3592	3622	0.00022
Blautia_A difficilis	60752	S	19	1240	1259	0.00008
Blautia_A sp018919065	60782	S	17	362	379	0.00002
Blautia_A sp900541985	60813	S	14	446	460	0.00003
Blautia_A sp934371575	60832	S	12	128	140	0.00001
Blautia_A sp934424005	60842	S	10	129	139	0.00001
Blautia_A sp934373235	60835	S	10	19	29	0.00000
Blautia_A sp003477525	60773	S	9	970	979	0.00006
Blautia_A sp030536995	60804	S	7	69	76	0.00000
Blautia_A sp934424575	60843	S	6	56	62	0.00000
Blautia_A sp900764225	60823	S	4	186	190	0.00001
Blautia_A sp030524715	60799	S	3	7	10	0.00000
Blautia_A sp900120195	60809	S	3	280	283	0.00002
Blautia_A sp026169535	60792	S	3	20	23	0.00000
Blautia_A excrementipullorum	60754	S	2	38	40	0.00000
Blautia_A faecavium	60755	S	2	22	24	0.00000
Blautia_A sp934437695	60845	S	2	3	5	0.00000
Blautia_A sp900763175	60822	S	2	108	110	0.00001
Blautia_A sp937880195	60846	S	2	8	10	0.00000
Blautia_A sp934372025	60834	S	1	2	3	0.00000
Blautia_A sp030524545	60798	S	1	4	5	0.00000
Blautia_A sp934402155	60839	S	1	5	6	0.00000
Blautia_A sp030527765	60802	S	1	0	1	0.00000
Blautia_A sp934408705	60840	S	1	1	2	0.00000
Blautia_A sp934378195	60836	S	1	1	2	0.00000
Blautia_A sp934371915	60833	S	1	8	9	0.00000
Blautia_A sp017475035	60777	S	1	22	23	0.00000
Anaerobutyricum hallii	60558	S	19157	1163152	1182309	0.07164
Anaerobutyricum soehngenii	60559	S	490	44585	45075	0.00273
Anaerobutyricum sp934307085	60579	S	17	93	110	0.00001
Anaerobutyricum sp934317185	60580	S	3	36	39	0.00000
Anaerobutyricum stercoripullorum	60585	S	1	5	6	0.00000
Mediterraneibacter torques	62435	S	17756	1171888	1189644	0.07209
Mediterraneibacter faecis	62380	S	1208	168967	170175	0.01031
Mediterraneibacter sp900541505	62402	S	203	7712	7915	0.00048
Mediterraneibacter sp900120155	62401	S	138	3566	3704	0.00022
Mediterraneibacter hominis	62384	S	84	140	224	0.00001
Mediterraneibacter lactaris	62388	S	34	2623	2657	0.00016
Mediterraneibacter sp934309345	62409	S	27	632	659	0.00004
Mediterraneibacter massiliensis	62389	S	23	598	621	0.00004
Mediterraneibacter intestinigallinarum	62386	S	23	518	541	0.00003
Mediterraneibacter turbiniformis	62436	S	20	1520	1540	0.00009
Mediterraneibacter sp900761655	62405	S	13	68	81	0.00000
Mediterraneibacter sp019418195	62399	S	3	107	110	0.00001
Mediterraneibacter norfolkensis	62393	S	3	130	133	0.00001
Mediterraneibacter sp949294665	62428	S	2	22	24	0.00000
Mediterraneibacter norwichensis	62394	S	2	59	61	0.00000
Mediterraneibacter excrementipullorum	62376	S	2	29	31	0.00000
Mediterraneibacter glycyrrhizinilyticus_A	62382	S	1	48	49	0.00000
Mediterraneibacter avicola	62369	S	1	15	16	0.00000
Mediterraneibacter sp944384505	62425	S	1	3	4	0.00000
Mediterraneibacter sp934309415	62410	S	1	3	4	0.00000
Mediterraneibacter cottocaccae	62373	S	1	7	8	0.00000
Mediterraneibacter sp944381935	62422	S	1	3	4	0.00000
Anaerostipes hadrus	60625	S	2106	193674	195780	0.01186
Anaerostipes sp905215045	60638	S	188	6790	6978	0.00042
Anaerostipes sp900756035	60636	S	115	6684	6799	0.00041
Anaerostipes caccae	60622	S	100	3951	4051	0.00025
Anaerostipes sp019423795	60631	S	72	2569	2641	0.00016
Anaerostipes sp900066705	60635	S	29	1618	1647	0.00010
Anaerostipes amylophilus	60619	S	28	1213	1241	0.00008
Anaerostipes faecalis	60624	S	7	283	290	0.00002
Anaerostipes sp018918155	60629	S	5	63	68	0.00000
Anaerostipes sp019420275	60630	S	3	12	15	0.00000
Anaerostipes hominis	60626	S	2	17	19	0.00000
Anaerostipes sp021771695	60632	S	1	45	46	0.00000
Coprococcus eutactus	61500	S	3959	258751	262710	0.01592
Coprococcus ammoniilyticus	61499	S	9	473	482	0.00003
Coprococcus sp900767685	61513	S	8	81	89	0.00001
Coprococcus sp000154245	61501	S	6	393	399	0.00002
Coprococcus sp900548315	61510	S	6	59	65	0.00000
Coprococcus sp900557435	61511	S	3	32	35	0.00000
Coprococcus sp934247115	61514	S	2	7	9	0.00000
Coprococcus sp016297325	61505	S	1	5	6	0.00000
Agathobacter faecis	60474	S	928	119012	119940	0.00727
Agathobacter rectalis	60475	S	270	36538	36808	0.00223
Agathobacter sp900317585	60498	S	162	8693	8855	0.00054
Agathobacter sp900546625	60500	S	7	228	235	0.00001
Agathobacter sp934365945	60511	S	7	159	166	0.00001
Agathobacter sp905209075	60505	S	5	59	64	0.00000
Agathobacter sp000434275	60477	S	5	700	705	0.00004
Sellimonas intestinalis	63268	S	10824	320936	331760	0.02010
Sellimonas catena	63267	S	15	1993	2008	0.00012
Sellimonas sp904393575	63269	S	2	39	41	0.00000
Dorea_A longicatena	61531	S	2541	288422	290963	0.01763
Dorea_A amylophila	61529	S	225	47445	47670	0.00289
Dorea_A sp019421265	61533	S	24	4043	4067	0.00025
Dorea_A sp900550865	61535	S	10	94	104	0.00001
Dorea_A sp934295165	61537	S	7	46	53	0.00000
Dorea_A sp934294775	61536	S	4	13	17	0.00000
Dorea_A contorta_A	61530	S	1	46	47	0.00000
Lachnospira pectinoschiza_A	62191	S	4873	342237	347110	0.02103
Lachnospira eligens_A	62187	S	44	7712	7756	0.00047
Lachnospira sp000437735	62195	S	37	1975	2012	0.00012
Lachnospira sp003451515	62198	S	9	666	675	0.00004
Lachnospira hominis	62188	S	3	228	231	0.00001
Lachnospira sp934359185	62218	S	2	7	9	0.00000
Lachnospira eligens	62186	S	1	72	73	0.00000
Lachnospira sp000436475	62193	S	1	5	6	0.00000
Fusicatenibacter saccharivorans	61879	S	2332	360519	362851	0.02199
Fusicatenibacter sp902493585	61885	S	54	391	445	0.00003
Fusicatenibacter sp900772675	61884	S	9	108	117	0.00001
Catenibacillus sp018369015	61370	S	2098	4838	6936	0.00042
Catenibacillus sp900553975	61371	S	803	2422	3225	0.00020
Catenibacillus scindens	61369	S	345	17162	17507	0.00106
Frisingicoccus caecimuris	61866	S	1298	35499	36797	0.00223
Frisingicoccus sp958426095	61876	S	19	330	349	0.00002
