GCF_000016525.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii
GCF_000025685.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii
GCF_023617305.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii_A
GCA_000020605.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter rectalis
GCA_000154345.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_A,s__Clostridium_A leptum
GCA_000155435.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster pacaense
GCA_000158655.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Massilioclostridium,s__Massilioclostridium methylpentosum
GCA_000163695.1,t,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__F0058,s__F0058 sp000163695
GCA_000166735.2,t,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,s__Leuconostoc inhae
GCA_000182945.1,t,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium vincentii
GCA_000223255.2,t,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus infantis_G
GCA_000242235.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Stomatobaculum,s__Stomatobaculum longum
GCA_000285855.2,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp000285855
GCA_000344275.1,t,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus oralis_E
GCA_000385835.1,t,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mitis_AI
GCA_000411415.1,t,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__Pauljensenia sp000411415
GCA_000431035.1,f,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__Phil1,s__Phil1 sp001940855
GCA_000431315.1,t,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Scatousia,s__Scatousia sp000431315
GCA_000431335.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp000431335
GCA_000431795.1,t,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-302,s__CAG-302 sp000431795
GCA_000432135.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-170,s__CAG-170 sp000432135
GCA_000432155.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__CAG-274,g__CAG-274,s__CAG-274 sp000432155
GCA_000432275.1,t,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAZU01,s__CAZU01 sp000432275
GCA_000432335.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Oliverpabstia,s__Oliverpabstia sp000432335
GCA_000432375.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-103,s__CAG-103 sp000432375
GCA_000432435.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimenecus,s__Fimenecus sp000432435
GCA_000432835.1,t,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-417,s__CAG-417 sp000432835
GCA_000432915.1,t,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-194,s__CAG-194 sp000432915
GCA_000433035.1,t,d__Bacteria,p__Bacillota,c__Bacilli,o__ML615J-28,f__CAG-313,g__CAG-313,s__CAG-313 sp000433035
GCA_000433095.1,t,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Stercorousia,s__Stercorousia sp000433095
