#Classification	GQ7_bracken_F.kreport
k__Bacteria	2598843
k__Bacteria|p__Firmicutes	1745707
k__Bacteria|p__Firmicutes|c__Bacilli	1456129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1455427
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1393007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	17243
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	1402
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	907
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	42867
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	701
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	22
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	678
k__Bacteria|p__Firmicutes|c__Negativicutes	253604
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	252639
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	252639
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	964
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	964
k__Bacteria|p__Firmicutes|c__Clostridia	33042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	33042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	31913
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	327
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	14
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	281
k__Bacteria|p__Firmicutes|c__Tissierellia	2309
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2309
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2309
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	621
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	621
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	621
k__Bacteria|p__Actinobacteria	242401
k__Bacteria|p__Actinobacteria|c__Actinomycetia	241592
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	203227
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	203227
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	30187
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	30187
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	5397
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	5397
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2720
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2709
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	59
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	59
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	809
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	807
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	807
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	1
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Tenericutes|c__Mollicutes	9
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	9
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	9
k__Bacteria|p__Bacteroidetes	474475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	473986
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	473986
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	472829
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	584
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	330
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	235
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	7
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	488
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	488
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	487
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	1
k__Bacteria|p__Proteobacteria	126319
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	81535
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	81378
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	81378
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	27025
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	18003
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	18003
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	9021
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	8979
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	27
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	14
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	11123
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	11123
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	11123
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6634
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	6620
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	6617
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	14
k__Bacteria|p__Fusobacteria	8514
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	8514
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	8514
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	5341
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	3172
k__Bacteria|p__Candidatus_Saccharibacteria	835
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	835
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	835
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae	835
k__Bacteria|p__Spirochaetes	417
k__Bacteria|p__Spirochaetes|c__Spirochaetia	417
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	417
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae	417
k__Bacteria|p__Synergistetes	162
k__Bacteria|p__Synergistetes|c__Synergistia	162
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	162
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	162
k__Eukaryota	15768
k__Eukaryota|k__Metazoa	8904
k__Eukaryota|k__Metazoa|p__Chordata	8904
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	8904
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	8904
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	8904
k__Eukaryota|k__Fungi	182
k__Eukaryota|k__Fungi|p__Basidiomycota	154
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	154
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	154
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	154
k__Eukaryota|k__Fungi|p__Ascomycota	27
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	27
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	27
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	27
k__Eukaryota|k__Viridiplantae	6681
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6681
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	6681
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales	3469
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales|f__Rutaceae	3468
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales|f__Anacardiaceae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales	7
