#Classification	GQ12_bracken_C.kreport
k__Bacteria	231403
k__Bacteria|p__Firmicutes	105090
k__Bacteria|p__Firmicutes|c__Bacilli	102170
k__Bacteria|p__Firmicutes|c__Negativicutes	2414
k__Bacteria|p__Firmicutes|c__Clostridia	505
k__Bacteria|p__Actinobacteria	73354
k__Bacteria|p__Actinobacteria|c__Actinomycetia	73336
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	17
k__Bacteria|p__Proteobacteria	37144
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33806
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2451
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	885
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1
k__Bacteria|p__Bacteroidetes	14002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13653
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	349
k__Bacteria|p__Fusobacteria	1708
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1708
k__Bacteria|p__Spirochaetes	97
k__Bacteria|p__Spirochaetes|c__Spirochaetia	97
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	5
k__Eukaryota	5358
k__Eukaryota|k__Metazoa	5358
k__Eukaryota|k__Metazoa|p__Chordata	5358
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	5358
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Peploviricota	3
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	3
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1
