#Classification	GQ2_bracken_P.kreport
k__Bacteria	1733117
k__Bacteria|p__Firmicutes	700107
k__Bacteria|p__Actinobacteria	573591
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Bacteroidetes	102937
k__Bacteria|p__Proteobacteria	345404
k__Bacteria|p__Fusobacteria	10629
k__Bacteria|p__Candidatus_Saccharibacteria	399
k__Bacteria|p__Spirochaetes	44
k__Eukaryota	2735
k__Eukaryota|k__Metazoa	2680
k__Eukaryota|k__Metazoa|p__Chordata	2680
k__Eukaryota|k__Fungi	52
k__Eukaryota|k__Fungi|p__Basidiomycota	52
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
