#Classification	GQ6_bracken_O.kreport
k__Bacteria	1230815
k__Bacteria|p__Firmicutes	574698
k__Bacteria|p__Firmicutes|c__Bacilli	480007
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	361467
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	118540
k__Bacteria|p__Firmicutes|c__Negativicutes	86877
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	86764
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	112
k__Bacteria|p__Firmicutes|c__Clostridia	7812
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	7812
k__Bacteria|p__Actinobacteria	166368
k__Bacteria|p__Actinobacteria|c__Actinomycetia	166368
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	162541
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	903
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2635
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	286
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	1
k__Bacteria|p__Bacteroidetes	245857
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	244720
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	244720
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1137
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1137
k__Bacteria|p__Proteobacteria	237176
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	182208
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	182136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	72
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	46307
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	37922
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	8384
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	8661
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	8661
k__Bacteria|p__Fusobacteria	6580
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	6580
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	6580
k__Bacteria|p__Candidatus_Saccharibacteria	97
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	97
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	97
k__Bacteria|p__Spirochaetes	37
k__Bacteria|p__Spirochaetes|c__Spirochaetia	37
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	37
k__Eukaryota	2113
k__Eukaryota|k__Metazoa	1869
k__Eukaryota|k__Metazoa|p__Chordata	1869
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1869
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	1869
k__Eukaryota|k__Fungi	241
k__Eukaryota|k__Fungi|p__Basidiomycota	241
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	241
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	241
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	2
